gene-Y11_RS01250	3275	2287	2675	3100	3335	2543	2709	3100	2960	2234	host	rcsC
gene-Y11_RS01135	510	266	278	415	468	331	344	388	313	415	host	edd
gene-Y11_RS17900	4422	4865	4276	4811	4604	3247	3020	3161	5048	2351	host	waaL-ps
gene-Y11_RS08710	5725	3636	3447	4065	3482	2498	1964	1986	1672	1413	host	gene-Y11_RS08710
gene-g270	4	1436	2476	5880	5720	6170	6070	6859	5462	9670	phage	g270
gene-Y11_RS13340	44779	20433	25460	31423	37412	21876	23779	24086	22321	15399	host	zapB
gene-g153	0	182	384	780	877	901	892	1112	793	1037	phage	g153
gene-Y11_RS13905	3509	2064	2676	3538	4234	3106	2861	3133	2539	2406	host	mobB
gene-Y11_RS01580	5473	5299	5664	7084	6746	4982	4298	4938	3346	3449	host	gene-Y11_RS01580
gene-Y11_RS14305	1508	490	615	1269	1550	1348	1748	1894	2034	1463	host	gene-Y11_RS14305
gene-g157	0	598	959	2462	2420	2670	3156	3800	3732	4382	phage	g157
gene-Y11_RS03185	1189	731	810	743	767	592	630	665	650	450	host	gene-Y11_RS03185
gene-Y11_RS16925	1965	963	1256	1419	1614	1095	1116	1341	1138	1168	host	gene-Y11_RS16925
gene-Y11_RS11380	199	93	122	179	224	202	182	203	155	149	host	fliL
gene-g128	11	2074	3762	9801	8051	8991	9661	9869	6810	12005	phage	g128
gene-Y11_RS13320	19141	18623	20996	21010	17557	12795	9239	9346	6960	6257	host	hslV
gene-Y11_RS14245	17541	13254	20626	34615	41024	28597	32312	28075	19964	16576	host	ibpA
gene-Y11_RS14935	884	386	515	818	996	759	1061	1084	940	855	host	gene-Y11_RS14935
gene-Y11_RS15860	2099	882	993	1466	1732	1480	1593	2003	1975	1325	host	gene-Y11_RS15860
gene-Y11_RS20530	1223	754	1016	1019	1226	931	866	956	837	805	host	gene-Y11_RS20530
gene-Y11_RS03070	1573	773	1072	1059	1198	886	945	994	967	617	host	gene-Y11_RS03070
gene-g033	2	3388	6275	12243	11544	11235	11256	10133	8043	8704	phage	g033
gene-Y11_RS07765	3410	2672	2952	3113	2691	2051	1957	2014	1412	1527	host	hisA
gene-Y11_RS17750	22936	19456	20930	23601	21708	16283	13221	14157	9937	10044	host	pepA
gene-Y11_RS16100	7155	7070	7920	7107	7024	5063	4728	4965	4017	3954	host	recQ
gene-Y11_RS19890	1191	547	704	657	773	510	412	641	575	488	host	gene-Y11_RS19890
gene-Y11_RS15635	63630	81724	88638	113241	130866	102522	87241	98081	71263	72181	host	rplQ
gene-Y11_RS00020	1273	928	1232	1901	2277	1959	2031	2447	2200	2199	host	gene-Y11_RS00020
gene-Y11_RS02670	400	118	162	290	390	288	291	525	459	241	host	gene-Y11_RS02670
gene-Y11_RS04375	1872	592	594	632	842	553	544	804	688	622	host	gene-Y11_RS04375
gene-g007	0	741	1143	2913	2051	2386	2425	2455	2177	2197	phage	g007
gene-Y11_RS18250	6405	3641	3665	3410	3263	2545	2198	2415	1975	1900	host	mog
gene-Y11_RS12345	3490	1991	2244	2509	2832	2102	2350	2456	2213	1986	host	gene-Y11_RS12345
gene-Y11_RS07000	2595	1007	909	947	915	825	843	886	818	824	host	gene-Y11_RS07000
gene-Y11_RS12105	1936	883	864	881	1055	775	788	1020	765	772	host	gene-Y11_RS12105
gene-Y11_RS11860	627	415	513	554	660	421	357	432	346	325	host	gene-Y11_RS11860
gene-Y11_RS16635	9361	6753	7001	8349	8349	6504	6280	5965	4665	4112	host	gene-Y11_RS16635
gene-g278	0	826	1423	3291	2620	3171	3250	3382	3001	4533	phage	g278
gene-Y11_RS00330	28414	25255	25581	37745	34489	25903	27974	27141	21176	18799	host	crr
gene-Y11_RS17135	424	165	344	518	736	570	441	600	636	650	host	gene-Y11_RS17135
gene-Y11_RS12625	878	413	430	481	531	430	461	544	529	385	host	gene-Y11_RS12625
gene-Y11_RS09745	5344	4331	4125	3984	3442	2549	2259	2579	1929	2287	host	ispA
gene-Y11_RS08270	4813	3499	3258	3267	3417	2581	2695	2949	2492	2606	host	dinG
gene-Y11_RS08165	12838	18537	21549	28107	36156	29432	29365	32382	27553	27215	host	ompX
gene-Y11_RS09365	967	507	679	770	951	694	738	835	772	662	host	gene-Y11_RS09365
gene-Y11_RS09145	450	166	236	475	667	519	715	680	803	492	host	gene-Y11_RS09145
gene-Y11_RS13885	16859	13702	14858	19000	18619	12701	11914	11538	8139	6922	host	dsbA
gene-Y11_RS18365	3353	2692	2252	2196	1627	1223	1136	1243	1012	1136	host	apaG
gene-Y11_RS08880	2049	927	969	1032	1066	617	757	961	768	552	host	ybfF
gene-Y11_RS13700	7620	8669	9872	12504	12863	8692	8471	7940	5935	5891	host	slmA
gene-Y11_RS04035	1889	603	695	936	1074	886	820	1005	721	707	host	pspF
gene-Y11_RS15065	9028	4043	4312	5532	7418	5990	6687	8653	6546	7140	host	glpD
gene-Y11_RS18140	764	340	424	565	542	416	392	586	470	429	host	gene-Y11_RS18140
gene-Y11_RS19625	2611	2325	2634	3447	3885	3098	3542	3410	2731	2127	host	arfB
gene-Y11_RS02955	511	333	289	338	334	335	296	336	289	338	host	gene-Y11_RS02955
gene-Y11_RS04950	702	442	541	904	1037	829	814	945	733	747	host	gene-Y11_RS04950
gene-Y11_RS01675	3758	5596	4845	4130	4331	4014	4086	4866	3920	4307	host	gene-Y11_RS01675
gene-Y11_RS09955	930	311	451	619	810	624	559	623	604	451	host	gene-Y11_RS09955
gene-Y11_RS13745	1489	1013	933	1030	1165	800	905	1116	890	805	host	gene-Y11_RS13745
gene-Y11_RS17150	4159	3290	4024	3791	3817	2866	2955	3119	2637	2712	host	tsaE
gene-Y11_RS16175	4189	2237	2334	2867	3243	2404	2213	2342	1886	1687	host	gene-Y11_RS16175
gene-Y11_RS03280	16464	16299	17522	20613	19723	15554	14243	14491	10616	10948	host	argS
gene-Y11_RS07855	2284	2935	3826	4698	6138	3740	3924	3895	3018	2527	host	gene-Y11_RS07855
gene-Y11_RS12290	1799	1216	1521	1759	1542	1116	1102	1136	1169	893	host	gene-Y11_RS12290
gene-Y11_RS07485	753	452	543	647	682	607	426	628	364	405	host	gene-Y11_RS07485
