Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-CPT_phageK_gp201	0	0	0	0.0	0.5771076403857618	2.6129376997264253	55.14419601277164	12.002055061556993	138.71520000113236	346.7251105371506	65.32524609304052	878.381145742521	1005.4648431911056	710.9126057053167	1336.726674228389	1260.443724982564	1380.6093864822633	1193.8301809285265	605.4329642316577	806.8133835155402	711.9072573468677	phage	gene-CPT_phageK_gp201	1.0134740994605795	0	0	0
gene-CPT_phageK_gp136	1	0	0	0.0	1.4427691009644046	1.493107256986529	43.63057266944569	15.099359593571698	157.82392653190058	623.9734895231722	95.5334523788396	1554.9028441703576	2229.4710687851366	1210.236363860236	3545.155889761414	2955.401706125784	3410.7396003030094	2498.173265329121	1252.9561227559327	1918.4229341369512	1718.4143127838563	phage	gene-CPT_phageK_gp136	1.0973323489291622	0	0	0
gene-CPT_phageK_gp213	2	2	0	0.3206263756875431	6.9252916846291415	9.705197170412436	220.5767840510865	50.331198645239	674.4672734748935	1641.7582157058243	266.20981789360445	4201.016903534588	4284.457999923226	3179.0171260596453	5856.343247026654	4692.374478101756	5729.00027415821	4145.687997353507	1890.0161821340205	3190.2974561777755	2585.987900618964	phage	gene-CPT_phageK_gp213	1.0176353463261154	0	0	0
gene-CPT_phageK_gp059	0	0	0	0.0	2.019876741350166	0.7465536284932643	50.90233478101997	6.581772130531253	183.65609387905025	346.0665633186565	69.4788744573379	752.2189911708433	485.50211300290687	430.3062627058617	451.526241425029	225.253491496884	384.80332735925225	224.66109982150712	108.4357547877596	121.845286490102	187.10383045654856	phage	gene-CPT_phageK_gp059	1.0716374683581416	0	0	0
gene-CPT_phageK_gp049	0	0	0	0.0	0.5771076403857618	1.1198304427398966	28.17807818235034	6.581772130531253	112.17530204173204	265.0652554438806	55.88518162872831	658.2373282000573	497.27979229408254	460.11663632705086	503.7761440007315	263.20233482969235	435.7831597375634	297.00342808118336	128.64855995653056	163.19218550926573	225.64012074028213	phage	gene-CPT_phageK_gp049	1.0436422045118627	0	0	0
gene-CPT_phageK_gp129	0	0	0	0.3206263756875431	0.5771076403857618	0.3732768142466321	4.241861231751664	4.258793731520223	12.739151020512155	213.36929879209268	30.208206285799086	397.13652134736793	1034.6909362469858	468.2172813328088	1913.217265980306	2974.105064625525	2104.5230062542814	2350.943903795609	2303.070800700552	2627.9064491649024	1564.2691516489222	phage	gene-CPT_phageK_gp129	1.225366053117156	0	0	0
gene-CPT_phageK_gp005	0	0	0	0.6412527513750863	1.4427691009644046	1.493107256986529	23.93621695059868	9.291913596044122	95.8974979599665	275.6020109397864	44.17950169298116	624.2283995763877	528.6869370705509	455.25624932359614	504.64697571032656	264.28658749634405	422.5661661580013	302.4563673972394	138.6360636869821	147.09250801507807	204.85080624511008	phage	gene-CPT_phageK_gp005	1.0519967648582669	0	0	0
gene-CPT_phageK_gp080	0	0	0	0.0	2.596984381735928	2.6129376997264253	53.932235660842586	15.099359593571698	179.4097102055462	805.0739746090535	114.41358130746404	1992.630667423396	2971.464864129202	1967.8086847987183	4471.720828770538	4345.955751106548	4861.587866950946	3591.30583355448	1690.2661075249896	2611.8067716707146	2284.79636866452	phage	gene-CPT_phageK_gp080	1.10161262032966	0	0	0
gene-CPT_phageK_gp039	0	0	0	0.0	1.7313229211572854	5.599152213699483	99.68373894616413	8.517587463040446	238.5052163284776	186.6981364430811	53.99716873586587	306.08035761302665	205.45507207939727	313.0089230224867	216.83709568916527	116.5571616650543	103.47017830857224	205.3940475714426	85.131579416706	68.05772758906598	206.37197559841536	phage	gene-CPT_phageK_gp039	0.902611193151066	0	0	0
gene-CPT_phageK_gp048	0	0	0	0.0	0.5771076403857618	0.7465536284932643	16.967444927006657	8.130424396538608	72.54238775569422	206.4545529979045	35.11703980724144	505.37999309582176	387.7909959205609	350.27189004897326	414.08047791244223	219.29010183029985	389.3348680151021	235.2034491658821	114.38069748445696	121.11348296763892	177.97681433671693	phage	gene-CPT_phageK_gp048	1.0526746956138238	0	0	0
