Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	0_T	5_T	15_T	25_T	classification
gene-EST35_0454	phage	gene-EST35_0454	1.4010298816657072	0	0	0	0.0	123.7922284509104	318.2636799621865	130.64862602717872	middle
gene-EST35_0181	phage	gene-EST35_0181	1.1508309217730444	0	0	0	0.0	85.80370716871276	1418.0002826426783	1311.829470373544	middle
gene-EST35_0342	phage	gene-EST35_0342	2.092095962289739	0	0	0	0.0	17.879386170606562	38.10281771842648	514.3504832391965	late
gene-EST35_0220	phage	gene-EST35_0220	1.703724264899488	0	0	0	0.0	15.81701608818142	367.5938846766606	3711.0109395306895	late
gene-EST35_0017	phage	gene-EST35_0017	1.1310663053994432	0	0	0	0.0	112.62204748984148	200.75063011488987	128.7496432613202	middle
gene-EST35_0351	phage	gene-EST35_0351	1.3459370710317116	0	0	0	0.03711232832950285	30.13142351997797	1890.1503116425056	2650.485015344164	late
gene-EST35_0001	phage	gene-EST35_0001	0.940851138815586	0	0	0	0.0	93.21747835805435	164.58816556985536	173.76622753746702	late
gene-EST35_0108	phage	gene-EST35_0108	1.3263044402529458	0	0	0	0.0	7.99199676457422	84.42774468863921	54.35959897836395	middle
gene-EST35_0244	phage	gene-EST35_0244	1.8493413891534232	0	0	0	0.0	10.101454466079547	384.7727914528735	7336.583016457903	late
gene-EST35_0066	phage	gene-EST35_0066	1.0305123051346592	0	0	0	0.0	2845.212300997839	1608.2785648757454	550.3596992877073	early
gene-EST35_0256	phage	gene-EST35_0256	1.3487691250783214	0	0	0	0.0	6.945777242202708	1320.8295338107764	4312.27420699673	late
gene-EST35_0105	phage	gene-EST35_0105	1.508472421703495	0	0	0	0.0	3167.2092824825363	651.2400377781279	487.7915945152902	early
gene-EST35_0107	phage	gene-EST35_0107	1.2197731700751278	0	0	0	0.0	7.94579038244488	70.72885893543084	75.97417389708149	late
gene-EST35_0420	phage	gene-EST35_0420	1.1055253859152454	0	0	0	0.0	457.838563731799	1468.3098775844664	385.64534611858016	middle
gene-EST35_0124	phage	gene-EST35_0124	1.206243384559605	0	0	0	0.0	9.862397568520906	210.09238679228588	130.17292923505025	middle
gene-EST35_0274	phage	gene-EST35_0274	1.3925457947555513	0	0	0	0.0	101.42220112643228	895.4156844097253	1810.7718814100765	late
gene-EST35_0123	phage	gene-EST35_0123	1.1136096813795386	0	0	0	0.0	14.732947066726746	710.3518118756596	623.7374059609183	middle
gene-EST35_0347	phage	gene-EST35_0347	1.7211054626136708	0	0	0	0.0	111.32319066212459	416.7923902481701	5877.101270719925	late
gene-EST35_0150	phage	gene-EST35_0150	2.4271580184702004	0	0	0	0.0	2.00303037951215	3.0404205026302704	77.53763108482224	late
