Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	0_T	2.5_T	5_T	10_T	20_T	30_T	classification
gene-T7p37	phage	gene-T7p37	1.1406317418645553	0	0	0	0.4416799790600519	20.5	1.1001885152064856	1973.7474275776017	5351.6392708546555	3295.6658534549406	middle
gene-T7p54	phage	gene-T7p54	1.4706485053484066	0	0	0	0.1598022070156323	17.0	1.1833540631186485	83.30172701652265	1876.0770151099887	3491.7394777006784	late
gene-T7p30	phage	gene-T7p30	1.074810030645138	0	0	0	0.2208399895300259	16.5	0.5896226669623816	1910.046258121366	2400.946797608968	1177.2485749259977	middle
gene-T7p58	phage	gene-T7p58	1.4479318421573075	0	0	0	0.3652572994990816	35.5	1.9822429666065116	237.29344213178143	3390.0279179195913	6266.411569903306	late
gene-T7p32	phage	gene-T7p32	1.216831150602536	0	0	0	0.5488724527141756	20.0	1.241970493784819	1848.9401256124245	6738.4135881549355	3680.6273658069895	middle
gene-T7p10	phage	gene-T7p10	0.998687676432272	0	0	0	0.1042158553791909	33.0	4.442181947906047	1330.0161169075845	1700.0375248579194	1356.7760490122744	middle
gene-T7p28	phage	gene-T7p28	1.0680348026549498	0	0	0	0.46947315487827257	17.0	0.7988889034878633	2710.9638763112134	3644.5988781071137	1842.9639809327323	middle
gene-T7p25	phage	gene-T7p25	1.0609825926331098	0	0	0	0.42034184546360975	23.5	0.866373161435012	3230.8651808300338	4533.4449665126485	2437.724647975844	middle
gene-T7p09	phage	gene-T7p09	1.025184800624687	0	0	0	0.14739392824398828	5.5	3.0032714051774017	770.2704791866029	980.5699899897468	653.6913476497368	middle
gene-T7p13	phage	gene-T7p13	1.1763541374155788	0	0	0	0.01836151532150935	4.0	0.21607969920951736	58.555517177134874	174.6163387668572	224.05380603480415	late
gene-T7p15	phage	gene-T7p15	1.0312563288735637	0	0	0	0.01538489704657665	7.0	0.34218038782283644	151.0016661739383	217.11179120861124	132.21511286798543	middle
gene-T7p14	phage	gene-T7p14	0.9782103908370164	0	0	0	0.01538489704657665	21.5	0.34899385050687215	114.7760755873843	188.07413991067	191.88426024729483	late
