Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	0_T	30_T	60_T	classification
gene-VPVV882_gp52	phage	gene-VPVV882_gp52	1.041719289631104	0	0	0	69.64588708388128	337.6462025324898	1662.7583612305673	late
gene-VPVV882_gp03	phage	gene-VPVV882_gp03	0.8851722122935387	0	0	0	28.719934060416346	470.2752758910401	1076.519920010159	late
gene-VPVV882_gp30	phage	gene-VPVV882_gp30	0.9255866612194912	0	0	0	105.5266389916049	649.4301402961713	2264.7342293415395	late
gene-VPVV882_gp09	phage	gene-VPVV882_gp09	0.7131262455358044	0	0	0	273.9618151692037	985.9600592097428	2325.410319029008	late
gene-VPVV882_gp62	phage	gene-VPVV882_gp62	0.8477255111843852	0	0	0	139.61379616755696	3317.8952750270378	7301.886365663612	late
gene-VPVV882_gp44	phage	gene-VPVV882_gp44	0.9205366118057036	0	0	0	53.933732106873116	330.604411121032	1163.5703304218102	late
gene-VPVV882_gp49	phage	gene-VPVV882_gp49	1.197985296602618	0	0	0	20.865406018536245	146.22070129078642	1134.8649341605092	late
gene-VPVV882_gp64	phage	gene-VPVV882_gp64	0.8272997706388889	0	0	0	78.17674490489539	1620.783812971017	3495.9764147110086	late
gene-VPVV882_gp05	phage	gene-VPVV882_gp05	0.721897109553661	0	0	0	191.26834352812872	3841.0019833009815	5948.046058703277	late
gene-VPVV882_gp48	phage	gene-VPVV882_gp48	0.8746093717707031	0	0	0	51.55588071762967	171.34102709337785	599.648687916294	late
gene-VPVV882_gp01	phage	gene-VPVV882_gp01	0.9357811951910638	0	0	0	20.68840192114787	899.6312226422064	2159.871050567983	late
