Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b2319	2130	1950	1857	1570	1859	2313	1002	1045	524	599	432	790	host	usg	0.4856162644180119	0	1
gene-b3207	9189	10179	5666	6088	5608	6536	4916	5663	3222	3994	3680	4216	host	yrbL	0.3517120613931738	0	1
gene-b2517	12543	12194	13500	13560	18187	24081	9346	10954	2268	2624	1595	1873	host	rlmN	0.6638374766248224	0	1
gene-b0928	13451	14358	8677	9696	8302	9486	5765	6581	4012	4766	3406	6211	host	aspC	0.4223009342967818	0	1
gene-b3313	133004	99916	83852	75365	129265	142982	128008	138756	60180	67097	32092	45705	host	rplP	0.39559137376969944	0	1
gene-b4415	21	17	6	13	10	11	14	8	7	3	6	7	host	hokE	0.4863800328827975	0	1
gene-b3180	12762	12343	11917	13595	12436	13808	10990	11905	3650	4007	2675	2848	host	yhbY	0.46684500145651514	0	1
gene-b2697	46173	43868	28957	29091	32632	37495	23989	24677	12875	14863	10789	13691	host	alaS	0.4344252696844826	0	1
gene-b1163	1025	1181	1068	1130	805	1145	615	774	204	298	245	377	host	bluF	0.49104731678418684	0	1
gene-b2604	628	685	923	1066	1149	1388	674	715	239	294	192	295	host	dgcN	0.5415239390422791	0	1
gene-b1897	1735	2050	932	1342	592	821	373	437	215	286	612	924	host	otsB	0.6474577863790275	0	1
gene-b3670	237	285	235	289	228	433	101	193	44	53	50	92	host	ilvN	0.61982294624665	0	1
gene-b0156	3046	3015	2179	2809	2059	2315	2124	2494	1060	1233	871	1390	host	erpA	0.3524553479128814	0	1
gene-b0889	11141	14199	7179	9749	5716	9663	3943	5051	2789	3998	4248	4975	host	lrp	0.49005900611196695	0	1
gene-b1783	4941	6374	2524	3118	1174	1705	660	875	561	774	1467	2660	host	yeaG	0.7827360136178387	0	1
gene-b3270	65	103	58	80	28	28	45	32	27	24	33	111	host	yhdY	0.5581100513377387	0	1
gene-b2247	26	27	14	21	16	18	30	27	18	19	10	43	host	rhmD	0.37653056407387425	0	1
gene-b2405	383	437	285	403	238	308	329	299	131	140	157	195	host	xapR	0.3625183405578338	0	1
gene-b2997	417	508	354	400	373	572	322	416	206	202	137	236	host	hybO	0.36220730626258557	0	1
gene-b3160	1170	1406	328	360	270	405	192	215	116	179	261	424	host	yhbW	0.8804568874531208	0	1
gene-b3044	75	57	48	75	39	34	38	48	29	26	22	67	host	insC5	0.38122791185453414	0	1
gene-b2076	416	517	300	382	331	420	239	302	122	130	86	210	host	mdtC	0.44736249174170056	0	1
gene-b4765	157	241	188	280	108	151	229	246	51	67	102	113	host	yadX	0.44904144842777527	0	1
gene-b4527	25	33	14	23	12	18	14	28	6	8	12	13	host	ydaF	0.46470283276793467	0	1
gene-b0277	159	133	108	143	112	117	115	117	45	66	64	73	host	yagK	0.32041399589472	0	1
gene-b0534	19	18	14	27	8	13	30	28	18	9	12	19	host	sfmF	0.3896719647726789	0	1
gene-b0015	2625	3006	2346	2759	2836	3135	1470	1450	1053	1171	1203	2099	host	dnaJ	0.3587962642830162	0	1
gene-b4416	408	300	207	147	130	58	308	185	113	113	187	213	host	rybA	0.48159527512296835	0	1
gene-b3523	664	694	295	469	182	202	179	180	206	229	256	772	host	yhjE	0.6007315512074516	0	1
gene-b1493	1669	2047	1402	1742	1010	1421	487	678	235	325	455	1339	host	gadB	0.5540842390060717	0	1
gene-b0950	2046	1865	1893	2161	2350	2714	1934	2106	619	621	483	571	host	pqiA	0.4755566300540025	0	1
gene-b2007	3988	4823	2723	3882	2305	2604	2578	2694	1068	1302	1006	1301	host	tmaR	0.46916883882398175	0	1
gene-b1268	1016	1088	848	1197	707	917	741	769	258	318	319	327	host	yciQ	0.4457214560844476	0	1
gene-b4674	1	0	0	0	0	2	0	0	2	0	1	0	host	ynbG	1.5275252316519468	0	1
gene-b0372	135	111	76	85	70	67	68	79	42	48	28	126	host	insF2	0.4003530141767663	0	1
gene-b4137	166	171	112	140	76	104	112	127	70	67	59	119	host	cutA	0.32468034187513667	0	1
gene-b2437	314	311	128	203	153	180	153	145	80	81	55	117	host	eutR	0.4961702286850082	0	1
gene-b0047	1566	1521	867	974	997	1234	532	528	314	348	387	572	host	kefC	0.5189006477284148	0	1
gene-b1385	701	731	492	578	402	569	393	414	270	320	275	376	host	feaB	0.3231783439368124	0	1
gene-b4353	833	966	582	745	534	644	304	334	224	280	233	312	host	yjiX	0.4885374973537183	0	1
gene-b4294	191	241	158	233	136	134	212	157	58	88	65	107	host	insA7	0.4017164284388516	0	1
gene-b1043	16	22	27	44	18	14	33	21	12	9	12	16	host	csgC	0.4748442084577128	0	1
gene-b3750	1135	1303	972	1680	829	1053	1427	1592	642	824	685	963	host	rbsC	0.30092847837662007	0	1
gene-b0029	4603	4731	3665	3646	4129	5002	1982	2191	1160	1392	989	1508	host	ispH	0.5003802376658424	0	1
gene-b2521	721	742	376	460	338	482	284	331	187	225	203	418	host	sseA	0.44082955948040276	0	1
gene-b3426	489	482	268	351	171	216	224	234	191	194	259	498	host	glpD	0.3995986983853554	0	1
gene-b2408	50	85	43	67	30	47	43	60	33	28	28	30	host	yfeN	0.3776220327973187	0	1
gene-b1388	22	41	17	20	8	24	19	16	11	5	16	37	host	paaA	0.5170186116159201	0	1
gene-b4300	102	119	50	87	58	61	75	66	40	31	51	86	host	sgcR	0.3608073177100295	0	1
gene-b4218	656	611	901	978	802	859	438	448	150	168	155	282	host	paeA	0.5465897755514731	0	1
gene-b4039	311	274	267	358	232	290	218	220	114	90	79	155	host	ubiC	0.3977127244550973	0	1
gene-b2398	646	738	322	452	338	420	417	436	208	239	209	219	host	yfeC	0.4215504435614676	0	1
