Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b3001	305	363	265	220	129	184	88	175	110	68	59	86	host	gpr	0.5573327478668234	0	1
gene-b2945	131	138	170	116	90	94	55	107	50	38	22	29	host	endA	0.5277786428589055	0	1
gene-b1323	3699	4339	3198	2892	1226	1762	965	1759	1258	838	813	764	host	tyrR	0.6108502095561723	0	1
gene-b4227	254	319	254	172	94	150	72	126	97	59	73	89	host	ytfQ	0.5607414783330427	0	1
gene-b2037	3294	4165	4293	1812	2519	2386	1754	3481	1148	706	586	703	host	rfbX	0.5731889709554439	0	1
gene-b3453	1400	1959	1319	1192	410	742	166	278	232	172	321	425	host	ugpB	0.8003405679700256	0	1
gene-b2199	315	321	317	287	155	202	119	190	142	69	54	67	host	ccmC	0.5252616722963952	0	1
gene-b4425	953	1213	1637	1491	1069	1286	802	1246	529	451	314	402	host	rttR	0.4511347071824013	0	1
gene-b0169	69117	89090	99791	62360	57112	77690	57636	102536	62653	40446	17731	17996	host	rpsB	0.4234246408717784	0	1
gene-b0971	13904	20610	18408	17713	12131	18343	20034	13277	3820	3890	1915	1413	host	serT	0.5853796463909821	0	1
gene-b1581	37	91	46	34	11	20	21	36	23	20	14	39	host	rspA	0.6261598983026613	0	1
gene-b2393	903	1153	949	881	401	716	324	790	294	227	136	158	host	nupC	0.5915273067576253	0	1
gene-b2036	7373	10605	9684	3583	5276	4071	4686	7135	3225	2131	1609	1853	host	glf	0.563614547071044	0	1
gene-b0898	545	530	693	623	384	476	207	350	109	78	64	84	host	ycaD	0.6392077518503504	0	1
gene-b1062	3649	4273	2276	1934	625	900	690	1282	2448	1764	1233	1206	host	pyrC	0.5926044923756768	0	1
gene-b2692	19571	18805	25107	16594	17201	16137	11956	13573	5633	2962	2115	2090	host	argZ	0.5848379135589502	0	1
gene-b0315	341	513	726	354	404	568	236	409	180	103	89	91	host	pdeL	0.5835259727871659	0	1
