Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-b3499	294	2401	466	2638	185	455	88	213	39	156	43	75	host	rlmJ	1.4905281901569658	0	0	0	1
gene-b4113	84	284	69	354	24	264	7	171	1	132	5	54	host	basR	0.9644574445885566	0	0	0	1
gene-b0202	1148	5038	1623	7590	644	1864	2051	1056	200	434	111	288	host	ileV	1.1754928756675898	0	0	0	1
gene-b2110	0	18	0	44	1	68	0	46	4	42	0	24	host	yehC	1.110780965046069	0	1	0	1
gene-b3861	62	197	60	587	58	648	59	547	48	261	32	98	host	yihF	1.0178791665249332	0	0	0	1
gene-b1434	15	178	29	157	16	87	4	64	4	30	6	10	host	sutR	1.1602873207385602	0	0	0	1
gene-b0055	201	977	243	1237	105	374	62	176	37	124	14	74	host	djlA	1.2455195787684616	0	0	0	1
gene-b1930	6	47	12	65	7	48	4	32	0	23	2	15	host	yedF	0.946747869140844	0	1	0	1
gene-b1089	4954	31859	6402	40145	5415	31549	3743	13881	1738	8530	1392	3890	host	rpmF	1.0225150160863175	0	0	0	1
gene-T4p061	0	1	3	869	1045	104878	1820	110661	4236	101685	703	37288	phage	a-gt.2	1.4778349803180257	0	1	0	1
gene-T4p021	0	0	899	44472	1929	24685	32	3653	78	2398	10	4500	phage	gene-T4p021_gene_modB	1.9029361101800513	0	1	0	1
gene-b1349	7	88	9	117	0	112	2	61	1	53	1	28	host	recT	1.0801271485808466	0	1	0	1
gene-b4261	545	1327	843	1293	321	463	109	251	82	155	73	68	host	lptF	0.9551695921849171	0	0	0	1
gene-b4598	46	205	41	266	26	415	2	110	3	65	2	40	host	yncL	1.2142805102297576	0	0	0	1
gene-b2716	58	219	61	389	26	302	9	196	4	152	6	59	host	ascB	0.9940209545009546	0	0	0	1
gene-b0193	28	218	50	255	15	187	10	111	9	79	3	40	host	yaeF	1.0179075297954996	0	0	0	1
gene-b2975	18	166	64	415	31	439	12	295	6	152	4	75	host	glcA	1.0920107309772542	0	0	0	1
gene-b0960	230	2442	378	2206	144	432	71	256	49	184	35	68	host	yccS	1.4924442733639636	0	0	0	1
gene-b2768	13	56	13	92	9	122	1	81	1	50	0	13	host	ygcP	1.0638834174936944	0	1	0	1
gene-b3775	211	1702	250	1972	136	694	87	174	41	139	18	46	host	ppiC	1.4104940616167136	0	0	0	1
gene-b1770	26	126	21	241	5	95	1	72	2	56	0	32	host	ydjF	1.2030445665774905	0	1	0	1
gene-b1286	2125	14844	2526	18033	1066	1831	399	569	237	491	195	182	host	rnb	1.6530353018945507	0	0	0	1
gene-b3867	481	4420	613	4256	273	886	162	529	102	352	60	120	host	hemN	1.4705830086269307	0	0	0	1
gene-b0454	29	190	39	233	22	117	11	62	2	70	2	18	host	ybaZ	1.0976073528509163	0	0	0	1
gene-b1994	330	2701	319	2545	130	644	48	342	42	232	27	93	host	insH6	1.4675995843202383	0	0	0	1
gene-b0630	151	1579	188	1178	61	304	24	151	23	122	21	47	host	lipB	1.5172630454856095	0	0	0	1
gene-b4458	723	33	16	48	6	67	5	43	0	21	0	11	host	oxyS	2.400039600938976	0	1	0	1
gene-b0152	81	434	209	621	66	199	24	127	4	87	9	31	host	fhuD	1.1510399917418659	0	0	0	1
gene-b2802	22	180	32	403	18	369	8	276	5	166	6	42	host	fucI	1.1208471007838487	0	0	0	1
gene-b4425	94	808	166	967	159	1879	136	882	63	667	62	480	host	rttR	0.9868469600831974	0	0	0	1
gene-b2690	189	1674	265	1674	152	287	63	132	28	59	18	28	host	yqaB	1.5357658273832124	0	0	0	1
gene-b2341	92	724	87	603	52	2900	24	261	14	176	10	77	host	fadJ	1.8672962934926278	0	0	0	1
gene-b0094	1213	1995	1459	1917	532	527	235	268	103	170	98	76	host	ftsA	0.9745720535989971	0	0	0	1
gene-b0387	90	632	177	676	73	222	26	77	18	54	14	21	host	yaiI	1.2904591288815037	0	0	0	1
gene-b3239	26	62	21	111	18	108	2	73	0	32	3	18	host	yhcO	0.9594958974846971	0	1	0	1
gene-b0847	259	2207	413	2848	152	612	53	291	38	224	28	93	host	ybjL	1.4733137160078444	0	0	0	1
gene-b2457	8	45	9	74	8	86	4	50	2	23	3	5	host	eutM	1.0826165679885213	0	0	0	1
gene-b1022	16	118	46	276	13	166	5	161	7	110	2	39	host	pgaC	1.0417737843535788	0	0	0	1
gene-b2506	10	94	10	165	14	102	1	90	1	59	1	43	host	yfgI	1.038511519621278	0	0	0	1
gene-b2317	388	978	626	1254	304	301	56	117	58	71	27	27	host	dedA	1.1066328160771686	0	0	0	1
gene-b0621	16	141	26	299	9	327	8	223	1	149	2	65	host	dcuC	1.0941094723046918	0	0	0	1
gene-b1988	1381	5151	2512	8324	962	929	192	259	78	145	22	121	host	nac	1.4680556511566012	0	0	0	1
gene-b0876	175	1311	220	1343	80	388	27	226	19	172	16	58	host	ybjD	1.353878712059346	0	0	0	1
gene-b3172	629	2041	803	2675	279	671	111	375	123	301	97	144	host	argG	1.1506839289458348	0	0	0	1
gene-b2617	600	3545	345	2284	138	529	62	162	49	113	27	79	host	bamE	1.5966504835842306	0	0	0	1
gene-b0711	441	843	552	1655	179	211	65	109	27	80	39	36	host	pxpB	1.3069729845078542	0	0	0	1
gene-b2556	115	806	180	992	91	457	62	288	61	222	30	70	host	glrK	1.0735775582547296	0	0	0	1
gene-b0274	39	513	140	663	80	320	27	147	15	124	7	78	host	insB3	1.12678899699164	0	0	0	1
gene-b1716	5284	58409	7873	91889	5825	16875	1420	3756	1642	2675	652	897	host	rplT	1.6711884992592407	0	0	0	1
gene-b0732	40	249	55	457	23	410	11	314	17	200	8	70	host	mngB	1.0261689750897527	0	0	0	1
gene-b2375	4	48	6	121	1	138	4	110	2	59	1	31	host	yfdX	1.1359074408972387	0	0	0	1
gene-b0649	20	140	23	245	8	422	3	205	3	155	2	61	host	djlC	1.1746779362847197	0	0	0	1
gene-b2779	9943	59302	12647	83653	9120	10060	2793	1643	1389	1234	820	411	host	eno	1.5919551763430286	0	0	0	1
gene-b1205	25	190	31	298	12	158	22	134	27	155	34	77	host	ychH	0.8894121164911051	0	0	0	1
gene-b1617	5	89	7	208	9	257	5	187	3	103	0	25	host	uidA	1.1978725459812052	0	1	0	1
gene-b3732	13358	91490	19748	145312	15954	14206	5026	2702	2792	2599	2472	979	host	atpD	1.630427807561298	0	0	0	1
gene-b4313	21	72	46	350	29	164	9	99	7	64	1	47	host	fimE	1.2369752609725764	0	0	0	1
gene-T4s001	13	4	30	34971	2312	157141	11778	277667	57848	708195	9626	738951	phage	gene-T4s001	1.570871100782544	0	0	0	0
gene-b2400	2663	21349	2980	23336	1407	2954	544	800	343	684	304	296	host	gltX	1.6471382671202344	0	0	0	1
gene-b3357	1534	8829	1288	6236	362	649	152	249	110	251	105	104	host	crp	1.6418941824816389	0	0	0	1
gene-b2038	369	1625	137	1713	63	129	4	50	23	35	3	19	host	rfbC	1.7238384890544705	0	0	0	1
gene-b3219	45	185	30	249	18	286	5	162	9	104	3	42	host	yhcF	1.0200424771938013	0	0	0	1
gene-b1916	63	364	145	536	68	152	14	76	15	71	5	31	host	sdiA	1.2052857668315704	0	0	0	1
gene-b2195	15	130	23	176	15	150	4	91	5	47	3	18	host	ccmG	1.0736215634680426	0	0	0	1
gene-b0221	98	474	181	1397	85	641	64	449	35	308	32	110	host	fadE	1.166230506170983	0	0	0	1
gene-b3090	36	107	59	134	19	126	5	91	5	67	2	28	host	ygjV	0.8163934145482724	0	0	0	1
gene-b2533	962	15606	2023	13228	987	2220	477	568	240	406	135	153	host	suhB	1.6644674540014344	0	0	0	1
gene-b3800	46	153	109	633	124	491	114	819	60	101	37	26	host	aslB	1.1282574383883832	0	0	0	1
gene-b1524	77	838	125	760	46	271	15	135	15	100	8	44	host	glsB	1.3605903519346196	0	0	0	1
gene-b4319	26	194	25	271	13	173	3	116	4	94	2	41	host	fimG	1.0764192626243265	0	0	0	1
gene-b3582	14	118	15	262	5	290	3	243	4	190	4	72	host	sgbU	1.075444821502095	0	0	0	1
gene-b2712	42	399	66	567	32	533	19	406	13	315	3	128	host	hypF	0.9924169669850501	0	0	0	1
gene-b3350	297	706	487	1152	179	629	81	402	36	299	29	126	host	kefB	0.866468633998625	0	0	0	1
gene-b3648	757	7167	1249	8105	577	747	178	249	128	201	58	88	host	gmk	1.6712504848390595	0	0	0	1
gene-b1944	14	60	13	65	6	54	3	46	0	44	3	10	host	fliL	0.9038897786417724	0	1	0	1
gene-b0456	14	87	39	142	27	154	10	62	8	58	1	26	host	ybaA	0.9406286961980922	0	0	0	1
gene-b3358	185	1674	398	1978	113	724	72	439	30	265	40	119	host	yhfK	1.2429365356226179	0	0	0	1
gene-b0806	3	22	10	55	5	69	0	30	0	13	1	5	host	mcbA	1.2298229377069543	0	1	0	1
gene-b3363	392	1496	394	891	146	199	50	124	30	80	23	41	host	ppiA	1.3240844363531645	0	0	0	1
gene-b0410	65	566	133	572	72	164	13	57	10	39	1	12	host	yajD	1.3858962888474433	0	0	0	1
gene-T4p234	6	1	54	5774	910	172869	22584	416942	39937	429541	12352	244735	phage	gene-T4p234_gene_nrdA	1.4087825102870406	0	0	0	0
gene-b2254	27	161	58	487	16	212	12	144	2	95	2	35	host	arnC	1.278289933457014	0	0	0	1
gene-b2443	44	108	15	165	6	128	3	67	2	52	2	31	host	yffL	1.0146227267878283	0	0	0	1
gene-b3124	50	183	51	339	25	300	18	227	11	160	8	86	host	garK	0.9263769668086884	0	0	0	1
gene-b0984	31	170	32	308	17	317	6	221	3	161	3	57	host	gfcD	1.0386529330684278	0	0	0	1
gene-b4750	19	170	72	190	31	57	2	14	3	14	5	9	host	ynfS	1.2767835523990123	0	0	0	1
gene-T4p232	1	1	32	2279	697	29466	3622	85751	6141	58042	1304	41190	phage	nrdB.1	1.4375117466285545	0	0	0	0
gene-b2844	100	364	169	576	83	261	32	218	21	121	15	63	host	yqeF	0.9450962202262075	0	0	0	1
gene-b0911	27319	145488	40414	162456	34948	30083	14366	6735	8714	5449	6637	2133	host	rpsA	1.2960090289214707	0	0	0	1
gene-b0176	1326	5713	2657	7095	1180	968	440	333	234	254	174	122	host	rseP	1.3046542528780374	0	0	0	1
gene-b3218	214	2040	349	1842	87	526	42	2474	29	1446	24	81	host	insH10	1.1506086154809791	0	0	0	1
gene-b2368	8	63	10	186	7	129	2	105	3	62	1	39	host	emrK	1.130813355919112	0	0	0	1
gene-b4678	200	1826	282	1383	130	165	47	33	48	36	10	11	host	yoeI	1.6543760547808373	0	0	0	1
gene-b3033	247	1214	271	1162	97	326	35	139	24	93	8	38	host	yqiB	1.3383051090088953	0	0	0	1
gene-b0212	158	584	173	732	73	244	70	152	59	110	33	37	host	gloB	1.0619294939806465	0	0	0	1
gene-b1840	372	2141	664	2621	260	442	114	184	51	135	42	62	host	yebZ	1.3980008782451805	0	0	0	1
gene-b1047	76	990	151	748	34	280	15	160	18	84	6	43	host	opgC	1.4056352421390432	0	0	0	1
gene-b4391	1589	11785	1881	14006	1247	2297	428	661	268	496	208	237	host	ettA	1.5487430767545354	0	0	0	1
gene-b2783	220	643	374	1085	126	139	27	57	14	35	13	21	host	mazE	1.3710571597423171	0	0	0	1
gene-b0254	15	136	29	195	13	234	13	137	5	121	5	36	host	perR	1.0032847615806997	0	0	0	1
gene-b2498	1600	44004	1148	21816	383	2649	267	958	143	960	106	280	host	upp	2.0664101790893357	0	0	0	1
gene-b2383	24	187	32	360	12	405	6	263	8	204	5	85	host	fryA	1.0611635992856623	0	0	0	1
gene-b0188	176	897	267	849	111	438	83	246	51	195	29	68	host	tilS	1.0037696083330667	0	0	0	1
gene-b1397	37	291	75	362	39	175	23	111	13	72	9	42	host	paaJ	1.055800184234436	0	0	0	1
gene-b2009	38	129	46	152	19	94	13	57	11	42	8	27	host	sbmC	0.8593022633112369	0	0	0	1
gene-b3779	681	6772	1792	8856	821	1382	361	655	197	497	136	193	host	gpp	1.4696127031698976	0	0	0	1
gene-T4p269	0	0	3733	45640	9644	33629	666	14497	2328	5885	232	6003	phage	ndd.1	1.377085993488422	0	1	0	1
gene-b2996	33	238	57	398	43	262	12	145	12	125	8	44	host	hybA	1.0397012395831093	0	0	0	1
gene-b4793	3	27	66	140	38	112	1	29	5	16	1	8	host	ysaE	1.1854266663045963	0	0	0	1
gene-b0716	30	112	32	175	5	165	7	113	5	70	0	38	host	ybgO	0.9707046042441386	0	1	0	1
gene-b0717	6	39	9	107	6	106	5	67	1	52	0	24	host	ybgP	1.0801217168055344	0	1	0	1
gene-b3544	10608	7489	14455	15457	8009	3185	1949	819	1061	621	662	287	host	dppA	1.0024418748570856	0	0	0	1
gene-T4p148	0	0	9	1384	5	2549	89	7200	3905	50224	2271	40099	phage	segC	1.831308916333383	0	1	0	1
gene-b0317	1	42	3	116	1	151	1	102	1	78	0	67	host	yahC	1.1108885469034413	0	1	0	1
gene-b0436	10985	89575	13006	118150	7213	19694	2655	4171	1856	2873	1543	949	host	tig	1.634697650585193	0	0	0	1
gene-b3012	166	351	212	328	59	231	35	153	22	91	13	56	host	dkgA	0.784394139281541	0	0	0	1
gene-b1672	8	50	9	84	4	71	2	39	1	39	1	8	host	ydhW	1.071210711783736	0	0	0	1
gene-b1048	1172	9139	1394	9153	461	1263	187	477	152	397	90	187	host	opgG	1.606475910394842	0	0	0	1
gene-b1738	35	179	40	226	17	107	11	28	5	33	1	12	host	chbB	1.2196808423548833	0	0	0	1
gene-b3954	21	217	45	985	17	317	10	179	9	7684	7	77	host	yijO	2.625148320958928	0	0	0	1
gene-b0198	201	949	252	1520	119	399	27	167	54	181	56	69	host	metI	1.2955207817499967	0	0	0	1
gene-b4408	26486	18126	24873	19997	12687	19295	7305	4718	3388	2671	2737	2462	host	csrB	0.7352072129429348	0	0	0	1
gene-b4760	37	140	50	271	7	95	5	58	5	33	3	21	host	rirA	1.2380176705828503	0	0	0	1
gene-b1869	111	753	128	742	54	322	21	149	16	92	8	54	host	yecN	1.2543395726165636	0	0	0	1
gene-b3506	171	1342	217	1707	102	404	40	171	19	132	9	54	host	slp	1.4680105569684878	0	0	0	1
gene-b3709	26	131	24	424	21	563	31	397	20	286	16	168	host	tnaB	1.0589929058869727	0	0	0	1
gene-T4p008	0	0	758	52113	4567	117221	428	42008	1998	15061	80	6918	phage	39.2	1.6798419671913472	0	1	0	1
gene-b2163	3	41	7	116	2	94	1	91	1	60	0	24	host	yeiL	1.1233987686429205	0	1	0	1
gene-b0861	216	1861	400	2485	126	278	65	117	39	112	30	44	host	artM	1.6096487242360236	0	0	0	1
gene-b4523	249	407	56	213	21	60	9	23	8	18	5	7	host	yciX	1.383928545556626	0	0	0	1
gene-b4679	11	75	18	154	9	117	0	28	0	16	2	23	host	yohP	1.2802371112781459	0	1	0	1
gene-b3785	651	3419	2185	4178	447	800	218	415	169	269	121	99	host	wzzE	1.2385495061467282	0	0	0	1
gene-b4120	35	237	33	385	9	447	5	297	3	250	5	86	host	melB	1.0537688506768872	0	0	0	1
gene-b2761	35	171	67	401	25	498	5	344	2	225	1	159	host	cas3	1.0252279497721153	0	0	0	1
gene-b3576	4	23	4	85	0	102	1	95	2	60	1	22	host	yiaL	1.1660439720947005	0	1	0	1
gene-b2818	84	509	82	487	21	320	17	231	17	134	9	40	host	argA	1.0789263316799738	0	0	0	1
gene-b3932	558	1281	778	2155	374	435	112	205	61	142	57	85	host	hslV	1.1601778307585089	0	0	0	1
gene-b3946	13	93	17	187	15	229	8	154	4	100	8	28	host	fsaB	1.073175376682187	0	0	0	1
gene-b0319	7	55	11	142	7	179	2	141	3	104	3	50	host	yahE	1.0709134559642481	0	0	0	1
gene-b4356	38	218	69	429	29	413	11	295	14	191	2	80	host	lgoT	1.0111611989948186	0	0	0	1
gene-b0596	128	777	374	1617	275	388	60	147	19	106	17	44	host	entA	1.340382326342022	0	0	0	1
gene-b4176	9	134	65	197	27	91	10	46	4	31	1	11	host	yjeT	1.1169276068918912	0	0	0	1
gene-b0914	655	5400	1226	6269	501	718	197	283	122	231	82	89	host	msbA	1.562693364644359	0	0	0	1
gene-b2070	42	198	54	414	32	300	20	187	11	143	4	55	host	yegI	1.0278099627714026	0	0	0	1
gene-b1996	39	314	55	449	26	219	21	165	8	97	8	47	host	insD3	1.117163411817193	0	0	0	1
gene-b1717	10927	46685	13048	71090	7317	6893	1367	1487	2148	1497	747	498	host	rpmI	1.5553477388636512	0	0	0	1
gene-b1148	13	73	12	127	2	99	4	61	3	28	2	18	host	ymfM	1.1126162261121186	0	0	0	1
gene-b2703	7	71	7	196	2	278	0	196	1	144	1	38	host	srlE	1.2078412729463743	0	1	0	1
gene-b3838	594	4137	1141	4423	333	413	191	213	84	145	105	65	host	tatB	1.5211359834825482	0	0	0	1
gene-b2487	11	176	36	359	16	376	6	253	3	177	1	62	host	hyfG	1.102283326735529	0	0	0	1
gene-b2747	235	1383	442	1395	186	281	85	158	37	97	38	31	host	ispD	1.297884310379803	0	0	0	1
gene-b2792	44	439	110	599	50	144	15	60	13	55	3	16	host	yqcC	1.4088956241662771	0	0	0	1
gene-b2848	0	32	1	42	0	47	1	35	1	18	0	17	host	yqeJ	1.0863944722355035	0	1	0	1
gene-b0978	23	214	61	404	28	319	7	209	6	196	6	63	host	appC	1.0220798485426053	0	0	0	1
gene-b2838	115	251	122	310	40	295	21	204	21	127	20	44	host	lysA	0.7997819086879637	0	0	0	1
gene-b2322	44	531	87	587	42	299	27	169	14	96	8	36	host	yfcJ	1.202649676790583	0	0	0	1
gene-b1482	230	1127	204	1113	89	254	29	128	16	93	15	51	host	osmC	1.3761993825897685	0	0	0	1
gene-b3091	47	219	59	467	31	302	3	185	12	151	11	44	host	uxaA	1.079947635958185	0	0	0	1
gene-b0409	1151	3431	2022	5073	1128	994	413	296	227	207	186	83	host	secF	1.1677722597338764	0	0	0	1
gene-b1781	71	388	161	650	78	182	25	117	11	76	8	35	host	yeaE	1.2068313516215003	0	0	0	1
gene-b3735	5077	46052	7549	67287	4545	4754	1461	991	983	879	781	293	host	atpH	1.7642460014219872	0	0	0	1
gene-T4p100	0	1	1250	83310	4286	62453	144	12680	968	16595	103	8881	phage	mobD.3	1.6598851403689716	0	1	0	1
gene-b1652	127	1271	206	914	81	199	34	88	21	67	11	24	host	rnt	1.5266387266742032	0	0	0	1
gene-b2340	193	1108	200	1122	129	241	48	765	17	61	20	37	host	sixA	1.2235146707022932	0	0	0	1
gene-b2173	153	739	143	505	46	227	27	143	7	100	8	47	host	yeiR	1.196307368339311	0	0	0	1
gene-b2308	228	1047	671	2105	209	242	51	109	25	88	16	46	host	hisQ	1.4689661260914513	0	0	0	1
gene-b2388	269	463	338	505	180	304	52	183	36	120	29	44	host	glk	0.7582941557606686	0	0	0	1
gene-b4769	15	134	28	176	19	52	6	20	1	10	1	3	host	ybiE	1.404304368584457	0	0	0	1
gene-b2570	121	1196	405	1426	103	261	34	128	18	117	29	45	host	rseC	1.4103490118191164	0	0	0	1
gene-b1544	2	25	6	114	4	29	0	23	0	14	0	9	host	ydfK	1.6125389709417925	0	1	0	1
gene-b3289	522	3292	1082	4676	472	463	188	240	124	178	62	77	host	rsmB	1.4901673019807176	0	0	0	1
gene-b0081	457	2102	475	2152	216	581	92	270	65	212	56	65	host	mraZ	1.2809465333422025	0	0	0	1
gene-b1547	8	47	11	117	3	145	3	95	1	31	2	11	host	stfQ	1.2340960700360863	0	0	0	1
gene-b3230	7166	68298	12513	93496	11784	18974	4161	3348	2456	2123	1426	735	host	rpsI	1.5203443595591226	0	0	0	1
gene-b0647	5	24	3	102	1	97	0	57	1	51	1	14	host	ybeT	1.2273963110300852	0	1	0	1
gene-b4260	1574	9139	2031	11773	735	1222	281	439	154	381	153	158	host	pepA	1.5904230005329065	0	0	0	1
gene-b3945	34	514	45	605	25	373	23	211	7	144	7	50	host	gldA	1.196390800009418	0	0	0	1
gene-b2201	53	208	34	298	22	130	11	91	3	67	5	23	host	ccmA	1.1145961972658993	0	0	0	1
gene-b2615	173	1252	182	776	66	254	30	172	30	1406	18	44	host	nadK	1.2919516178566	0	0	0	1
gene-b2937	815	3942	1006	3725	618	664	245	250	224	204	183	85	host	speB	1.3031763742909996	0	0	0	1
gene-b2759	11	48	7	96	2	89	1	75	1	36	0	11	host	casB	1.118404431646031	0	1	0	1
gene-b4385	130	699	185	818	63	394	37	226	18	168	28	84	host	hipH	1.0734867379463193	0	0	0	1
gene-b0556	38	826	51	712	32	252	8	108	13	83	2	42	host	rzpD	1.5055636884727754	0	0	0	1
gene-b1608	97	965	184	458	70	155	32	80	8	48	10	30	host	rstA	1.4886914016968138	0	0	0	1
gene-b4015	11451	12088	18811	30321	12450	4874	3785	1388	1681	986	1134	406	host	aceA	1.0617792855602375	0	0	0	1
gene-b2205	13	56	29	139	21	166	6	84	3	55	4	38	host	napG	1.0034529611706662	0	0	0	1
gene-b1822	120	1356	308	1181	137	291	51	145	33	81	22	31	host	rlmA	1.3997183957278163	0	0	0	1
gene-b2012	698	2142	801	2894	377	614	68	112	15	61	42	33	host	tsuB	1.3582764447739688	0	0	0	1
gene-b3702	1119	5185	2984	9354	1162	1185	359	419	171	330	125	133	host	dnaA	1.4218281252568947	0	0	0	1
gene-T4p190	0	1	2	702	9	1557	5	7018	2415	57980	343	35423	phage	26'	2.0110138671197695	0	1	0	1
gene-b3667	30	270	102	561	49	540	16	434	8	318	8	155	host	uhpC	0.9731795986802766	0	0	0	1
gene-b1740	853	1314	968	1937	477	395	147	148	105	145	57	65	host	nadE	1.043738553616124	0	0	0	1
gene-b3044	36	150	31	224	17	128	10	82	4	52	2	39	host	insC5	1.025360016468113	0	0	0	1
gene-b0541	30	345	58	436	24	300	15	187	11	135	3	57	host	insF3	1.0756907462889203	0	0	0	1
gene-b1698	9	54	7	127	1	132	5	98	4	62	0	20	host	ydiR	1.1177114336138476	0	1	0	1
gene-b4676	52	233	46	138	15	53	7	24	5	19	3	11	host	yoaK	1.300074525499378	0	0	0	1
gene-b2125	38	162	56	174	18	126	9	89	7	62	3	15	host	btsR	0.9288929994793056	0	0	0	1
gene-b0070	95	291	73	429	44	315	21	230	16	150	9	71	host	setA	0.9145482225168949	0	0	0	1
gene-b3817	18	80	42	251	25	151	10	84	17	39	16	34	host	yigF	1.0713454660308588	0	0	0	1
gene-b4716	33	80	10	32	2	45	1	30	6	18	0	21	host	cpxQ	0.9574293601947624	0	1	0	1
gene-b2435	199	1610	214	1445	53	251	24	113	20	85	9	40	host	amiA	1.590114874064953	0	0	0	1
gene-b0242	873	2998	904	4335	328	630	175	269	108	248	97	120	host	proB	1.3914042743302186	0	0	0	1
gene-b1867	126	627	151	788	95	294	38	130	13	72	16	37	host	yecD	1.2130800336209395	0	0	0	1
gene-b3472	901	5954	908	6246	382	1183	212	406	107	314	76	143	host	dcrB	1.5176694644556474	0	0	0	1
gene-b4792	7	7	3	19	3	36	0	23	1	13	0	5	host	yriB	1.0903718651429979	0	1	0	1
gene-b2056	2	38	7	126	4	167	0	129	1	59	0	33	host	wcaD	1.2209030276088098	0	1	0	1
gene-b0222	652	3326	532	3140	217	429	115	158	70	108	50	70	host	gmhA	1.531684778233195	0	0	0	1
gene-b1074	33	93	24	111	5	99	10	73	1	43	3	22	host	flgC	0.8979251740976767	0	0	0	1
gene-b0213	58	709	135	566	61	207	16	133	13	92	9	46	host	yafS	1.280541380808807	0	0	0	1
gene-b4765	22	80	28	47	11	27	1	13	2	10	0	1	host	yadX	1.1199795581964664	0	1	0	1
gene-b0930	3017	23473	3795	27225	1469	2687	550	766	392	716	314	304	host	asnS	1.674080486852796	0	0	0	1
gene-b0002	4178	6260	5304	12170	2867	2005	745	683	414	499	361	250	host	thrA	1.148341727076972	0	0	0	1
gene-b0326	1	26	7	130	4	103	0	68	0	49	0	33	host	yahL	1.209161451951043	0	1	0	1
gene-b3130	80	376	66	403	19	170	8	117	13	60	1	37	host	yhaV	1.1781802247429334	0	0	0	1
gene-b3470	34	544	100	600	52	220	33	96	8	78	7	26	host	tusA	1.3151691795022915	0	0	0	1
gene-b1396	5	26	10	42	3	39	1	19	0	15	0	10	host	paaI	0.9927766799901073	0	1	0	1
gene-b1383	61	129	38	147	10	76	2	51	8	32	3	26	host	ydbL	0.9459485200283214	0	0	0	1
gene-b2634	7	61	3	98	7	107	2	88	0	62	3	24	host	yfjR	1.040880261987591	0	1	0	1
gene-b1305	37	102	39	144	13	42	3	27	5	26	5	8	host	pspB	1.1008394672731934	0	0	0	1
gene-b0661	916	9801	1031	8997	468	1121	228	1319	113	294	114	118	host	miaB	1.6243650336912165	0	0	0	1
gene-T4p022	0	0	8	654	342	21164	93	10197	454	5309	13	3810	phage	modA.2	1.7440072533883897	0	1	0	1
gene-b3264	12	47	8	134	8	151	12	83	12	86	10	32	host	envR	0.9988270785282884	0	0	0	1
gene-b0352	22	92	29	202	16	227	12	188	2	142	2	38	host	mhpE	1.012734543401211	0	0	0	1
gene-b3227	13	294	46	338	27	325	13	238	13	145	7	41	host	dcuD	1.0368053497804364	0	0	0	1
gene-b3208	315	1046	432	1133	165	289	64	179	33	129	24	71	host	mtgA	1.1220137560398684	0	0	0	1
gene-b0685	55	819	111	701	41	184	23	66	11	47	15	26	host	ybfE	1.5251406463308173	0	0	0	1
gene-b3100	307	1998	445	3230	269	506	96	165	33	127	51	53	host	yqjK	1.555642196069833	0	0	0	1
gene-b3106	18	80	12	173	7	185	2	126	3	89	2	35	host	yhaK	1.0735097501802076	0	0	0	1
gene-b1764	923	4569	1343	5384	614	669	233	207	119	149	115	83	host	selD	1.4465311001234291	0	0	0	1
gene-b2206	81	394	131	618	62	428	24	302	9	166	12	57	host	napA	1.0014680627800217	0	0	0	1
gene-b1253	119	1013	129	1003	66	187	21	68	15	43	13	19	host	yciA	1.575919456038221	0	0	0	1
gene-b3535	205	223	200	137	59	45	25	27	13	21	8	7	host	yhjR	1.0081883903195736	0	0	0	1
gene-b1597	22	48	5	90	7	89	1	47	1	48	0	20	host	asr	0.999327900453353	0	1	0	1
gene-b1805	161	1077	439	1968	273	505	121	278	70	182	38	72	host	fadD	1.2462503058443362	0	0	0	1
gene-b0278	13	56	13	172	3	143	1	81	7	68	1	37	host	yagL	1.1141057182530332	0	0	0	1
gene-b3774	258	1144	261	1952	147	23107	105	513	97	367	62	138	host	ilvC	2.6779795541369618	0	0	0	1
gene-b1584	187	1148	217	1278	65	163	24	67	17	67	10	27	host	speG	1.5654279821427373	0	0	0	1
gene-b2924	1275	9907	1450	10896	501	1335	171	509	125	402	70	215	host	mscS	1.6470396521493609	0	0	0	1
gene-b3634	192	1265	208	828	67	193	43	135	22	79	16	41	host	coaD	1.4366805278171733	0	0	0	1
gene-b3722	94	1663	115	1211	76	1122	47	619	23	397	12	220	host	bglF	1.157227626270423	0	0	0	1
gene-b3994	310	805	628	1768	303	709	195	464	131	309	88	97	host	thiC	0.9302632015778897	0	0	0	1
gene-b2035	504	691	185	493	95	203	4	84	41	73	6	33	host	wbbH	1.1026010083461815	0	0	0	1
gene-b1054	172	1831	155	1353	59	331	35	182	16	151	19	67	host	lpxL	1.5489525055155813	0	0	0	1
gene-b3377	14	133	21	347	13	399	5	309	3	216	2	64	host	yhfT	1.1357521701349507	0	0	0	1
gene-b0495	114	265	144	316	63	207	30	173	9	106	12	36	host	ybbA	0.7891767134745495	0	0	0	1
gene-b2554	176	1199	294	1399	101	449	42	264	48	225	35	91	host	glrR	1.2154056458081512	0	0	0	1
gene-b3495	1376	4057	964	4250	388	1237	175	365	119	301	75	237	host	uspA	1.2547916115783497	0	0	0	1
