Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-b3858	155	712	172	684	86	200	36	89	25	61	18	23	host	yihD	1.248656738636578	0	0	0	1
gene-b0284	32	217	47	521	24	486	14	2485	3	293	5	104	host	paoC	1.8917880190125536	0	0	0	1
gene-b4321	17	132	14	323	7	311	3	247	8	177	3	90	host	gntP	1.077559328798212	0	0	0	1
gene-b2036	1382	1191	400	1079	211	255	24	139	44	84	22	70	host	glf	1.1816325526056248	0	0	0	1
gene-b2098	18	101	26	222	11	226	8	167	2	101	1	39	host	yegT	1.0661445218290175	0	0	0	1
gene-T4p133	0	0	1044	51272	4248	45093	140	29220	9672	70679	449	32493	phage	trna.2	1.1611548331925616	0	1	0	1
gene-b1342	100	373	111	299	32	216	11	169	13	68	11	42	host	zntB	0.9585879291322932	0	0	0	1
gene-b2935	5122	15908	6204	16278	3817	4610	1528	1279	760	971	786	386	host	tktA	1.1207803311637128	0	0	0	1
gene-T4p139	13	2	202	11485	1676	92006	2439	199989	47466	392042	5160	247367	phage	1	1.4799314622046928	0	0	0	0
gene-b1328	44	243	65	300	13	125	4	97	13	69	4	30	host	pgrR	1.0974203155034037	0	0	0	1
gene-T4p207	0	0	677	43509	5665	91476	1088	27498	1927	13553	225	10450	phage	30.4	1.5944066056296546	0	1	0	1
gene-b1908	427	944	662	954	445	322	177	153	88	100	67	50	host	yecA	0.863782077568956	0	0	0	1
gene-b2043	39	187	43	254	7	228	7	127	4	81	2	40	host	wcaM	1.0351324642189002	0	0	0	1
gene-b3244	1182	4950	26466	38213	519	26002	259	42292	158	9130	131	125	host	tldD	1.2428858125056232	0	0	0	1
gene-b2808	150	815	179	519	48	290	14	173	26	112	9	44	host	gcvA	1.1723830672483773	0	0	0	1
gene-b2180	103	1422	391	1690	180	537	81	275	37	206	21	122	host	yejF	1.2547645029085714	0	0	0	1
gene-b4371	375	3630	515	3261	233	572	120	241	71	162	44	56	host	rsmC	1.5629376022172141	0	0	0	1
gene-b2478	2313	13966	2269	14075	668	1041	307	417	195	314	157	153	host	dapA	1.6679647393944514	0	0	0	1
gene-b0845	102	497	126	666	49	326	19	219	13	104	16	41	host	ybjJ	1.1150039192096248	0	0	0	1
gene-b1614	1326	4669	1627	8205	736	1154	195	305	186	231	93	96	host	ydgA	1.4963782021639171	0	0	0	1
gene-b4667	32	289	48	486	60	499	25	303	44	284	12	161	host	ibsA	0.923398140732615	0	0	0	1
gene-b2135	10	47	7	136	7	139	8	98	1	58	2	9	host	yohC	1.1615263388941564	0	0	0	1
gene-b2198	4	61	15	73	6	47	0	59	3	31	1	10	host	ccmD	1.0044438202992525	0	1	0	1
gene-b3908	7098	29822	7754	44602	4960	9619	1555	1518	471	966	425	487	host	sodA	1.4587241756061395	0	0	0	1
gene-b0998	13	98	36	217	16	92	4	58	1	26	2	12	host	torD	1.256960657506017	0	0	0	1
gene-b2925	7205	34285	8012	37096	4432	4110	1332	774	788	751	582	261	host	fbaA	1.5080213243732914	0	0	0	1
gene-b0833	35	360	109	563	21	267	2	165	6	56	1	18	host	pdeI	1.2748080542187965	0	0	0	1
gene-b2840	194	276	152	475	104	209	31	137	18	76	18	42	host	ygeA	0.8831355629049548	0	0	0	1
gene-b1245	3553	10570	5884	18757	2616	2310	827	739	453	646	313	284	host	oppC	1.363024559207615	0	0	0	1
gene-b0934	4	50	13	138	5	191	5	112	1	65	0	18	host	ssuC	1.2227583664645811	0	1	0	1
gene-b2981	17	313	36	337	24	321	4	204	3	113	2	49	host	yghO	1.101697270896306	0	0	0	1
gene-b3450	183	560	203	996	120	360	33	246	15	152	16	69	host	ugpC	1.1051752592976098	0	0	0	1
gene-b3920	84	590	61	255	23	214	10	130	12	85	9	38	host	yiiQ	1.2679091955101085	0	0	0	1
gene-b2733	348	2459	467	3415	214	680	101	361	62	264	59	91	host	mutS	1.4505737912544083	0	0	0	1
gene-b0545	14	53	15	138	4	103	4	51	1	36	0	21	host	ybcL	1.1441731649557942	0	1	0	1
gene-b0670	3326	24502	4619	30578	3673	18056	2476	11597	1534	7792	1268	4305	host	glnU	0.9885686091184724	0	0	0	1
gene-b2484	7	87	9	243	3	341	2	245	1	164	1	63	host	hyfD	1.1907367736493795	0	0	0	1
gene-b1694	12	51	14	223	6	234	1	186	3	107	1	45	host	ydiF	1.1806454722433375	0	0	0	1
gene-b3958	110	407	178	473	67	374	33	253	34	187	24	83	host	argC	0.816293948774765	0	0	0	1
gene-b4728	300	530	255	302	99	80	40	38	26	22	8	11	host	yadW	1.1158482357556265	0	0	0	1
gene-b4237	12	54	29	119	7	130	5	77	1	56	1	28	host	nrdG	0.9998552024095639	0	0	0	1
gene-b2091	278	154	396	511	250	257	44	140	40	109	18	72	host	gatD	0.7769445220830415	0	0	0	1
gene-b3743	20	347	22	353	11	246	6	144	6	91	4	42	host	asnC	1.193967173342294	0	0	0	1
gene-b2616	149	997	177	943	65	373	56	215	44	198	37	76	host	recN	1.1647841549115174	0	0	0	1
gene-b0340	8	102	22	148	9	102	2	50	3	37	1	6	host	cynS	1.1670543375262605	0	0	0	1
gene-b1365	8	31	11	83	2	42	0	28	2	19	1	10	host	ynaK	1.166779204253256	0	1	0	1
gene-b2123	10	50	19	93	4	77	0	53	2	25	1	15	host	yehR	1.0442819103746497	0	1	0	1
gene-b3037	597	3005	973	4096	520	644	186	241	69	173	74	60	host	ygiB	1.4006595702664126	0	0	0	1
gene-b0839	372	1590	424	1790	139	390	67	193	38	135	14	51	host	dacC	1.3365710918395475	0	0	0	1
gene-b2807	164	398	219	380	97	215	51	90	40	74	18	34	host	ygdD	0.8449826670486651	0	0	0	1
gene-b0062	13	138	19	373	10	349	4	224	5	167	1	72	host	araA	1.1444128019019295	0	0	0	1
gene-T4p226	3	1	705	51094	4863	92271	1754	40777	1320	27753	406	13778	phage	pseT.3	1.4144086365254311	0	0	0	0
gene-b0241	30	324	45	274	22	218	12	131	17	87	7	50	host	phoE	1.046900655774194	0	0	0	1
gene-b0448	74	640	150	802	59	437	26	239	21	165	16	76	host	mdlA	1.1142009496367318	0	0	0	1
gene-b2643	4	28	3	109	4	118	2	82	0	57	0	23	host	lfgA	1.187486585845502	0	1	0	1
gene-b0207	84	186	78	303	54	1660	40	3959	39	82	26	23	host	dkgB	2.0550346661590377	0	0	0	1
gene-b0315	55	210	136	997	52	2473	9	4374	10	122	6	71	host	pdeL	1.8324214342119944	0	0	0	1
gene-b1573	9	47	12	46	2	63	5	19	1	21	0	7	host	ydfC	1.0467661542524511	0	1	0	1
gene-b2328	378	2716	587	3069	198	301	83	163	28	105	34	45	host	mepA	1.589851357463452	0	0	0	1
gene-T4p253	3	0	11	4102	58	11680	66	11724	4544	62119	8752	89658	phage	38	1.7231985165567993	0	1	0	1
gene-b2984	3	60	8	136	0	175	1	125	2	85	0	20	host	yghR	1.1886201105492293	0	1	0	1
gene-b2289	237	1477	358	2099	186	1146	73	347	50	243	38	147	host	lrhA	1.1998509646469613	0	0	0	1
gene-b4190	58	354	80	377	23	266	21	127	9	108	5	36	host	yjfP	1.0569268749837786	0	0	0	1
gene-b2895	212	1768	310	1638	137	326	78	160	26	125	21	29	host	fldB	1.4663558409136674	0	0	0	1
gene-b0797	711	3891	1857	5846	1239	1043	498	318	208	203	141	84	host	rhlE	1.2762130556791738	0	0	0	1
gene-b3146	183	850	165	798	74	336	25	195	21	152	18	73	host	rsmI	1.1435845341986723	0	0	0	1
gene-b3717	40	284	54	425	28	412	18	245	22	145	6	67	host	cbrC	1.028375994080439	0	0	0	1
gene-b3766	361	4163	209	3136	136	3045	34	456	22	211	4	339	host	ilvL	1.4228362276619353	0	0	0	1
gene-b3133	0	41	3	102	3	104	0	79	0	50	0	14	host	agaV	1.199045636208413	0	1	0	1
gene-b3260	2388	23006	4387	24596	2779	3493	1160	965	757	674	501	236	host	dusB	1.5379252925838403	0	0	0	1
gene-b4240	29	155	32	357	15	395	13	280	6	261	4	102	host	treB	1.029431904353525	0	0	0	1
gene-b4526	0	5	2	17	0	13	0	13	1	12	0	4	host	ydaE	1.0881200974167864	0	1	0	1
gene-b1341	129	691	186	848	72	220	15	123	18	91	7	32	host	dgcM	1.300449748572785	0	0	0	1
gene-b1191	144	1329	214	1115	59	372	27	258	15	172	10	87	host	cvrA	1.3260043232178642	0	0	0	1
gene-b2776	16	102	12	242	9	330	4	197	5	176	1	83	host	ygcE	1.0997384327344049	0	0	0	1
gene-b3710	44	563	63	578	25	575	15	320	14	274	13	130	host	mdtL	1.0382059292417325	0	0	0	1
gene-T4p055	0	0	69	3330	391	9891	178	23958	1089	20602	43	4789	phage	46.1	1.5101206236165425	0	1	0	1
gene-b0875	27	161	49	305	15	173	8	124	1	82	1	34	host	aqpZ	1.092467870227869	0	0	0	1
gene-b3573	46	354	126	505	39	168	13	113	5	80	4	23	host	ysaA	1.211441223708361	0	0	0	1
gene-b0124	3010	12546	4852	8890	3438	2859	1110	753	516	585	380	259	host	gcd	1.1303943455115284	0	0	0	1
gene-b2320	713	4434	878	4843	434	755	122	293	91	220	71	99	host	pdxB	1.4972419959562688	0	0	0	1
gene-b4380	18	169	38	334	13	333	8	236	11	631	7	57	host	yjjI	1.2153161472394476	0	0	0	1
gene-b0511	2	66	3	219	2	257	1	191	1	169	1	67	host	allW	1.163092138260088	0	0	0	1
gene-b3903	5	109	8	312	5	378	7	249	6	185	1	61	host	rhaA	1.1849474166160694	0	0	0	1
gene-b0919	44	284	87	280	28	220	14	136	9	104	3	34	host	ycbJ	0.9643796498998075	0	0	0	1
gene-b1119	307	1853	594	2575	220	322	92	162	51	104	37	42	host	nagK	1.4763705043888196	0	0	0	1
gene-b3093	32	301	39	526	18	362	6	262	5	245	3	106	host	exuT	1.058358716872347	0	0	0	1
gene-b3120	7	25	4	92	3	134	0	87	1	54	0	26	host	yhaB	1.2042124982026474	0	1	0	1
gene-b1661	516	3474	482	3125	149	487	63	211	30	169	20	92	host	cfa	1.581134185716952	0	0	0	1
gene-b4163	3930	15055	2808	13440	1524	9072	809	3409	496	2828	346	2143	host	glyV	1.0385138311351427	0	0	0	1
gene-b0377	66	293	126	469	59	236	28	291	11	137	1	80	host	sbmA	0.918195477309415	0	0	0	1
gene-T4p276	4	0	13	765	649	82234	7845	245311	7595	46342	524	13469	phage	denB	2.0205813209519934	0	1	0	1
gene-b4157	6	57	34	145	20	125	5	93	5	60	1	19	host	yjeN	1.0000369337593153	0	0	0	1
gene-b1522	20	264	56	302	31	159	12	111	4	71	6	31	host	dgcF	1.0977232216609631	0	0	0	1
gene-b4124	56	471	79	452	21	215	11	154	17	101	7	22	host	dcuR	1.1855744475384564	0	0	0	1
gene-b0888	1527	9397	1228	9108	575	1452	264	376	144	249	116	109	host	trxB	1.594563885900058	0	0	0	1
gene-b4605	3	9	1	19	1	23	0	12	0	6	0	4	host	ypaB	1.1504222704704898	0	1	0	1
gene-b1006	80	199	109	608	70	298	16	212	14	119	5	55	host	rutG	1.0949563708817784	0	0	0	1
gene-b2971	12	92	19	176	6	80	3	34	3	38	1	14	host	yghG	1.2584825367075672	0	0	0	1
gene-b3123	69422	455200	88578	761296	108731	796050	220449	556988	122318	665566	135077	448577	host	rnpB	0.7199820296390737	0	0	0	1
gene-b0487	113	700	160	752	51	243	33	1371	12	107	15	37	host	cueR	1.3538799760075686	0	0	0	1
gene-b3736	10044	53694	12841	74773	7197	7490	2374	1859	1586	1363	1364	575	host	atpF	1.5705582906946447	0	0	0	1
gene-b2726	15	118	11	203	3	99	1	63	1	53	2	29	host	hypA	1.202809691891773	0	0	0	1
gene-b2590	2178	11560	3076	18539	1730	15914	815	9842	509	6409	349	5493	host	gltW	0.9404331236919853	0	0	0	1
gene-b1290	55	634	168	855	43	154	18	97	26	83	9	30	host	sapF	1.4397734227040049	0	0	0	1
gene-b0091	817	4537	1409	6027	571	745	218	314	126	252	107	75	host	murC	1.467234730357113	0	0	0	1
gene-b2371	9	113	16	257	4	200	0	181	6	104	1	60	host	yfdE	1.0989409241265362	0	1	0	1
