Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-b4686	142.72686156606585	108.2415664602207	418	3267	47.43851234632463	19.822448450040625	23.865720227075307	5.676296655086015	6.774578169599306	3.68249390271072	9.127642392422327	2.8528939902523747	host	yshB	2.6347443169657554	0	0	1
gene-b0526	201.77712154608935	311.3777710548805	745	5690	63.70314515077879	21.792569473362708	56.50560230234007	10.412141793353044	18.681412528288995	7.1440381712587975	52.36384319863335	3.306763488701616	host	cysS	2.587595377690706	0	0	1
gene-b3446	5.0311880700468485	2.932279707936852	53	224	6.776930335189233	6.304387274630658	4.211597687130936	2.619829225424314	0.8211609902544613	1.3256978049758592	0.4804022311801225	1.0374159964554088	host	yrhB	2.3869655504319445	0	0	1
gene-b1101	781.4229470899078	881.6050611552212	4254	21215	496.9748912472104	68.68144982842823	324.9949548569373	24.619677208154133	155.6100076532204	16.595772521549645	270.94685838558905	9.33674396809868	host	ptsG	2.438036505314099	0	1	1
gene-b2239	25.15594035023424	18.35202644794961	66	401	5.8733396238306685	7.486459888623906	2.4567653174930464	4.43355715071807	0.8211609902544613	2.086746544869408	3.362815618260857	2.204508992467744	host	glpQ	2.421076636449563	0	0	1
gene-b2006	1.5887962326463732	3.488401721511083	13	81	1.1294883891982055	2.546002553216227	0.0	1.3770897210563704	0.4105804951272306	1.2029480082188353	0.0	0.7132234975630937	host	yeeW	2.48075114148944	0	0	1
gene-b3028	36.80711272297431	43.12473432534716	151	1095	13.553860670378466	7.880484093288322	9.827061269972186	3.7618060672759386	3.0793537134542297	1.865796910706765	4.323620080621102	0.7780619973415567	host	mdaB	2.6121564834315834	0	0	1
gene-b4767	2.912793093185017	3.336732081445384	2	52	0.4517953556792822	0.6061910840991017	0.0	0.5374008667537055	0.0	0.2700495528654528	0.0	0.1296769995569261	host	ytiB	2.72966647810937	0	0	1
gene-b3367	9.26797802377051	10.212422431090417	27	316	4.743851234632463	7.09243568395949	3.5096647392757805	5.239658450848628	0.615870742690846	3.1914947156826243	1.4412066935403671	1.653381744350808	host	nirC	2.638580726994395	0	0	1
gene-b2476	615.3937407783618	842.7776332984022	1728	11472	103.68703412839528	34.067938926369514	67.38556299409498	12.393807489507331	17.65496129047092	8.175136464017799	32.186949489068205	6.905300226406316	host	purC	2.508975529622051	0	1	1
gene-b2225	3.442391837400475	3.993967188396747	14	206	1.5812837448774877	6.274077720425702	1.052899421782734	4.970958017471776	0.615870742690846	2.062196585518004	0.4804022311801225	0.9725774966769458	host	yfaP	2.7408094972888937	0	0	1
gene-b0324	20.38955165229512	24.166029317134747	92	644	4.743851234632463	10.335557983889684	3.5096647392757805	6.616748171904999	1.847612228072538	3.3142445124396485	2.4020111559006123	1.3940277452369558	host	yahJ	2.583156415210343	0	0	1
gene-b3875	0.2647993721077288	2.072818414231223	11	185	1.1294883891982055	8.062341418518052	1.052899421782734	7.322086809519237	1.6423219805089226	4.369892764550055	0.0	1.6858009942400396	host	ompL	2.698029299394889	0	0	1
gene-b2886	1.5887962326463732	2.3761576943626217	21	128	2.484874456236052	3.849313384029296	1.4038658957103125	3.224405200522233	0.8211609902544613	1.7921470326525506	0.0	0.6808042476738622	host	ygfS	2.4979859904837363	0	0	1
gene-b2164	2.6479937210772886	5.561220135742306	21	243	2.258976778396411	6.698411479295074	2.807731791420625	4.702257584094923	1.231741485381692	2.577745731897504	0.0	1.5237047447938818	host	psuT	2.6974677504597837	0	0	1
gene-b2127	6.619984302693221	8.291273656924892	60	180	2.9366698119153343	4.819219118587859	1.4038658957103125	3.15723009217802	0.615870742690846	1.6448472765441218	0.0	0.7456427474523252	host	mlrA	2.223045804668045	0	0	1
gene-T4p183	0.2647993721077288	0.0505565466885664	5	1711	0.9035907113585644	104.62858111550496	10.87996069175492	914.8578005398392	1080.0319924321802	3006.559871888492	586.5711242709295	2554.3775372723308	phage	segE	1.2306652329544536	0	0	0
gene-b0890	371.2487196950359	342.67227345510315	2570	9078	178.68506317115612	42.55461410375694	119.32860113537654	22.369311078622992	34.488761590687375	12.618679106622068	72.06033467701837	7.42400822463402	host	ftsK	2.3430965609779046	0	0	1
gene-b2358	0.0	0.5561220135742306	2	40	0.2258976778396411	1.5457872644527093	0.350966473927578	1.7129652627774363	0.0	0.5400991057309057	0.0	0.7456427474523252	host	yfdO	2.73910671806486	0	0	1
gene-b1055	117.04132247161616	243.37921575875876	547	2558	40.661582011135394	10.517415309119414	37.90437918417843	6.650335726077105	21.760766241743223	3.5597441059536963	33.14775395142845	2.4314437416923647	host	trhO	2.3086641123384686	0	0	1
gene-b3319	4382.429608382912	6714.414965708506	28347	213769	3937.848320100624	347.1353243093506	2294.969773012433	79.90479137544159	766.348494154976	38.98533545003082	1420.068995368442	17.960264438634265	host	rplD	2.6715468728781526	0	1	1
gene-b0784	23.03754537337241	20.27317522211513	104	625	8.810009435746002	2.879407649470733	8.423195374261873	1.981665696154289	0.8211609902544613	0.5891990244337153	6.245229005341592	0.3241924988923153	host	moaD	2.5502235810954397	0	0	1
gene-b1962	32.835122141358376	29.423910172745654	173	503	17.168223515812723	5.698196190531556	10.178027743899763	3.4931056338990856	4.926965941526768	1.3747977236786688	9.127642392422327	1.167092996012335	host	yedJ	2.113992632417175	0	0	1
gene-b1076	30.981526536604274	13.195258685715835	138	290	15.135144415255953	5.30417198586714	5.615463582841249	3.6610434047596185	1.847612228072538	2.111296504220813	5.284424542981348	0.7132234975630937	host	flgE	1.9472499774950611	0	0	1
gene-T4p244	0.2647993721077288	0.0505565466885664	20	1633	294.79646958073164	2358.386412687555	3214.15096822876	5128.5508216473	2423.2460822409157	4751.276383074129	740.7802404797488	4395.401899982011	phage	SegG	0.8924255803898656	0	0	0
