Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-AUO97_RS07405	7	8	1	2	1	0	host	gene-AUO97_RS07405	0.9888575909503124	0	1
gene-AUO97_RS03950	229	140	56	53	23	18	host	gene-AUO97_RS03950	0.8695596365325551	0	1
gene-AUO97_RS18430	71	56	24	21	9	7	host	leuE	0.7634414943833684	0	1
gene-AUO97_RS17855	39	30	6	15	5	4	host	gene-AUO97_RS17855	0.8166840012402893	0	1
gene-AUO97_RS14055	11	7	4	2	4	2	host	gene-AUO97_RS14055	0.6324555320336759	0	1
gene-AUO97_RS07365	839	750	335	419	145	111	host	gene-AUO97_RS07365	0.6404336314197154	0	1
gene-AUO97_RS14735	347	329	88	90	37	34	host	tauC	0.855687114707306	0	1
gene-AUO97_RS10380	2666	2125	914	999	593	422	host	thrS	0.6390778811803274	0	1
gene-AUO97_RS09635	338	258	178	177	90	59	host	gene-AUO97_RS09635	0.516193954194649	0	1
gene-AUO97_RS18295	2	4	2	0	2	2	host	gene-AUO97_RS18295	0.5773502691896257	0	1
gene-AUO97_RS06440	4284	3212	1119	1351	812	632	host	gene-AUO97_RS06440	0.715487930810558	0	1
gene-AUO97_RS12395	5	8	1	3	2	0	host	gene-AUO97_RS12395	0.8437483969411261	0	1
gene-AUO97_RS13010	1	1	2	4	1	0	host	gene-AUO97_RS13010	0.8388704928078611	0	1
gene-AUO97_RS11130	371	273	108	124	48	42	host	dcd	0.7511505862133119	0	1
gene-AUO97_RS17865	105	62	57	62	24	19	host	gene-AUO97_RS17865	0.5189741525069766	0	1
gene-AUO97_RS12820	0	0	0	0	0	0	host	gene-AUO97_RS12820	0.0	0	1
gene-AUO97_RS03790	0	0	0	0	0	0	host	gene-AUO97_RS03790	0.0	0	1
gene-AUO97_RS04905	121	108	23	30	14	10	host	gene-AUO97_RS04905	0.8922466377297528	0	1
gene-AUO97_RS07245	11	5	4	9	2	2	host	gene-AUO97_RS07245	0.6188053895958223	0	1
gene-AUO97_RS10735	559	414	164	231	93	79	host	argJ	0.6818317871246153	0	1
gene-AUO97_RS14280	67	62	10	9	8	6	host	gene-AUO97_RS14280	0.9845630635741671	0	1
gene-AUO97_RS09470	126	78	31	38	11	11	host	hcaR	0.8345938948145418	0	1
gene-AUO97_RS05495	225	149	55	77	29	24	host	gene-AUO97_RS05495	0.7729679985324273	0	1
gene-AUO97_RS15485	0	0	0	0	0	0	host	gene-AUO97_RS15485	0.0	0	1
gene-AUO97_RS10050	298	182	39	60	31	23	host	gene-AUO97_RS10050	0.9616494082517217	0	1
gene-AUO97_RS05790	743	578	168	243	144	96	host	dsbD	0.7403241256820584	0	1
gene-AUO97_RS17510	2105	1561	1320	1830	962	748	host	gene-AUO97_RS17510	0.3311455489076755	0	1
gene-AUO97_RS12330	430	348	111	139	69	54	host	gene-AUO97_RS12330	0.7509738223082139	0	1
gene-AUO97_RS04540	147	107	38	47	22	11	host	ribA	0.786086960191872	0	1
gene-AUO97_RS06410	203	168	119	124	46	35	host	gene-AUO97_RS06410	0.5204597188328717	0	1
gene-AUO97_RS13775	8	6	4	2	3	2	host	gene-AUO97_RS13775	0.5261178575186363	0	1
gene-AUO97_RS02140	6	12	3	3	0	0	host	gene-AUO97_RS02140	1.0307764064044151	0	1
gene-AUO97_RS18780	2910	2207	550	610	401	264	host	gene-AUO97_RS18780	0.8794518213048789	0	1
gene-AUO97_RS00535	7	3	1	7	2	3	host	gene-AUO97_RS00535	0.6102464716355739	0	1
gene-AUO97_RS05415	1	0	2	0	0	0	host	gene-AUO97_RS05415	1.5275252316519468	0	1
gene-AUO97_RS01275	1668	1318	408	442	234	160	host	icd	0.8147044080347201	0	1
gene-AUO97_RS15130	93	90	18	27	7	9	host	gene-AUO97_RS15130	0.8984294576980175	0	1
gene-AUO97_RS01195	1370	973	393	396	279	190	host	rapA	0.7094046941683149	0	1
gene-AUO97_RS03125	128	111	25	26	10	15	host	gene-AUO97_RS03125	0.9132765594682007	0	1
gene-AUO97_RS17345	68	66	23	29	11	11	host	gene-AUO97_RS17345	0.6847882236448022	0	1
gene-AUO97_RS00200	667	480	270	318	143	97	host	rhlB	0.5935941760377955	0	1
gene-AUO97_RS13780	69	63	21	35	10	7	host	gene-AUO97_RS13780	0.7110080317252896	0	1
gene-AUO97_RS19040	10136	7917	3175	4118	1141	838	host	gene-AUO97_RS19040	0.7500990484400489	0	1
gene-AUO97_RS04400	12022	9929	4545	5426	3250	2351	host	rplD	0.5639769854543046	0	1
gene-AUO97_RS06270	227	231	280	412	100	74	host	gene-AUO97_RS06270	0.5111926211973629	0	1
gene-AUO97_RS15690	0	0	0	0	0	1	host	gene-AUO97_RS15690	2.2360679774997902	0	1
gene-AUO97_RS09805	2	0	0	0	0	0	host	gene-AUO97_RS09805	2.2360679774997902	0	1
gene-AUO97_RS00420	12	11	4	4	1	3	host	gene-AUO97_RS00420	0.7096995627642412	0	1
gene-AUO97_RS08360	0	0	0	0	0	0	host	gene-AUO97_RS08360	0.0	0	1
gene-AUO97_RS04285	19922	16498	7637	8834	5530	4003	host	rpsD	0.5584975478594427	0	1
gene-AUO97_RS01650	0	0	0	0	0	0	host	gene-AUO97_RS01650	0.0	0	1
