Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b0172	20398	28059	24848	14495	13727	17791	12362	21853	16122	9987	6738	6284	host	frr
gene-b3309	88143	96039	117616	69875	81227	95229	62286	145234	34962	22914	13635	13299	host	rplX
gene-b1020	1447	1773	667	655	199	233	117	207	478	402	579	672	host	phoH
gene-b2207	28	23	35	13	18	8	17	20	17	3	5	12	host	napD
gene-b3492	2156	2389	4410	3280	2558	3386	1289	2571	788	492	322	383	host	yhiN
gene-b0740	18284	20094	18963	15374	9494	13510	6985	12104	6493	4304	2992	3224	host	tolB
gene-b1128	5358	5580	4779	4087	2297	3196	1719	3350	1720	1169	819	801	host	roxA
gene-b0477	3469	4090	5091	3704	3081	4343	1924	3545	1135	797	456	469	host	gsk
gene-b2676	1182	1852	1174	1170	235	444	24	17	22	8	6	17	host	nrdF
gene-b3338	737	919	830	601	427	648	442	685	393	268	200	282	host	chiA
gene-b3471	156	169	1305	1032	543	777	114	135	84	47	45	51	host	yhhQ
gene-b4047	6	5	5	2	1	1	0	3	4	3	1	4	host	yjbL
gene-b3258	1893	1927	2637	2091	1516	2347	991	1837	540	313	215	262	host	panF
gene-b4371	2064	2109	2395	2100	1403	1833	955	1758	823	571	349	319	host	rsmC
gene-b1892	102	158	140	120	61	106	40	111	30	33	19	30	host	flhD
gene-b0998	168	220	206	195	74	95	43	73	58	38	59	44	host	torD
gene-b0222	6459	7006	5100	4380	2431	3112	1959	3519	2456	1627	1417	1606	host	gmhA
gene-b0509	44	75	66	29	23	29	31	35	23	11	8	42	host	glxR
gene-T7p21	9	3	33	2	2	20	25343	54819	72046	49013	24204	27221	phage	gene-T7p21
gene-b0448	693	766	692	580	339	375	266	369	239	148	163	175	host	mdlA
gene-b1257	386	540	499	236	252	165	85	123	38	10	16	20	host	yciE
gene-b0097	3200	3973	4333	3482	2202	3199	1547	2535	1265	845	637	762	host	secM
gene-b3148	1244	1417	1262	1039	575	854	412	801	401	299	229	206	host	yraN
gene-b0698	43	70	73	16	22	36	29	19	29	17	18	29	host	kdpA
gene-b0590	1702	1684	1229	1092	94	122	48	62	60	36	42	59	host	fepD
gene-b1102	4328	7713	5112	5102	1371	2928	374	801	111	76	41	74	host	fhuE
gene-b1162	2366	3089	2220	1602	1121	1322	998	1690	875	636	495	553	host	bluR
gene-b3307	61224	74262	90619	60701	60478	78349	42480	109496	22993	15682	9240	8339	host	rpsN
gene-b3825	2579	2771	1743	1623	882	1165	717	1289	806	520	536	556	host	pldB
gene-b4838	4298	4224	3617	2888	1960	2440	1860	3070	1821	1187	966	1107	host	fimR2
gene-b2582	580	611	539	446	310	362	232	412	208	135	122	132	host	trxC
gene-b2997	258	274	331	190	182	238	205	308	223	134	104	116	host	hybO
gene-b0990	670	826	1439	977	927	986	494	883	324	225	189	222	host	cspG
gene-b1807	4257	4650	5190	4203	3252	4120	2282	4255	1378	870	488	524	host	tsaB
gene-b0506	5935	6404	4477	3939	2033	2478	1490	2584	1657	1105	1165	1198	host	allR
gene-b2415	3910	5717	4438	3283	2150	3337	1645	3904	1686	1333	945	1046	host	ptsH
gene-b2604	640	738	1209	884	866	1173	411	746	300	212	147	177	host	dgcN
gene-b3780	3296	4214	2616	2190	1645	1773	990	2091	885	595	653	711	host	rhlB
gene-b3390	10943	13491	14802	11448	7773	10566	5233	9732	3829	2453	1730	1780	host	aroK
gene-b1798	801	748	796	676	401	446	281	520	179	121	89	138	host	leuE
gene-b1661	4647	5389	3168	2912	1066	1468	663	1248	1030	734	1009	1149	host	cfa
gene-b2570	378	482	436	323	176	264	113	212	112	92	53	96	host	rseC
gene-b3482	865	1230	1109	731	441	629	421	617	453	285	223	322	host	rhsB
gene-b4075	53	69	58	28	20	30	16	21	19	10	9	19	host	nrfF
gene-b1782	7850	8952	7546	6553	3509	5074	2638	5191	2904	2082	1412	1366	host	mipA
gene-T7p46	2	5	41	10	3	51	6038	12651	127978	91963	75300	94459	phage	gene-T7p46
gene-b3836	2850	3448	2894	2124	1542	1876	1180	2066	1149	726	665	680	host	tatA
gene-b0089	5161	5084	5600	5005	3117	3999	2159	3960	1730	1088	787	824	host	ftsW
gene-b1283	946	1241	841	651	483	526	333	628	532	318	316	375	host	osmB
gene-b0084	11003	10967	9248	8716	5211	6125	4031	7618	4626	3209	3098	3681	host	ftsI
gene-b0459	607	909	961	680	402	569	189	440	206	143	166	191	host	maa
gene-b1809	2111	2938	2175	1541	1039	1201	823	1411	928	630	435	489	host	yoaB
gene-b1652	211	248	292	212	154	197	102	163	52	36	33	47	host	rnt
gene-b0339	100	156	102	100	44	63	40	48	53	35	27	38	host	cynT
gene-b0976	96	137	84	82	51	84	27	54	39	23	24	24	host	hyaE
gene-b3992	7091	8480	7502	6764	3280	5216	1284	2168	335	223	112	130	host	thiF
gene-b4810	7815	7604	6127	5932	3734	4048	2991	5601	3638	2582	2544	3090	host	ftsO
gene-b4745	22	20	23	15	5	12	5	13	11	1	6	3	host	yncO
gene-b0919	449	480	434	333	179	280	110	228	193	106	108	129	host	ycbJ
gene-b2977	708	741	657	593	317	389	167	308	164	85	172	185	host	glcG
gene-b3339	213523	244280	244390	193527	125751	186608	126466	228313	123783	81006	39048	40269	host	tufA
gene-b1785	29	61	41	26	17	17	12	18	13	8	12	15	host	cdgI
gene-b1632	611	663	621	561	425	639	341	720	182	102	54	82	host	rsxE
gene-b1395	77	101	92	39	21	55	26	36	28	15	13	36	host	paaH
gene-b4671	4	4	3	0	0	0	0	0	0	1	0	3	host	ykgR
gene-b0841	1102	1277	1255	1072	864	1277	885	1590	909	597	266	308	host	ybjG
gene-b2581	7042	7511	8614	6779	5052	6558	3543	6851	3223	2034	1357	1301	host	yfiF
gene-b4767	31	35	41	18	13	14	9	21	12	4	6	12	host	ytiB
gene-b1042	77	116	79	48	22	36	18	29	21	15	19	17	host	csgA
gene-b2450	710	1017	876	559	431	577	346	689	403	333	259	329	host	yffS
gene-b0707	152	186	133	112	32	70	30	60	40	20	34	52	host	ybgA
gene-b2469	473	527	412	302	182	254	160	280	173	112	111	116	host	narQ
gene-b3030	9914	10880	12434	10321	6162	8987	3941	7366	2869	1902	1564	1574	host	parE
gene-b0012	58	74	65	37	23	38	23	27	23	14	9	20	host	mbiA
gene-b2251	420	598	440	348	224	231	114	248	125	93	120	111	host	nudI
gene-b2667	93	103	110	69	42	47	38	72	46	24	24	36	host	ygaV
gene-b0641	6030	6727	5947	4999	3257	4602	2386	4607	1950	1273	968	942	host	lptE
gene-b4198	124	167	158	123	87	67	63	84	62	34	35	56	host	ulaF
gene-b1090	25625	29453	37249	29824	23063	30255	16943	33761	11165	6934	3518	3733	host	plsX
gene-b0868	1094	1224	1042	960	502	620	334	641	324	187	178	196	host	ybjS
gene-b2937	9800	10433	10663	9294	6296	9195	5652	10712	4628	3113	1725	1768	host	speB
gene-b3966	5227	5466	4592	3836	2444	3147	1875	3788	1392	953	774	801	host	btuB
gene-b2396	13508	16158	15605	12749	10241	10428	19161	12218	6834	4322	4174	3071	host	alaX
gene-b4434	3613	4718	3846	2906	2610	2685	2399	2822	1451	1092	806	979	host	azuR
gene-b4666	3950	4824	2658	2312	1608	1407	1770	2138	1160	921	798	960	host	ibsE
gene-b1704	4416	5082	2127	1895	705	875	296	624	315	239	172	196	host	aroH
gene-T7p34	21	10	31	3	0	38	20093	47134	238269	152770	77393	90326	phage	gene-T7p34
gene-b3173	167	230	203	136	108	124	71	144	67	41	40	65	host	yhbX
gene-b1246	19819	19795	17918	14348	10405	13699	7546	16328	4015	2650	3052	3046	host	oppD
gene-b2893	3013	3461	3273	2694	1662	2349	1030	2027	911	575	532	564	host	dsbC
gene-b2730	734	868	658	555	289	377	230	358	237	146	162	183	host	hypE
gene-b2234	5154	5588	5273	4026	3092	4597	2370	4297	1698	1140	880	947	host	nrdA
gene-b1025	396	435	262	204	116	110	77	157	86	39	96	136	host	dgcT
gene-b1908	5276	5993	5443	4691	2400	3190	1345	2565	1489	996	995	1090	host	yecA
gene-b0986	43	44	70	51	36	51	22	24	23	14	10	24	host	gfcB
gene-b2565	2461	2763	2740	2234	1602	2103	1301	2230	950	614	416	461	host	recO
gene-b1918	1301	1267	1127	954	428	671	176	458	319	237	184	193	host	tcyL
gene-b1076	141	201	180	137	58	110	65	115	67	61	36	68	host	flgE
gene-b4419	626	748	719	585	400	521	326	435	258	173	122	137	host	ldrA
gene-b0460	1279	1872	1587	1019	698	947	346	836	393	239	282	399	host	hha
gene-b1133	1761	1825	1857	1536	1170	1289	606	1492	440	337	222	235	host	mnmA
gene-b3226	716	960	540	466	264	360	219	440	290	200	178	198	host	nanR
gene-b1869	1346	1379	891	882	439	555	402	655	390	261	209	269	host	yecN
gene-b3288	4894	5766	6264	5202	3273	4599	1984	3863	1447	986	810	838	host	fmt
gene-b3413	823	959	904	836	437	634	348	595	380	255	185	203	host	yhgH
gene-b4586	10	17	25	16	15	7	4	14	4	4	3	10	host	ykfM
gene-b0955	2650	2992	2926	2338	1654	2298	1143	2046	626	470	391	485	host	ycbZ
gene-b1114	9325	10776	8243	7105	3165	5045	2872	4830	3071	1974	1773	1798	host	mfd
gene-b2959	5643	6996	6086	4302	3289	4532	2210	4564	2230	1404	1245	1294	host	yggL
gene-b1037	491	635	487	430	188	230	96	153	107	72	106	118	host	csgG
gene-b3912	3448	4341	2880	2632	1063	1609	915	1593	1107	704	757	750	host	cpxR
gene-b1507	581	968	521	306	164	250	150	285	296	188	213	236	host	hipA
gene-b4163	27746	44742	56185	43918	31794	40551	43065	38450	13832	11961	5490	5230	host	glyV
gene-b1789	73	98	79	58	43	55	23	39	23	14	19	28	host	yeaL
gene-b3514	1466	1997	1990	1700	781	1317	373	711	428	229	294	423	host	mdtF
gene-b4170	5277	5983	5656	4706	2851	3965	2205	3843	2110	1238	904	1007	host	mutL
gene-b3219	242	341	286	148	137	171	93	167	100	58	61	81	host	yhcF
gene-b3916	16952	19261	14966	13129	5979	9390	4213	7745	4247	2876	2627	2659	host	pfkA
gene-b2716	379	504	393	311	155	204	107	238	136	94	99	126	host	ascB
gene-b4164	23257	36794	48224	35247	27123	32550	46561	30898	11643	10147	4436	4211	host	glyX
gene-b4326	72	60	56	59	13	23	28	42	60	34	17	28	host	iraD
gene-b1008	83	118	66	51	20	44	17	28	16	9	10	18	host	rutE
gene-b1929	193	195	292	195	147	138	78	127	143	84	82	89	host	yedE
gene-b1422	2412	2780	2118	1947	1033	1404	867	1606	979	705	510	561	host	ydcI
gene-b2104	7880	8794	7921	7225	3853	5749	2249	4664	1023	667	346	356	host	thiM
gene-b0396	719	743	521	471	299	285	216	376	259	163	169	190	host	araJ
gene-b0091	9286	9935	10357	8786	5629	7675	4169	7362	3607	2348	1700	1753	host	murC
gene-b3266	420	583	453	383	183	248	174	256	269	133	126	184	host	acrF
