Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-PPLUZ19_gp9	0.6208465366696799	0.0	1693.7088738143314	1255.265733373048	13033.073867468976	10470.111129163028	1758.6458779375837	1880.0617196069409	phage	gp9	1.251814556462986	0	0	0
gene-PPLUZ19_gp19	3.1042326833484	0.0	10.458579666778032	10.429259998114391	87468.90513970827	94879.69183025234	83257.60056421753	98564.76680225332	phage	gp19	1.0042226108784216	0	0	0
gene-PPLUZ19_gp24	0.0	0.0	5.810322037098906	5.840385598944058	9474.786841832893	13983.955771236706	58745.8754187552	58922.7230770333	phage	gp24	1.3765403993186052	0	0	0
gene-PPLUZ19_gp11	0.0	0.0	1124.2973141786383	672.4786846784159	27680.67139915272	19312.01794517398	3950.026447696532	4538.316343203631	phage	gp11	1.3675871393860155	0	0	0
gene-PPLUZ19_gp27	0.0	0.0	40.672254259692345	55.06649279004398	399.7273288578148	614.550001059569	8434.548248154959	8923.361706117848	phage	gp27	1.596599068477336	0	0	0
gene-PPLUZ19_gp0.1	0.0	0.448903754586113	26964.54250976861	14549.2348677695	39384.74112301965	18697.467944114407	15812.448049167528	24082.23548840016	phage	gp0.1	0.71323637019758	0	0	0
gene-PPLUZ19_gp4	0.6208465366696799	0.0	11706.636840346877	8149.00659212666	13937.36772415959	10351.596378000835	2353.341225661822	2661.992940189115	phage	gp4	0.8443793820200225	0	0	0
gene-PPLUZ19_gp42	0.0	0.0	43.5774152782418	35.459483993588925	4.461242509573826	16.482183936463535	2006.750459686154	1766.9776426860926	phage	gp42	1.6773038505147988	0	0	0
gene-PPLUZ19_gp7	0.0	0.0	3167.787574626324	2250.6343075930854	13040.657979735252	10217.38430880392	2354.096874134153	2539.874598169907	phage	gp7	1.0679773402894832	0	0	0
gene-PPLUZ19_gp26	0.0	0.897807509172226	2.905161018549453	6.257555998868634	6892.173553040604	11034.429712511468	68077.63028639078	66522.4091830501	phage	gp26	1.4741804213988656	0	0	0
gene-PPLUZ19_gp34	0.0	0.448903754586113	78.43934750083524	100.9552367817473	28.551952061272488	87.12011509273583	31251.101987355483	25578.49670451816	phage	gp34	1.7315385600570132	0	0	0
gene-PPLUZ19_gp20	0.6208465366696799	0.0	1.743096611129672	1.251511199773727	6131.977829409224	6681.170988530755	8849.147376640387	9944.545188615206	phage	gp20	1.037854933083183	0	0	0
gene-PPLUZ19_gp8	0.0	0.0	1590.8661737576806	1161.819563789943	9518.953142677672	8557.000493680653	1600.2115815722525	1599.9995015577877	phage	gp8	1.1809794741105704	0	0	0
gene-PPLUZ19_gp14	1.24169307333936	0.0	51.71186613018027	34.2079727938152	51416.2660470893	48308.88868482375	12862.396413188584	12886.288820470772	phage	gp14	1.3015041437172077	0	0	0
gene-PPLUZ19_gp28	0.0	0.0	54.61702714872972	76.34218318619733	496.9824155665242	968.5245227426668	16178.937558247902	13813.391335392109	phage	gp28	1.624163622069151	0	0	0
gene-PPLUZ19_gp35	0.0	0.0	125.5029560013364	141.8379359743557	17.398845787337923	73.38496181234956	13893.35281227173	11347.66001630529	phage	gp35	1.7114114779141574	0	0	0
gene-PPLUZ19_gp41	0.0	0.0	72.62902546373633	99.286555182049	5.353491011488591	46.30708820244517	4956.802095665096	4149.531417591458	phage	gp41	1.685860830272322	0	0	0
gene-PPLUZ19_gp32	0.0	0.0	811.7019885827173	937.799059030446	152.57449382742485	478.76820005917887	21381.07352459636	21213.07750371417	phage	gp32	1.6108542568252002	0	0	0
gene-PPLUZ19_gp45	0.0	0.0	84.83070174164403	103.45825918129476	12.045354775849331	55.333046072413296	1209.2894385531852	972.585366795836	phage	gp45	1.5069986660594616	0	0	0
gene-PPLUZ19_gp10	2.48338614667872	0.0	1529.857792368142	984.5221438219984	34087.01564290073	27521.322844385424	12948.288456210172	16243.608646850887	phage	gp10	1.0783068752151086	0	0	0
gene-PPLUZ19_gp13	0.0	0.0	66.23767122292753	37.12816559328723	19062.443119158	15744.409988831358	4504.420543563135	4627.101362273719	phage	gp13	1.3011941375822889	0	0	0
gene-PPLUZ19_gp49	0.0	0.0	20.917159333556064	27.95041679494657	2.230621254786913	11.772988526045385	205.2845016498325	162.61677177047608	phage	gp49	1.4197119033141752	0	0	0
gene-PPLUZ19_gp21	0.0	0.0	2.905161018549453	3.7545335993211806	9544.8283492332	11056.405957760087	22106.4960580338	24952.64020166972	phage	gp21	1.14649164041888	0	0	0
gene-PPLUZ19_gp12.1	0.0	0.0	305.6229391514025	192.732724765154	31941.15799579572	30240.09832800017	7090.501498702804	6846.415312643205	phage	gp12.1	1.3301372510085177	0	0	0
gene-PPLUZ19_gp43	0.0	0.0	257.97829844719143	307.0374143444877	28.551952061272488	121.65421476913562	5124.052290874285	4269.780601314455	phage	gp43	1.5799983260737225	0	0	0
gene-PPLUZ19_PPLUZ19_gp20	0.6208465366696799	0.0	2.3241288148395625	2.920192799472029	41529.70652162275	43584.38838932174	17458.754187551953	18884.417793016262	phage	gene-PPLUZ19_PPLUZ19_gp20	1.150631566051188	0	0	0
gene-PPLUZ19_gp12	0.6208465366696799	0.0	1270.7174295135308	841.8498670477936	83572.00980759553	68519.97052043673	13890.833984030627	15194.699316293048	phage	gp12	1.372090252149595	0	0	0
gene-PPLUZ19_gp25	0.0	0.897807509172226	11.039611870487922	11.680771197888117	4960.455546395137	8595.851355816601	44058.08417923982	44094.067260415184	phage	gp25	1.4420521140594809	0	0	0
gene-PPLUZ19_gp1	0.0	0.0	32547.09992301324	23023.217201437405	8425.056479330171	7458.18823124975	1398.201556635853	2005.9183782185737	phage	gp1	1.2076178026068276	0	0	0
gene-PPLUZ19_gp47	0.0	0.0	59.846316982118736	100.12089598189814	7.137988015318122	23.153544101222582	376.0610563965643	328.66033375067485	phage	gp47	1.2779150501766074	0	0	0
gene-PPLUZ19_gp25.1	0.0	0.448903754586113	36.60502883372311	35.459483993588925	3913.848053649117	6284.028842252157	40064.23012014811	42511.20170990601	phage	gp25.1	1.48917678812187	0	0	0
