Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-M172_gp04	30490.6560228688	37574.05889032594	25733.42594753268	24156.455803312994	9985.42824643014	10354.66177561504	phage	gene-M172_gp04	0.4362327058312915	0	0	0
gene-M172_gp21	18759.327735090952	21028.717244037784	35399.1697435081	32782.328841102375	14747.57803442262	13868.5235404161	phage	gene-M172_gp21	0.3686048792662221	0	0	0
gene-M172_gp03	45542.37586429768	54850.75010892274	35333.8800042745	34176.571404684604	14516.685259976068	14779.656221842852	phage	gene-M172_gp03	0.4459073865581361	0	0	0
gene-M172_gp49	113.6180280851565	140.9680199076784	791.9277347540962	908.0310820665024	6236.951383331271	6476.920407037226	phage	gene-M172_gp49	1.1384078947620406	0	0	0
gene-M172_gp52	320.5705973624147	364.739157703606	2148.291398874236	2614.627048559079	17896.543834046228	18407.938665054764	phage	gene-M172_gp52	1.1440402581399014	0	0	0
gene-M172_gp25	11837.77846711132	13934.158578418606	34949.6383030229	34612.113865113155	23739.47762836226	22973.159885420933	phage	gene-M172_gp25	0.3786836403201285	0	0	0
gene-M172_gp05	20567.913231818296	25342.2762779827	18471.680337074977	19036.03454107168	7056.73568634492	6937.880085217463	phage	gene-M172_gp05	0.4246857392198268	0	0	0
gene-M172_gp02	17394.996353547584	20123.65265604645	9266.236017909288	8721.299694170235	1625.5551991381756	1751.401004744635	phage	gene-M172_gp02	0.7172818867262727	0	0	0
gene-M172_gp51	111.02540194093145	132.07954962588897	769.8464450759269	841.1057500471856	5957.449603738077	6407.967611574839	phage	gene-M172_gp51	1.145053499818335	0	0	0
gene-M172_gp18	15614.167207305472	17826.372933391674	25213.69781455206	24201.74124090966	11570.913860244733	11937.708727280224	phage	gene-M172_gp18	0.3036536633403033	0	0	0
gene-M172_gp08	16908.497682954767	20689.3959925786	15028.634798367835	14179.30330940489	5883.550778346221	5653.856147537682	phage	gene-M172_gp08	0.4246894703666866	0	0	0
