Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-EST35_0019	0.0	0.0	0.0	0.0	16.56702441835338	281.1718175863797	14.476850069054574	96.8262781269219	499.8560979551109	350.9534532394607	51.92335164444154	140.44629380583683	285.1403610259587	phage	gene-EST35_0019	1.1984421630599764	0	0	0
gene-EST35_0396	0.1538846960438706	0.0	0.1484493133180114	0.1429717858048175	716.1636533890369	323.9395308929396	174.78891609690103	816.2426081557911	175.588750425685	247.62705583901035	581.3043251361208	355.08571779640675	344.094529690842	phage	gene-EST35_0396	0.9238021366149218	0	0	0
gene-EST35_0337	0.0	0.0	0.0	0.0	147.48253259381977	113.94857870605914	2.133430536492253	381.4722041867887	616.6461633723482	715.0625220630636	68.4623887799172	108.42610077874151	324.0527151778353	phage	gene-EST35_0337	1.2356906501292912	0	0	0
gene-EST35_0366	0.0	0.0	0.0	0.0	939.5483685082474	1424.6532041600406	169.76011554659786	1710.2816310415717	1680.1354226555773	1596.3517285382577	744.124885939947	1015.5347398268202	1853.347275842391	phage	gene-EST35_0366	0.839614514593729	0	0	0
gene-EST35_0301	0.0	0.0	0.0	0.0	1.170496290427141	8.879110029043568	2.438206327419718	7.145312693101165	8.611249063022099	5.070393506388148	16.670822291933643	18.74352762561677	12.49359865745871	phage	gene-EST35_0301	1.0073180934647312	0	0	0
gene-EST35_0104	0.0	0.0	0.0	0.0	43.12828639343081	636.040248413821	634.5431967109815	8.676451127337128	430.15880085127577	582.4100649229629	3.2946289114493363	203.70569954229347	199.7674368666575	phage	gene-EST35_0104	1.2027970561762842	0	0	0
gene-EST35_0170	0.0	0.0	0.0	0.0	28.4520636749982	133.0386652685028	5.1811884457669	876.6861206311061	1512.4851674598658	894.1707467346665	890.3405170300687	659.2775515538124	1296.341002364023	phage	gene-EST35_0170	1.1064571746951437	0	0	0
gene-EST35_0110	0.0	0.0	0.0	0.0	6.122595980695815	78.43213858988486	1.0667152682461265	490.0372103095197	616.2425110725189	611.7361246626133	128.42463496829512	198.49916409073325	396.6717573743141	phage	gene-EST35_0110	1.212463919272861	0	0	0
gene-EST35_0185	0.0	0.0	0.0	0.0	5.672405099762299	17.906205225237866	1.981042641028521	998.8855499539384	479.94258449687226	292.5754090848296	803.4282063460352	477.9599544532279	800.2410223407668	phage	gene-EST35_0185	1.2017477055809216	0	0	0
gene-EST35_0445	0.0	0.0	0.0	0.0	35.56507959374775	143.9895676376565	17.37222008286549	200.94369165496744	413.8781580914997	274.34939999429923	59.50099814077501	116.23590395608184	250.2623981072198	phage	gene-EST35_0445	1.1005906757102064	0	0	0
