"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-T4p103",0,0,3624.4988891051,13102.8976633059,9889.04273366826,5515.03902727534,488.807906741909,188.427816570015,1389.33858857618,1379.88929158269,987.391261680464,4430.53545582971,3755.51775938407,4367.5847603663
"gene-T4p149",0,0,873.373226290385,2050.34023990045,1694.16436190034,1089.49469298395,13.7271532988293,9.17054933206487,21.4481226953456,17.4766537661169,12.7729440588507,816.458485417843,845.453637729537,1210.03361775582
"gene-T4p010",0,6808.52292987244,2227.10172704048,54550.9149180023,95020.8019191602,124979.39896726,6220.60891382785,7468.22565399446,3194.22934851965,3357.94743217422,3972.28709630727,537.327046692225,488.806456482742,537.692063589991
"gene-T4p219",0,4085.11375792346,1921.42109783885,21022.4758774603,35558.1997321582,44213.2148664417,5044.53397236758,5407.00983059329,4990.16603782332,4865.50040848694,5183.12279068819,1967.57894951132,2071.59248337143,1793.02061701352
"gene-T4p099",0,0,1091.71653286298,4456.61657931345,10665.5347328726,12829.0111522684,2817.96372530384,3425.41595315757,1109.01370729002,1074.13196291302,1334.82190714756,336.023975100475,358.276314450961,386.983459459238
"gene-T4p151",0,1361.70458597449,11397.5206030895,33765.7297735504,26869.1900881694,15261.3713970697,233.27499943468,145.272290301475,316.474338566857,280.56104067317,182.892797963493,9549.03476293924,8609.10454599271,13712.6711784718
"gene-T4p039",7805.15777808063,1361.70458597449,5589.58864825846,4119.21881831717,3465.33619479614,1604.68210594535,1550.43216628165,431.015818607049,6638.83950023235,6624.26860043239,4743.12934495914,7004.12498602889,6549.6474426115,7064.52758445039
"gene-T4p040",0,0,1266.39117812106,867.594242561853,628.894346463004,405.393374133563,614.647362534963,251.219107290742,1585.66179320891,1566.07640191883,1205.08951132103,1271.55986223314,1104.55231242482,1352.42442460941
"gene-T4p226",0,5446.81834389795,2096.09574309692,5776.54628167251,8977.78766022186,11021.6323592562,3314.91265671509,3856.37782735679,2401.31515823482,2460.41378453636,2636.93982385138,1503.4494821085,1497.67212887509,1816.90340127468
"gene-T4p264",3902.57888904032,5446.81834389795,5764.26329351654,1846.41851622138,1822.51014689279,1841.16157418993,13172.0913083423,13367.4782060883,12970.8250819806,12269.6389822709,12530.2581217326,3702.68456639377,3842.39378106748,3306.77736702847
"gene-T4p132",15610.3155561613,17702.1596176683,9214.08753736356,5624.53190583902,4460.01602848763,2499.92580715697,2118.65836687231,2569.69581166025,1433.40094549205,1539.49693490768,1474.73325582304,7723.49258344723,7562.60257182247,8580.83732174843
"gene-T4p168",0,2723.40917194897,8777.40092421837,83630.1527146374,66823.232956319,37304.6361155822,356.646165833306,208.225414245708,332.924840439986,216.187141667281,110.228208754658,9388.7861550106,7145.17874777535,10665.0631978911
"gene-T4p008",0,1361.70458597449,917.041887604904,3403.63895158881,7636.57420705076,11038.5237498451,2896.38604273027,3468.46359061044,1604.15299025111,1935.19828274586,2285.27342058585,372.175251634157,360.204676202832,371.665535760703
"gene-T4p244",7805.15777808063,0,5196.57069642779,582.103829411158,494.131272220932,363.164897661317,2794.7964476544,1908.3913160027,5084.16295612117,5215.35124115048,4098.407605639,6877.10909086642,6430.68747109094,5879.69442181152
"gene-T4p223",3902.57888904032,8170.22751584692,5109.23337379875,11764.4296224306,11191.7524513416,9518.29859684428,7929.61784787074,7884.24492722319,7149.05493934046,7374.73667391859,7608.27472461775,5951.45740635976,5951.78880429885,6037.0737346497
"gene-T4p200",7805.15777808063,6808.52292987244,16244.7420090012,57902.6465217455,47571.3652074515,27879.2401669769,1155.50586317338,418.392827173501,4550.33375862809,4612.64033132327,2924.64300082734,15061.6958353982,12599.9489343378,18768.2448344164
"gene-T4p162",0,0,2008.75842046788,13143.6820080417,10774.6286501162,5134.98273902513,66.6005103268122,37.3834746301233,77.42147590417,61.028101119114,29.9129872432211,2300.25630482504,1783.56838239809,2904.4759838707
"gene-T4p246",0,2723.40917194897,2227.10172704048,207.629391382324,250.274280735277,219.58807765568,3363.32577150402,2882.57337710717,4686.4772791933,4592.49077756939,4399.70460996809,2601.29642889884,2590.32179462457,1952.8705627063
"gene-T4p190",0,0,1484.73448469365,3640.92968459718,3105.96799681728,1596.2364106509,21.3485380956557,14.5110457077968,23.1139963027511,20.8411432611982,14.7430639651002,1523.41245827833,1317.70278123932,1969.75322054609
"gene-T4p273",0,0,349.349290516154,19239.0877121943,31996.6041986177,41088.3076074955,768.374158152767,1155.3813270245,186.827725070525,342.953629198623,341.257603094179,48.0590167051635,59.047766746929,42.0831129567293
"gene-T4p005",0,1361.70458597449,349.349290516154,685.91852510232,1065.27001543733,1554.00793417866,883.950726463731,706.455965016009,928.058186685597,1022.22536664724,849.318691584147,401.010661657255,477.768247834105,396.536573163701
"gene-T4p108",0,0,742.367242346827,789.733220793481,545.469586217912,320.93642118907,1230.46391478307,1022.03075085471,1571.50186754597,1647.23536518351,1407.8148496741,571.688270781828,555.201946456626,685.682971580681
"gene-T4p048",0,2723.40917194897,4323.1974701374,804.563891606505,596.807900214891,413.839069428012,552.550397769911,215.777631342703,1958.10948498459,2007.53480689011,1417.33709588764,5054.25199004053,5259.80616392506,4272.46539546411
"gene-T4p144",3902.57888904032,2723.40917194897,4759.8840832826,15297.8369436334,12911.5859702404,6629.87080614264,104.447614374689,59.4467374349147,116.81938671931,107.71973866752,68.4616667421691,5329.14178275735,5506.93569671218,7502.15901742898
"gene-T4p112",0,6808.52292987244,1877.75243652433,11467.8162061701,14695.5923816355,15261.3713970697,3631.02691249254,4571.4648976265,2603.135745772,2618.75039849655,2609.94918113576,1230.27191346862,1055.97754484753,1683.81864484009
"gene-T4p214",0,13617.0458597449,17554.8018484367,5880.36097736367,5101.74495344988,3437.39798484083,9044.50519434285,10488.4651598983,10114.2266668419,10214.2536581174,10493.7780099743,28246.9497391989,24884.3779889299,20051.9856656678
"gene-T4p227",0,1361.70458597449,3711.83621173413,31322.3767571048,50491.2318160297,61932.2835941962,5862.27391840888,7425.5016829886,3889.89816697218,3980.88266218853,4458.84104248734,2523.15674829644,2431.73066434143,3078.32618240623
"gene-T4p119",0,2723.40917194897,10655.1533607427,18790.4599201003,27228.5582861482,37769.1493567769,7843.09780909768,10064.2463366785,5779.74848089334,5698.0059508282,6052.6352113114,11779.673593363,10116.651216942,11796.2836275851
"gene-T4p097",0,2723.40917194897,1746.74645258077,14263.397654425,27170.8026829016,35159.4295107921,6083.42398748497,7572.39230552515,2255.17639602518,2550.33911209656,2769.13486956072,484.71507050973,503.701388635121,598.963758384133
"gene-T4p062",3902.57888904032,2723.40917194897,4585.20943802452,1953.9408796158,1520.89755216053,929.026482389415,2368.43193225921,1881.79672293971,3031.30690971539,3060.56394402564,2631.48915877742,6163.34513588171,4817.04765617233,5662.93756603439
"gene-T4p208",0,1361.70458597449,960.710548919423,1931.69487339626,5076.07579645139,7018.37278968731,2469.76170739883,3377.51331899949,1451.1841462511,1502.03895186244,1632.17867166415,257.884294498072,248.193456512289,294.499436268618
"gene-T4t006",0,2723.40917194897,2707.45700150019,433.797121280926,481.296693721687,641.872842378141,1528.47738166807,1893.66449266356,1061.41136895841,940.356122266924,1106.81336333095,4379.40221862275,3936.31829743013,3837.38694976861
"gene-T4p125",0,0,480.355274459712,756.364211464179,1155.11206493205,1528.67084829531,2416.75844040272,2312.2730974684,1072.69766264858,1121.62733961858,1269.01990227883,100.320765235556,111.612248293604,115.872680880857
"gene-T4t007",0,0,2358.10771098404,426.381785874415,410.706511975839,675.655623555938,1198.93909585075,1390.14738992536,701.790903959746,654.785730567744,773.666087184167,3438.45725997429,3309.93320423636,2516.42191684113
"gene-T4p043",7805.15777808063,6808.52292987244,4410.53479276644,1394.08305642417,1212.86766817865,1798.93309771768,8345.58956581571,8173.44089763024,7110.24008428791,6882.43709435497,7760.79484069323,3078.89020381582,3057.05183381004,3197.41068599807
"gene-T4p217",3902.57888904032,9531.93210182141,5676.9259708875,4879.29069748461,7469.72468656058,9813.89793215,7666.85328567107,7280.82278117332,8296.17550539988,8097.27948459561,7653.16062314847,5592.86320479046,5664.36316042092,4461.96293541212
"gene-T4p130",0,4085.11375792346,2227.10172704048,44595.8271347605,90997.1615596469,110951.099083179,7151.45713878568,10857.2291318629,1861.65540311582,2209.62847589466,2894.27031893933,224.184611529107,235.991581289247,266.416576154636
"gene-T4p181",0,8170.22751584692,10436.8100541701,224358.388059414,189079.010450877,105934.356078277,1211.88678934081,745.943271551724,1135.87591920943,855.365379299509,516.532604086841,10882.2346919424,8247.40372705136,12633.8281652954
"gene-T4p187",0,1361.70458597449,4759.8840832826,3711.37537095904,2945.53576557672,1663.8019730065,1619.58757264831,1695.95823794581,2114.57666356015,2460.99322439385,2408.86560937123,5919.66451838557,5271.27659158705,6000.50836840158
"gene-T4p182",3902.57888904032,0,4803.55274459712,24422.4071613458,20310.7204750552,10362.8681262892,130.429608000233,85.501886419546,152.802256639268,118.336572185333,72.6645892088347,4256.62796946908,3461.70857315512,5206.44696893234
"gene-T4p197",0,1361.70458597449,2314.43904966952,26724.8688050677,43868.5893104193,56290.5591375041,3981.61061314656,4872.9601930201,2613.29757477717,2257.51637637465,2577.67205000504,1286.15268107074,1139.79478582107,1842.92740067649
