"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-b4202",14700.56474482,9336.10365339126,11302.3854711494,6349.15997378396,7067.71115598521,10388.1805872306,23099.7989305626,32520.8810471312,21257.9445336057,20294.1011622193,25551.7327745188,11988.1607861581,12435.8978056421,16066.6635679059
"gene-b2955",494.820771416041,473.281295065054,588.298922153737,437.165894148675,528.069239854987,596.102230477362,803.674657000943,1046.42400072746,768.147175257095,700.117263189944,698.863474938514,541.891486765275,620.829869759162,596.223843340258
"gene-b0544",5.28654670316283,4.43409497348916,11.184390155014,9.35499032746135,7.35190012280107,9.01000952958527,27.1322061152821,20.9094714041818,28.188887165398,33.212393889466,12.347411217995,19.013736377729,9.65020522941702,31.3802022810662
"gene-b2343",5143.80994217743,9955.94345600111,5438.96893238332,6542.73631209835,7561.55603319957,5358.07246705377,6317.12605828914,4355.82306569841,7318.53983031645,6892.23597994199,6373.733670729,5970.31322260689,7449.95843710994,5899.47802884045
"gene-b2112",77.4479092013355,66.9781714416521,74.9354140385939,91.3910593528917,74.7865702147005,74.9632792861495,52.3932256019241,55.1249700655701,56.3777743307959,73.0672665568252,71.6149850643707,66.5480773220513,61.1179664529744,10.4600674270221
"gene-b2919",39.6491002737212,58.3433549143311,40.8230240658012,47.4945662778807,43.6043731421305,47.2124499350268,87.9457715460869,67.4805668044048,84.5666614961939,58.4538132454602,113.596183205554,80.8083796053481,57.9012313765021,41.8402697080883
"gene-b1836",56.8303770590004,69.078532218568,62.6325848680785,70.1624274559601,72.7584598359968,86.4960914840186,152.501710234172,125.456828425091,109.231937765917,119.564618002078,74.0844673079697,57.0412091331869,77.2016418353361,20.9201348540441
"gene-b3604",94.3648586514565,51.808899163926,63.1918043758292,55.5902309843377,45.3789697234962,45.4104480291098,52.3932256019241,35.1659291797602,49.3305525394464,54.4683259787243,29.6337869231879,66.5480773220513,73.9849067588638,52.3003371351104
"gene-b2149",14.8023307688559,11.9020444025235,12.8620486782661,12.5932562100441,11.4081208802086,19.4616205839042,41.1661058300832,35.1659291797602,7.04722179134949,19.9274363336796,22.2253401923909,4.75343409443224,16.0836753823617,10.4600674270221
"gene-b3054",746.989049156908,676.782917006241,587.180483138236,467.749516373068,447.451852301513,491.225719552989,377.97969898531,370.66790216504,475.687470916091,349.394383717183,469.201626283808,584.672393615165,537.194757770881,564.843641059192
