Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol
gene-b4554	870	1180	364	1212	790	437	140	84	54	145	61	29	43	16	host	yibT
gene-b0088	10589	10439	5319	14592	9595	7418	2169	2429	674	1395	946	603	691	260	host	murD
gene-b2009	346	433	152	653	336	244	60	57	29	65	36	23	25	8	host	sbmC
gene-T4p101	0	2	41	10452	12699	10518	129001	137632	43649	117422	83801	15519	20518	8600	phage	mobD.4
gene-b2245	363	478	196	538	389	245	115	144	47	97	68	21	28	9	host	yfaU
gene-b3259	3757	3558	1646	4109	3121	2406	1666	2005	443	1119	689	238	346	130	host	prmA
gene-b4351	1736	1877	730	2471	1516	952	287	180	71	177	103	48	78	22	host	mrr
gene-b2000	3551	3307	1480	4485	3425	1863	924	904	295	702	417	211	283	69	host	flu
gene-b3638	5523	7207	3297	9415	5664	5151	1164	1195	303	861	435	220	385	88	host	yicR
gene-b2560	2025	2066	856	3172	2265	1420	299	252	96	222	146	81	164	47	host	pgpC
gene-b0875	374	517	202	506	376	259	68	87	29	59	26	19	11	6	host	aqpZ
gene-b3444	3022	2565	1381	4874	3375	2137	931	1016	249	589	438	98	183	67	host	insA6
gene-T4p059	0	5	434	1119	499	207	116118	67661	269392	543496	254251	656409	690224	276955	phage	a-gt
gene-b0304	56	68	21	76	52	47	29	20	6	17	13	4	5	1	host	rclA
gene-b0958	1454	1321	571	1880	1184	873	262	271	121	295	192	106	162	57	host	sulA
gene-T4p122	0	7	444	31012	19383	13180	275715	252306	308698	647380	392139	685202	631650	306818	phage	ipIII
gene-b1262	1112	1132	502	1368	912	655	248	274	65	207	106	90	109	43	host	trpC
gene-b1282	604	681	334	747	565	538	293	259	66	143	62	54	77	20	host	yciH
gene-b0794	3210	2977	1354	4325	2539	1508	295	343	142	296	188	144	190	67	host	ybhF
gene-b2484	115	100	46	163	143	49	20	19	4	20	11	1	10	2	host	hyfD
gene-b0209	7832	7182	3443	12983	7714	5241	823	751	321	890	446	255	461	135	host	yafD
gene-b3380	135	122	54	168	117	65	27	19	11	37	15	5	14	4	host	yhfW
gene-b1306	452	425	200	523	302	237	115	134	57	147	91	66	101	38	host	pspC
gene-b1937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	fliE
gene-b4102	68	69	37	82	89	38	21	14	13	20	16	4	9	2	host	phnF
gene-b1660	2456	3712	1550	6676	3014	2976	662	882	261	319	237	156	177	92	host	punC
gene-b2533	7285	8410	3044	13836	11889	7556	10582	7221	1785	4315	1375	726	998	218	host	suhB
gene-b1890	98	99	52	181	146	94	61	60	7	34	14	8	7	2	host	gene-b1890_gene_motA
gene-b1946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	fliN
gene-b4132	67	98	23	115	83	40	40	20	8	18	8	7	10	1	host	cadB
gene-b4159	5809	6281	3107	8033	6711	4907	1890	1902	475	1112	616	372	503	140	host	mscM
gene-b4467	387	491	154	509	400	222	142	106	43	92	59	27	38	11	host	glcF
gene-b0733	129492	194161	81207	257617	180299	129942	39218	46624	10510	27507	18609	9121	14239	4072	host	cydA
gene-T4p076	0	8	408	2496	1120	567	106971	70380	206569	452837	210785	416007	473016	231764	phage	gene-T4p076_gene_nrdD
gene-b1576	3	5	1	14	11	4	3	4	1	2	0	1	0	0	host	ydfD
gene-b2910	12012	12597	4770	19574	13554	8882	2545	1973	580	1705	776	514	798	177	host	zapA
gene-b0233	244	146	94	387	230	206	30	43	12	44	12	15	9	2	host	yafO
gene-b3128	1526	733	266	810	596	372	234	1037	628	157	642	37	72	19	host	garD
gene-b0181	23702	30125	13087	32865	27662	20129	13231	16311	4169	9524	5886	2410	2929	985	host	lpxA
gene-b4137	1353	1571	636	2158	1388	1081	241	174	68	168	91	64	100	28	host	cutA
gene-b0340	106	122	54	128	118	71	43	37	10	32	26	16	12	8	host	cynS
gene-b4813	2388	3154	1020	4500	1448	1217	379	437	137	218	149	83	92	42	host	narS
gene-b0658	11314	9576	4740	12560	8390	7049	4035	4611	956	2438	1153	590	817	247	host	ybeX
gene-b1698	150	162	72	213	145	89	27	22	10	25	9	8	15	4	host	ydiR
gene-b2936	2668	2901	1313	3303	2472	1607	722	728	180	534	270	118	192	82	host	loiP
gene-b0031	2707	3109	1376	3338	2158	1772	930	912	245	585	425	148	178	77	host	dapB
gene-b3746	13992	14899	7253	22323	15122	8396	816	738	397	1167	646	352	630	201	host	ravA
gene-b4070	6625	10350	4035	13265	5658	4238	335	348	226	473	300	245	264	86	host	nrfA
gene-b4756	1438	1946	900	2116	1255	694	158	182	73	201	148	27	51	15	host	yqiD
gene-b3408	3795	1836	924	2273	846	600	142	177	84	177	96	44	45	23	host	feoA
gene-b3002	3809	4276	1804	5193	3430	2749	758	854	195	530	259	182	230	74	host	yqhA
gene-b4363	938	927	393	1295	758	469	62	55	16	83	38	16	39	13	host	yjjB
gene-b2325	3353	3529	1769	4070	3189	2491	1177	1676	331	812	550	208	264	106	host	yfcL
gene-b4615	12	11	3	40	34	15	7	4	4	6	6	3	2	0	host	yibV
gene-b3888	3596	4564	1782	4883	3631	2328	985	1006	271	620	332	210	371	105	host	fabY
gene-b2891	17727	22478	9287	24462	18698	15627	9111	10075	2031	4460	2450	1181	1674	560	host	prfB
gene-b3170	7622	9440	4472	13642	10997	8137	6310	6053	1302	3581	1558	717	1080	290	host	rimP
gene-b4558	1668	1959	706	1964	1115	929	266	270	88	177	122	75	114	43	host	lptM
gene-b1027	346	326	126	416	260	154	61	45	22	52	27	17	19	5	host	insE4
gene-b2298	5780	12128	4100	9027	8520	7297	1215	1802	362	1041	721	330	492	179	host	yfcC
gene-b4032	164	160	69	220	179	100	67	49	15	29	26	12	15	5	host	malG
gene-b0933	214	210	117	362	238	156	62	55	12	32	15	12	13	6	host	ssuB
gene-b3864	776	1184	514	1524	993	697	484	467	52	363	200	94	152	30	host	spf
gene-b3789	4087	4667	1936	5584	4593	2825	1259	1407	355	895	443	304	411	121	host	rffH
