Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol
gene-T4p008	0	1	21	918	1190	1307	66886	64297	38518	103533	69598	9564	10834	4513	phage	39.2
gene-T4p244	2	0	119	157	77	43	64540	35377	122078	279021	124817	176725	193418	71395	phage	SegG
gene-b0999	868	977	390	1145	705	452	113	126	44	137	67	48	72	18	host	cbpM
gene-T4p223	1	6	117	3173	1744	1127	183118	146155	171659	394548	231710	152938	179014	73306	phage	pseT
gene-b0650	164	220	63	259	192	157	53	37	9	36	10	9	17	5	host	hscC
gene-b3126	101	135	59	180	100	85	27	36	14	21	15	6	14	7	host	garL
gene-b0550	10	9	4	7	9	5	2	1	2	0	0	0	1	0	host	rusA
gene-b2357	0	0	0	1	1	0	0	0	1	0	0	0	0	0	host	yfdN
gene-T4p200	2	5	372	15617	7413	3301	26684	7756	109260	246776	89070	387049	378973	227896	phage	alt
gene-b0774	662	589	296	652	566	405	159	135	36	92	51	32	44	13	host	bioA
gene-b1422	244	254	123	407	211	187	168	205	31	108	58	30	39	5	host	ydcI
gene-b1486	174	162	77	251	146	111	30	22	14	22	13	3	16	0	host	ddpB
gene-b4166	3343	2791	1473	5656	4006	2383	1047	1075	264	675	327	170	257	47	host	queG
gene-b1746	277	203	104	251	136	85	44	56	17	30	21	8	20	5	host	astD
gene-b1331	0	1	0	0	1	0	0	0	1	0	0	0	0	0	host	insH4
gene-b0347	66	78	28	99	64	49	27	17	4	24	4	0	8	1	host	mhpA
gene-b3770	20970	25922	12412	27207	15749	13355	5580	8407	2071	4002	3616	1337	1573	571	host	ilvE
gene-b0633	7875	8126	3443	10469	8163	5473	1615	1624	493	1293	738	365	551	151	host	rlpA
gene-T4p162	0	0	46	3545	1679	608	1538	693	1859	3265	911	59111	53645	35268	phage	16
gene-b4150	1071	1211	597	2740	2400	1405	563	455	143	346	148	108	211	44	host	ampC
gene-b3044	7	16	2	16	9	10	2	1	0	1	1	0	1	1	host	insC5
gene-b4313	217	167	57	421	275	174	110	91	25	51	35	15	24	10	host	fimE
gene-b0358	514	481	197	644	379	222	82	86	21	72	40	16	20	5	host	yaiO
gene-b0475	2629	2966	1263	3058	2561	1818	684	649	164	462	242	126	187	65	host	hemH
gene-b0435	3902	4874	1770	5458	3734	2819	765	737	235	564	347	147	191	76	host	bolA
gene-b2661	572	608	263	714	469	304	268	267	106	182	154	40	68	17	host	gabD
gene-b3636	19171	33914	12524	33872	30010	21928	9332	10622	1797	5311	2270	1067	1576	568	host	rpmG
gene-b1548	264	221	106	352	211	120	42	25	15	32	14	13	9	8	host	nohA
gene-T4p246	0	2	51	56	39	26	77669	53436	112529	245698	133993	66847	77910	23713	phage	33
gene-b4248	232	210	94	380	232	169	54	41	16	44	21	9	15	5	host	yjgH
gene-b4018	2537	2699	1203	2646	1880	1608	488	441	124	319	232	118	151	57	host	iclR
gene-b2561	1712	1778	697	3056	1647	1171	194	211	78	197	115	64	84	32	host	yfhH
gene-b2836	3204	3713	1556	4283	2924	2494	547	555	152	410	262	134	217	73	host	aas
gene-b3474	250	276	129	414	265	207	49	32	12	43	25	23	17	8	host	yhhT
gene-T4p190	0	0	34	982	484	189	493	269	555	1115	449	39148	39633	23918	phage	26'
gene-b1130	1623	1968	817	2624	1421	1121	296	279	95	228	115	69	113	36	host	phoP
gene-b3481	1678	3303	1148	4360	4770	2201	1284	1136	190	684	254	193	387	110	host	nikR
gene-b2486	308	292	135	518	359	206	64	62	17	72	26	18	24	7	host	hyfF
gene-b2675	483	347	182	575	371	233	53	48	17	45	26	16	20	9	host	nrdE
gene-b1191	6012	6428	2679	8377	5795	4121	1008	855	336	806	497	322	472	126	host	cvrA
gene-b0648	0	2	0	0	0	0	0	1	0	0	0	0	0	0	host	ybeU
gene-b1406	832	980	335	1381	1085	663	216	222	46	174	87	44	64	16	host	pdxI
gene-b2344	5948	6457	3615	6273	4409	4816	3216	3472	850	1810	1124	363	517	179	host	fadL
gene-b4345	136	184	73	444	289	225	68	62	13	43	21	6	19	9	host	mcrC
gene-b3383	182	201	60	206	140	136	70	46	21	53	11	13	20	2	host	yhfZ
gene-b0601	221	232	77	389	256	149	56	41	11	35	19	13	17	3	host	ybdM
gene-b2865	2021	2395	1023	3609	2554	1721	572	558	163	447	235	113	168	53	host	actS
gene-b0757	4598	5793	2362	6716	4435	2873	1300	1370	359	902	494	260	411	114	host	galK
gene-b0343	61	48	16	74	48	45	47	39	17	41	29	3	3	3	host	lacY
gene-T4p273	0	0	8	5189	4986	4865	17744	21418	4486	18348	10393	1235	1776	511	phage	ndd.4
gene-b0102	3224	3911	1630	4544	3599	2640	821	704	231	545	273	216	275	94	host	zapD
gene-b0408	28635	32690	14384	35235	29230	24351	8906	11232	2441	5561	3551	1712	2045	852	host	secD
gene-b0783	5919	6879	3164	6239	3328	3204	498	427	199	430	304	246	324	97	host	moaC
gene-b1895	1033	1077	588	1845	1023	600	85	101	37	111	48	28	32	9	host	uspC
gene-b3370	61	92	29	96	61	34	19	14	8	20	10	3	5	3	host	frlA
gene-b3835	10711	13406	5952	15851	12678	9107	2335	2394	636	1722	903	527	862	244	host	ubiB
gene-b2329	8183	7997	4007	8286	6093	4964	2058	2339	504	1261	826	387	574	211	host	aroC
gene-b3651	4526	3668	1834	4813	4275	3807	1304	1357	304	783	416	216	320	115	host	trmH
gene-b1402	30	29	10	46	33	14	11	11	1	6	2	2	4	0	host	insD2
gene-b2319	14030	11743	5905	11603	8074	6605	3153	3223	900	1918	1169	741	1003	353	host	usg
gene-b2406	1	0	1	1	0	1	0	1	0	0	0	0	0	0	host	xapB
gene-b2705	378	347	137	467	312	203	54	58	16	53	31	10	21	8	host	srlD
gene-b0673	4600	7797	2643	10619	6597	6572	2946	2421	367	1006	369	263	482	69	host	metT
gene-b1452	744	362	218	487	301	231	142	159	32	98	68	18	35	16	host	yncE
gene-b2439	109	165	50	170	109	79	40	31	8	25	9	3	9	1	host	eutL
gene-T4p005	0	1	8	185	166	184	20413	13096	22284	54689	25866	10305	14370	4815	phage	gene-T4p005_gene_mobA
gene-b2815	8254	13098	4671	19249	18774	11805	25440	18009	8502	21744	8282	5886	6806	1852	host	metW
gene-b3540	2543	2445	1122	3045	1978	1530	809	940	229	494	311	135	137	54	host	dppF
gene-b1093	55717	57842	27747	59080	40581	33018	20817	24550	5778	13460	9813	2673	3734	1223	host	fabG
gene-b3003	209	226	71	368	227	109	34	26	12	30	28	16	13	3	host	yghA
gene-b4722	181	237	71	180	99	75	22	23	13	29	15	11	4	1	host	idlP
gene-b3608	11050	13917	5678	15939	13426	8769	4885	4772	1226	3408	1891	771	1217	393	host	gpsA
gene-b4221	10247	11440	4988	15413	10963	6959	2379	2312	710	1784	1003	500	776	207	host	tamB
gene-b2507	36189	28185	15384	29370	20981	19893	13067	17555	4042	9208	6873	1967	2695	1191	host	guaA
gene-b4762	114	158	49	148	79	79	37	29	4	19	9	4	13	1	host	sroA
gene-b1013	777	970	378	1065	801	513	175	168	46	136	79	47	52	21	host	rutR
gene-b2480	15122	18441	8064	20705	15673	13155	2569	3317	719	1937	1165	732	982	351	host	bcp
gene-b0430	23841	13460	9195	13550	5396	6572	2178	3293	876	1698	1280	546	549	395	host	cyoC
gene-b0799	3419	3537	1576	4125	3132	2328	886	791	232	568	297	193	323	81	host	dinG
gene-b1697	97	101	37	148	107	59	26	19	11	27	9	5	10	1	host	ydiQ
gene-b0784	1904	1750	905	1892	1004	1067	203	184	74	177	102	87	101	29	host	moaD
gene-b1352	1	3	1	0	1	1	3	3	0	3	2	1	0	0	host	kilR
gene-b4022	3345	3892	1659	4772	3750	2945	1175	1269	313	871	472	182	291	71	host	rluF
gene-b4287	419	486	182	572	391	280	92	90	23	76	28	25	35	8	host	fecE
gene-b1880	4256	3363	1657	4981	2674	2481	656	835	272	471	339	189	238	71	host	flhB
gene-b1485	269	223	98	354	242	155	43	41	14	27	21	8	16	4	host	ddpC
gene-b1870	2032	2549	975	3145	2314	1756	640	639	160	348	158	103	158	39	host	cmoA
gene-b0523	2755	3189	1547	1304	1349	1681	2180	1983	237	803	407	180	398	113	host	purE
gene-b0118	80688	71048	34877	79256	44539	34300	23926	29030	9910	17604	15052	4531	5674	1957	host	acnB
gene-b1837	225	366	139	398	254	201	56	58	19	52	26	13	15	4	host	yebW
gene-b1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	paaZ
gene-b0818	612	703	308	813	593	464	237	216	50	171	61	31	50	21	host	ybiR
gene-T4p108	0	0	17	213	85	38	28415	18946	37734	88127	42875	14691	16699	8326	phage	tk.2
gene-b0887	3538	4358	1594	3642	2554	2186	648	664	185	497	286	171	234	69	host	cydD
gene-b3340	712229	530424	288250	640351	328833	316971	189509	294491	85386	179076	135064	36947	43553	16594	host	fusA
gene-b2685	3506	3195	1889	3099	2359	2595	1510	1879	312	772	559	251	361	131	host	emrA
gene-b3208	1753	1699	831	3137	1986	1263	237	233	98	184	111	83	104	33	host	mtgA
gene-b3787	6014	8598	3483	9967	9818	6421	3091	3215	703	1798	849	466	710	182	host	wecC
gene-T4p048	0	2	99	217	93	49	12760	4000	47017	107403	43165	129882	158201	51879	phage	regA
gene-b1464	1600	1762	838	2528	1836	1163	240	235	67	243	131	79	125	28	host	yddE
gene-b0405	3193	4719	1973	5067	4317	3540	1587	1440	327	981	432	332	470	135	host	queA
gene-b1862	189	237	80	342	270	169	102	125	30	76	36	18	16	8	host	yebB
gene-b3438	3714	3608	1483	5458	4750	2537	823	846	244	759	390	186	284	61	host	gntR
gene-b3598	110	121	26	96	50	29	15	7	3	10	6	1	7	1	host	yibI
gene-b1942	0	1	0	1	0	0	0	0	0	0	0	0	0	0	host	fliJ
gene-b2511	7552	9666	4441	10222	7589	6230	7793	7874	1941	4034	1840	662	875	325	host	der
gene-b0443	143	166	77	286	192	153	57	71	13	35	15	10	17	10	host	fadM
gene-b2299	2778	3741	1332	3588	2716	2144	684	639	177	465	255	161	239	65	host	yfcD
gene-b3214	0	0	1	1	0	1	0	0	0	0	0	0	0	0	host	gltF
gene-b4230	70	58	35	109	69	41	18	18	5	10	8	4	8	1	host	ytfT
gene-b0505	94	84	25	80	53	46	17	19	4	9	10	4	4	0	host	allA
gene-b2878	468	575	218	878	585	354	102	94	39	72	36	21	34	6	host	ygfK
gene-b1675	969	1221	525	1885	1523	985	448	417	104	402	205	51	94	45	host	fumD
gene-b2462	17	13	0	10	13	3	6	5	2	1	1	1	2	0	host	eutS
gene-b0108	59	50	26	133	106	53	12	15	5	13	7	0	7	3	host	ppdD
gene-b1508	240	289	118	335	183	160	38	29	20	35	26	8	6	3	host	hipB
gene-b3455	121	125	46	127	85	62	34	25	5	17	11	3	6	3	host	livG
gene-b3094	5066	5788	2361	6442	4545	3122	547	501	183	466	292	177	274	83	host	exuR
gene-b2217	176	191	142	344	306	180	67	48	10	41	17	4	15	2	host	rcsB
gene-T4p144	1	2	109	4126	2012	785	2412	1102	2805	5763	2085	136946	165634	91096	phage	5
gene-b0909	282	322	144	466	307	246	87	71	24	49	33	18	27	4	host	ycaL
gene-b0883	188	254	94	440	188	229	280	170	30	103	50	57	57	8	host	serW
gene-b1434	549	562	267	798	548	355	123	96	34	85	48	25	25	11	host	sutR
gene-b1875	1213	1567	645	1449	1152	885	276	255	66	170	109	77	94	21	host	yecM
gene-T4p112	0	5	43	3093	2290	1807	83851	84744	62505	140103	79486	31615	31761	20446	phage	vs.1
gene-b3338	1613	1661	625	2423	1673	1012	433	424	102	324	150	72	102	30	host	chiA
gene-b3742	2799	3886	1345	5122	4143	2753	763	851	210	630	282	146	259	68	host	mioC
gene-b2871	279	319	92	384	299	190	76	62	34	56	35	13	27	3	host	ygeX
gene-b4790	969	1173	348	1265	824	556	222	247	70	190	130	33	37	15	host	yhiY
gene-b3961	16667	20216	8426	23286	18566	10503	2557	2065	734	2248	1161	845	1325	389	host	oxyR
gene-b0476	711	870	338	1042	783	550	213	196	54	150	83	34	60	18	host	aes
gene-b4733	2	2	1	11	9	9	5	4	2	5	1	1	0	0	host	ylcJ
gene-b1570	0	1	0	0	0	0	0	0	0	0	0	0	1	0	host	dicA
gene-b0664	3826	5695	2106	8073	7970	4799	1988	1753	468	1156	499	469	563	222	host	glnX
gene-b4312	424	484	264	878	630	415	111	153	46	112	61	18	27	15	host	fimB
gene-b2510	803	1248	613	1407	1188	864	456	432	119	282	140	67	67	26	host	yfgJ
gene-b1865	4435	5147	1995	5680	4445	3093	2056	2101	626	1429	827	358	407	144	host	nudB
gene-b3097	2405	3515	1462	4026	3201	2119	872	924	236	603	358	142	245	64	host	yqjC
gene-b1654	18386	21086	9641	27809	18446	14661	6495	7839	2522	5231	3989	1043	1416	451	host	grxD
gene-b4249	491	510	206	719	536	313	136	144	32	120	58	38	56	17	host	bdcA
gene-b0402	2886	3345	1601	4100	3056	2727	1207	1274	254	660	379	209	348	102	host	proY
gene-b1736	172	170	72	244	198	127	65	72	17	54	31	8	27	5	host	chbA
gene-b4474	225	234	93	274	207	122	49	43	15	45	22	7	20	3	host	frlC
gene-T4p214	0	10	402	1586	795	407	208864	194431	242857	546462	319588	725878	748456	243484	phage	31
gene-b2405	1	2	0	1	0	0	0	0	0	0	0	0	0	0	host	xapR
gene-b2771	98	88	29	83	83	40	16	19	3	10	4	2	4	2	host	ygcS
gene-b1060	1296	2182	698	2995	2035	1505	855	948	290	741	453	172	187	74	host	bssS
gene-b1329	1133	1676	669	1560	1256	1199	488	566	128	312	189	78	106	43	host	mppA
gene-b4367	198	147	45	244	158	107	58	63	16	41	14	14	12	2	host	fhuF
gene-b0452	1289	1703	638	2170	1644	1160	475	453	114	320	167	104	149	41	host	tesB
gene-b2793	3140	3145	1279	5118	3319	2336	891	723	213	564	292	118	197	71	host	syd
gene-b3702	14248	23208	7692	21645	20088	13697	6333	5413	1301	3492	1518	992	1611	388	host	dnaA
gene-b3206	1220	1929	876	2377	1681	1074	464	473	116	300	149	83	111	29	host	npr
gene-b2265	2590	2488	1146	3210	2382	1630	530	527	155	387	197	118	177	57	host	menF
gene-b4455	58	80	88	372	309	209	262	238	44	136	39	9	20	5	host	hokA
gene-b3530	4916	4977	2112	5830	5837	3265	1265	1161	353	938	453	296	482	109	host	bcsC
gene-b1092	16374	16185	7585	16098	11935	9978	6234	6218	1400	3651	2034	890	1177	453	host	fabD
gene-b2595	13768	17399	7012	20579	17559	11996	5818	6199	1460	3970	2057	848	1291	366	host	bamD
gene-b2699	23641	30363	12052	32202	23143	15438	5299	5248	1588	4297	2837	1425	2144	666	host	recA
gene-b3065	49449	73434	26409	76691	68579	56671	60823	62080	12742	29057	14319	4569	6598	2013	host	rpsU
gene-b0898	800	2480	553	1838	1457	901	581	401	98	335	101	92	135	22	host	ycaD
gene-b3452	78	81	36	94	60	41	17	9	8	7	4	6	5	1	host	ugpA
gene-b4215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	ytfI
gene-T4p227	0	1	85	8448	7868	7333	135377	137651	93402	212977	135794	64839	73140	37379	phage	alc
gene-b1561	6	23	7	21	17	8	5	9	0	5	1	0	3	1	host	rem
gene-b0745	3999	9175	2749	11025	10676	5950	3480	3066	738	2176	793	511	734	184	host	lysW
gene-b2094	11	11	1	11	13	5	5	7	4	3	2	0	1	2	host	gatA
gene-b3816	2149	6144	767	3226	2215	1246	840	456	131	343	155	108	155	40	host	corA
gene-b4737	3	12	10	15	7	6	3	3	0	1	2	0	2	1	host	ymdG
gene-b0143	12031	16667	7921	18285	14838	13061	5144	5440	1190	2980	1584	1075	1699	412	host	pcnB
gene-b3292	982	947	441	1397	973	667	256	258	72	186	88	37	64	24	host	zntR
gene-T4p119	0	2	244	5068	4243	4472	181120	186567	138780	304843	184333	302709	304282	143238	phage	vs.8
gene-b4050	81	115	60	175	122	105	98	60	23	68	36	21	43	16	host	pspG
gene-b1878	2295	2269	1378	4505	2611	2472	694	1052	212	387	321	152	156	62	host	flhE
gene-b2985	49	51	21	83	63	53	19	21	5	12	10	3	2	2	host	yghS
gene-b4019	26505	27189	12279	26458	21366	16370	8086	9124	2034	4890	3386	1572	2170	723	host	metH
gene-b2155	827	749	325	1451	1053	558	177	139	48	120	77	31	52	9	host	cirA
gene-T4p097	0	2	40	3847	4234	4163	140484	140374	54150	136443	84334	12456	15150	7273	phage	mobD.1
gene-b1015	1258	1264	599	1127	636	704	431	524	113	264	195	101	71	54	host	putP
gene-b4472	7005	5943	2867	8471	6402	4103	1054	967	317	900	461	295	392	122	host	yhdP
gene-b2411	3951	4644	2114	5373	4004	3403	1791	1955	404	1041	577	291	435	133	host	ligA
gene-b4842	4442	5366	2082	5280	3199	2369	757	693	197	593	337	179	289	60	host	asompR
gene-b2065	8896	10461	3980	10343	8224	5899	2826	2617	602	1708	901	575	805	245	host	dcd
gene-b4015	769	805	355	904	660	443	247	259	62	198	111	30	71	19	host	aceA
gene-b3061	73	110	33	123	95	61	24	27	5	23	11	3	12	0	host	ttdA
gene-b3965	2576	3956	1542	4653	3822	2400	1654	1440	367	936	387	222	329	113	host	trmA
gene-b0730	422	433	143	614	341	283	96	71	29	48	28	29	19	10	host	mngR
gene-b3200	5318	7385	2969	8200	5669	4483	1679	1763	395	1026	546	327	486	153	host	lptA
gene-b2148	97	71	29	84	67	44	19	31	6	11	8	2	5	0	host	mglC
gene-b2536	956	1370	586	1440	1168	949	408	399	99	255	132	88	127	26	host	hcaT
gene-b3191	2589	3667	1726	3985	3030	2314	953	996	210	585	358	153	267	84	host	mlaB
gene-b4121	968	807	375	1343	910	542	106	113	34	124	65	45	48	20	host	yjdF
gene-b1380	1349	1653	578	2118	1420	882	261	255	104	222	182	91	139	53	host	ldhA
gene-b4197	216	217	75	275	162	133	37	53	15	28	14	11	16	5	host	ulaE
gene-b3186	55642	79679	27447	84976	61006	51778	45915	40852	7212	19242	9459	4477	6279	1900	host	rplU
gene-b1997	12	10	7	20	9	4	2	2	0	4	0	0	0	1	host	insC3
gene-b1571	4	4	5	20	13	5	1	2	0	2	0	1	2	0	host	ydfA
gene-b1221	7730	11679	4485	13998	8577	5918	1358	1414	470	1245	841	465	694	215	host	narL
gene-b1292	1248	1074	604	1543	1358	936	289	320	68	218	130	62	94	28	host	sapC
gene-b4354	629	2164	417	2231	3230	921	1294	453	165	825	206	171	395	75	host	btsT
gene-T4p062	1	2	105	527	237	110	54694	34884	72786	163740	80142	158383	144884	68763	phage	a-gt.3
gene-b0489	649	669	328	971	753	467	199	202	41	133	70	63	60	10	host	qmcA
gene-b0260	0	2	0	0	0	0	0	0	0	0	0	0	0	1	host	mmuP
gene-b2670	1377	2278	587	1942	1031	737	115	123	67	109	72	53	58	23	host	alaE
gene-b1131	10122	7580	4877	6630	5174	5468	4459	5358	1087	2619	1736	538	792	332	host	purB
gene-b4673	54	70	30	84	111	42	14	17	3	10	5	3	7	3	host	ymjD
gene-b0203	906	2526	825	1700	1734	1529	1101	914	403	939	380	230	333	106	host	alaV
gene-b1021	77	94	29	128	80	80	54	52	14	28	23	7	11	7	host	pgaD
gene-b2505	71	107	39	182	129	87	28	26	8	21	15	6	9	0	host	yfgH
gene-b1743	219	291	94	446	325	222	124	116	37	110	70	41	36	19	host	spy
gene-b4317	78	123	27	117	81	63	61	69	18	33	24	10	17	7	host	fimD
gene-b0676	6418	5961	2705	8347	5525	3654	796	693	243	697	362	271	339	116	host	nagC
gene-b3071	1743	1863	781	1968	1475	943	424	438	142	290	189	103	153	42	host	nfeR
gene-b1832	7412	7046	3300	8894	6220	5336	2000	2834	630	1532	827	371	476	183	host	msrC
gene-T4p208	0	1	22	521	791	831	57034	62611	34845	80359	49708	6627	7465	3576	phage	30.5
gene-b0072	3282	2077	1361	2317	1157	1235	425	675	139	268	193	133	147	67	host	leuC
gene-b3602	1868	2333	879	2624	1845	1310	585	638	211	544	205	88	138	63	host	yibL
gene-b0734	71710	113709	44255	144663	102735	69787	28596	33051	7022	17841	11858	5752	8895	2582	host	cydB
gene-b0627	6579	8900	3823	10442	8174	5986	2680	2427	567	1831	1069	400	655	192	host	tatE
gene-b2417	59233	91190	32992	114607	86376	54368	19723	21728	5401	13403	8816	3325	4826	1521	host	crr
gene-b2700	1782	2359	867	2218	1839	1264	430	412	117	289	168	121	151	41	host	pncC
gene-b3605	2103	1285	656	1723	974	528	174	155	67	132	106	54	79	18	host	lldD
gene-b1134	831	1093	456	1223	928	612	322	276	83	187	100	46	96	19	host	nudJ
gene-b4052	7881	10288	4329	10766	8935	7050	2245	2486	581	1576	816	497	716	204	host	dnaB
gene-T4t006	0	2	62	117	75	76	35297	35104	25486	50309	33708	112540	118394	46596	phage	gene-T4t006
gene-b0043	89	82	40	123	56	44	18	15	3	18	8	0	12	2	host	fixC
gene-b0644	177	205	72	392	262	125	38	37	17	22	22	9	11	2	host	ybeQ
gene-b0253	3	0	4	13	10	4	0	1	0	1	0	0	0	0	host	ykfA
gene-b3916	123403	235424	71920	284443	256890	109895	30056	18323	7345	27185	12848	7232	14704	2731	host	pfkA
gene-b3895	1798	2376	936	2643	1821	1292	643	630	160	423	210	106	165	35	host	fdhD
gene-b3894	47001	28785	15140	36029	16608	13065	8747	10186	2424	5762	3162	1325	1540	562	host	fdoG
gene-b1226	2538	20679	3530	28036	13409	10290	2952	4559	1374	1679	1676	1131	897	416	host	narJ
gene-b3794	1319	1282	659	1756	1333	1074	402	368	72	266	122	63	96	49	host	rffM
gene-b4203	102641	66333	32965	57499	45226	45943	41817	57926	11153	27942	18039	3852	5489	2275	host	rplI
gene-b1970	105	168	54	189	179	102	64	53	23	55	38	15	18	7	host	hiuH
gene-b2253	34686	30394	17624	49002	35197	31210	5996	6595	1550	4236	2620	1373	2034	719	host	arnB
gene-b3086	174	174	69	375	267	168	50	60	19	34	17	8	16	4	host	ygjQ
gene-b2768	294	597	223	649	564	397	71	55	25	64	35	27	39	14	host	ygcP
gene-b1071	6623	5045	2772	6532	3684	3357	556	588	273	520	323	256	274	116	host	flgM
gene-b2928	1524	1598	674	2597	1994	1209	275	289	65	205	121	49	113	18	host	yggC
gene-b1968	613	714	350	1420	1282	787	220	187	48	188	99	30	63	14	host	hprS
gene-b1507	883	788	400	1117	653	512	96	66	27	64	45	26	34	16	host	hipA
gene-b0177	37507	38569	16759	40175	28053	22991	10272	11574	2998	7020	3837	1995	2479	921	host	bamA
gene-T4p125	0	0	11	204	180	181	55810	42864	25757	60007	38648	2578	3357	1407	phage	e.2
gene-b1700	32	39	5	45	35	21	2	3	1	6	1	1	0	1	host	ydiT
gene-T4t007	0	0	54	115	64	80	27687	25770	16851	35031	23562	88360	99554	30556	phage	gene-T4t007
gene-b1322	1382	1088	628	1436	946	795	205	214	65	148	98	64	55	24	host	ycjF
gene-b3750	164	227	96	294	168	122	54	63	17	46	26	12	29	8	host	rbsC
gene-b0081	7684	8794	3302	11637	8283	6067	1719	1756	483	1161	724	349	493	153	host	mraZ
gene-T4p043	2	5	101	376	189	213	192724	151516	170727	368210	236355	79120	91948	38825	phage	b-gt
gene-b1238	589	891	374	1183	1048	720	584	559	111	265	126	48	90	26	host	tdk
gene-b2921	179	243	93	340	265	168	90	79	29	62	37	19	14	8	host	srsR
gene-b2230	321	368	153	617	458	257	109	103	25	74	40	19	22	11	host	yfaA
gene-b1539	12291	17348	7009	21916	16280	10022	3179	3235	801	2504	1529	624	956	270	host	ydfG
gene-T4p217	1	7	130	1316	1164	1162	177050	134969	199203	433204	233077	143723	170369	54180	phage	cd
gene-b0066	238	201	97	367	263	182	88	90	27	47	24	13	20	6	host	thiQ
gene-b4414	24772	21345	12826	26311	9946	14299	8037	10169	1983	4992	3394	1042	1277	399	host	tff
gene-b1759	489	592	190	598	474	362	161	136	36	89	58	28	37	11	host	nudG
gene-b1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	ymfM
gene-b3466	1107	1395	502	1572	1200	792	324	276	63	194	91	53	74	18	host	yhhL
gene-b0873	619	731	280	692	423	215	91	82	21	69	40	28	37	9	host	hcp
gene-b3369	152	612	124	796	526	537	260	341	104	185	141	43	40	19	host	yhfL
gene-b0082	11317	11682	5349	15909	11146	8469	2350	2305	632	1635	894	560	881	263	host	rsmH
gene-b0951	4532	3841	1879	3801	2648	2318	859	971	234	660	346	185	268	103	host	pqiB
gene-b4118	524	678	270	684	502	312	72	74	18	70	34	10	32	9	host	melR
gene-b0738	2264	3383	1422	3041	2277	2337	1231	1280	296	718	347	206	256	94	host	tolR
gene-b2756	0	1	0	1	0	0	1	2	0	0	0	0	0	0	host	casE
gene-b2574	655	716	326	914	689	469	196	188	49	134	68	38	57	29	host	nadB
gene-b1212	5130	6652	2856	7853	6858	5075	2493	2738	659	1508	771	430	652	174	host	prmC
gene-b2811	3244	3678	1583	4027	3176	2366	1391	1288	330	917	448	277	389	113	host	csdE
gene-b2614	17792	17174	8768	20956	13459	12609	4661	6149	1457	2931	2420	781	914	365	host	grpE
gene-b0957	137714	185154	68871	174864	137060	94420	63562	74486	19235	49737	36945	11425	15784	5350	host	ompA
gene-b0755	39307	41028	16989	52480	29224	21715	10110	11012	3516	7857	5787	1770	2200	772	host	gpmA
gene-T4p130	0	3	51	12028	14180	13137	165148	201267	44701	118215	88145	5761	7098	3235	phage	e.7
gene-b2219	521	566	237	905	614	389	67	80	18	74	37	11	31	5	host	atoS
gene-b2569	14745	17593	7521	17091	13491	11755	8861	9061	1789	4284	2075	1215	1567	479	host	lepA
gene-b1778	1838	2118	968	2121	1251	1097	294	329	97	236	163	81	120	41	host	msrB
gene-b3574	1735	2159	865	2018	1465	1122	364	347	98	296	171	70	134	47	host	plaR
gene-b0714	1815	2085	932	3716	2665	1465	449	519	139	369	199	101	138	38	host	nei
gene-b1487	369	360	126	573	358	253	66	53	15	61	29	12	27	7	host	ddpA
gene-b3974	2734	3591	1480	5106	3951	3091	753	806	179	535	267	154	238	88	host	coaA
gene-b0227	20	21	11	72	37	22	8	9	5	5	6	0	1	0	host	yafL
gene-b0917	1169	1763	760	1937	1280	1109	453	447	113	334	206	89	116	39	host	ycaR
gene-b0398	1379	1964	728	1911	1511	1217	347	348	106	214	116	88	128	44	host	sbcD
gene-b3515	101	155	53	319	250	168	53	56	15	54	28	6	18	5	host	gadW
gene-b2704	72	75	28	95	51	40	9	20	4	8	6	3	6	0	host	srlB
gene-b0272	0	0	0	1	0	0	0	0	0	0	0	0	0	0	host	xynR
gene-b0942	75	97	43	145	101	56	22	21	7	17	10	11	7	1	host	ycbU
gene-b0039	1022	1195	371	1218	995	619	260	206	67	175	94	36	79	15	host	caiA
gene-T4p181	0	6	239	60512	29464	12543	27986	13828	27274	45762	15731	279647	248060	153408	phage	hoc
gene-b2226	319	337	122	548	371	231	60	48	15	38	26	12	19	7	host	yfaQ
gene-b0925	7708	8759	3789	11747	8253	5099	1178	1097	400	1043	548	360	561	153	host	ldtD
gene-b3049	813	1134	446	967	513	277	72	79	34	94	54	19	22	16	host	glgS
gene-b0780	2607	2907	1393	4057	3007	2416	669	640	152	502	252	119	197	54	host	ybhK
gene-b4784	3359	4288	1788	4680	3168	3191	1318	1493	324	756	416	184	266	93	host	yqgG
gene-b2706	156	155	64	250	181	102	22	22	11	24	15	2	8	4	host	gutM
gene-b1248	1324	1394	793	2901	1710	1231	575	587	140	321	196	71	112	28	host	yciU
gene-b4280	257	318	157	561	425	264	177	193	36	144	102	12	30	6	host	nanY
gene-b4440	562	620	225	879	700	458	272	280	96	162	107	41	44	24	host	ryfA
gene-b3585	490	440	266	760	611	445	102	187	50	106	87	31	51	15	host	yiaU
gene-b0585	37	42	27	54	25	19	10	15	5	17	6	2	3	0	host	fes
