Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b3071	37.53093731716521	40.06227190928572	836	749	18.991723535839228	22.134836606664766	11.246604292317649	12.193427716517334	6.006070134882989	6.012957569859661	7.209801577574078	8.204442780351403	host	nfeR	0.7285893321121155	0	1
gene-b4335	1.285306072505658	3.600065908898947	91	39	1.1137121826572387	1.3946746642410726	1.0224185720288772	0.6485865806658156	0.6673411260981098	0.707406772924666	0.7383531736069838	1.09915979832459	host	yjiM	0.8041458335019158	0	1
gene-b2232	111.52784406284809	99.84798183228277	2578	2336	80.59759216598438	81.0260990418765	49.92810693407684	54.448843446895225	22.42266183689649	21.968910336938237	18.241666642054895	17.547301066110418	host	ubiG	0.6058006202181978	0	1
gene-b3131	124.34418175726165	123.50995348991772	2297	2060	66.0607173607741	63.345223459723556	62.25393083020275	60.22126401482098	34.78181949223348	34.97733488349737	37.52571423508436	35.13385783930386	host	agaR	0.5564575340658916	0	1
gene-b2798	14.61576619592148	13.169471871869654	388	314	13.130080469222182	12.057187419890562	11.303405324097032	11.220547845518611	4.164208626852205	4.126539508727218	3.127142852923696	3.2189679808077276	host	ygdG	0.4921994093321448	0	1
gene-b1274	804.6750474498278	898.6010666964518	31033	22240	979.4805564317084	1101.118142170976	605.1581925775365	646.7056795818847	201.72387559693664	200.23541711395407	149.0170434497389	144.81430342926473	host	topA	0.5834473657485678	0	1
gene-b3638	81.56185105814475	84.7707827266376	2527	2037	77.02198989534799	71.3533554027852	69.58126392974303	65.50724464724738	22.262499966632944	19.650188136796277	18.76285711754218	18.175392379438755	host	yicR	0.529043582813603	0	1
gene-b1943	1.7627054708649021	2.492353321545425	59	30	1.3481779053219205	0.9897691165581806	1.0792196038082593	1.037738529065305	0.7741157062738074	0.786007525471851	0.5211904754872827	1.5309725762378217	host	fliK	0.5465773155599838	0	1
gene-b4178	84.72003169344437	81.44764496457704	2401	2125	76.02551057402309	75.9872744484894	48.33767804425414	51.43291584679918	17.6178057289901	17.803070451937426	18.502261879798535	17.822091015691566	host	nsrR	0.5660561860540511	0	1
gene-b3515	65.8443939429327	88.00161110641871	1929	1241	23.15349011313733	27.038692684157567	22.947616838870356	21.079063871639008	12.118914849941675	12.418918902455248	20.76075394024343	24.220771270224002	host	gadW	0.7914426954689265	0	1
gene-b1904	0.6242915209313196	0.6769354700493747	37	28	1.0550957519910682	1.889559222520163	1.760831985160844	2.2051943742637734	0.747422061229883	0.9039086542926288	0.8252182528548643	0.5888356062453161	host	yecR	0.4882690433967688	0	1
gene-b4173	629.7265294664863	608.595757368481	17418	15028	420.5728900297731	430.63954471340475	272.64495254103394	293.3881397641817	123.67165748850171	113.81388968832404	130.4279164906925	116.94275140031976	host	hflX	0.6382341576811655	0	1
gene-b1774	1.101690919290564	1.72310846921659	29	17	1.0550957519910682	1.169727137750577	0.795214444911349	1.1998851742317589	0.747422061229883	0.07860075254718511	0.6514880943591034	0.8636255558264636	host	ydjJ	0.5302196349700645	0	1
gene-b0944	13.660967399202992	12.707924960472353	272	241	6.916738818608114	7.198320847695858	5.22569492370315	4.896828684026908	2.9629945998756075	2.593824834057109	3.214007932171577	2.8656666170605383	host	ycbF	0.6396514883384197	0	1
gene-b2710	7.050821883459609	7.661678729195195	227	173	5.216862329289171	6.073583215243381	2.7832505571897213	3.2753622323623692	2.1354916035139513	1.84711768485885	1.91103174345337	2.630132374562412	host	norV	0.5750133959905307	0	1
gene-b0839	69.22291276209043	62.64730077366031	965	1022	25.73261306244883	24.33932236627162	19.19874874143114	21.079063871639008	8.835596509538973	8.488881275095991	15.809444423114243	15.113447226963112	host	dacC	0.766876225166939	0	1
gene-b2891	250.6346841386033	248.86609462542467	8700	6277	299.5885771347972	296.61580843036745	154.78281159881612	231.41569198156301	51.89244596538902	56.710442962794055	45.43043644664148	36.66483041554168	host	prfB	0.5904126168679835	0	1
gene-b3554	337.1908673641986	334.09842426345955	8501	7470	258.7329249604764	240.0190107653588	161.42853231700383	167.56234311501348	79.60044952098254	74.47421303845789	79.04722211557122	71.44538689109835	host	yiaF	0.5801325861809581	0	1
gene-b2726	0.9547987967184887	0.8307844405151417	33	16	0.8792464599925569	0.7198320847695858	0.5112092860144386	0.45401060646607094	0.6139538360102611	0.3930037627359255	0.390892856615462	0.9421369699925057	host	hypA	0.4089931337951772	0	1
gene-b0756	186.07559626817624	204.18835360216593	4069	3944	85.99030378727207	101.45133444721351	59.18667511411611	58.956520182522645	32.37939143828029	33.16951757491211	42.91134914845294	41.7288166292514	host	galM	0.7267956959088455	0	1
gene-b2892	266.0950800393142	243.72753901186803	7661	6592	262.2499108004466	266.877745428324	158.9860879504904	170.6431293731761	59.2065047074243	56.396039952605314	54.85529754503651	47.14610420670831	host	recJ	0.5558876039459095	0	1
gene-b0555	4.149702462661124	5.200095201742924	217	157	5.803026635950876	6.658446784118669	3.2376588114247777	2.4970583355633904	1.361375897240144	1.3362127933021468	0.955515871726685	1.4524611620717796	host	rrrD	0.6105759076463392	0	1
gene-b0939	0.7711836435033947	0.9230938227946018	30	13	0.8792464599925569	0.7198320847695858	0.7384134131319668	0.5512985935659434	0.10677458017569758	0.3930037627359255	0.21716269811970113	0.549579899162295	host	elfD	0.5014690957188372	0	1
gene-b2880	2.717504267583391	2.953900232942726	72	39	0.9964793213248978	1.52964318013537	1.1360206355876414	1.6538957806978298	0.9609712215812781	0.786007525471851	0.6080555547351632	1.9627853541510536	host	ygfM	0.5713498984596748	0	1
gene-b0404	20.932127466520715	22.73887783484036	519	451	14.243792651879422	14.801547243074609	10.224185720288771	10.76653723905254	5.04509891330171	4.716045152831106	4.343253962394023	5.417287577456908	host	acpH	0.6001377819879842	0	1
gene-b2522	158.12936994883893	154.18743820079166	3937	3229	125.2046959029401	144.68624903868675	70.9444886924482	82.20834909939214	25.94622298269451	23.698126892976312	26.233253932859895	19.588597834427514	host	sseB	0.6438965855658827	0	1
gene-b3265	1.3220291031486766	2.7692814683838054	75	23	1.6998764893189433	1.7995802119239646	1.704030953381462	1.2323145032650498	1.281294962108371	0.9039086542926288	1.0423809509745654	1.5309725762378217	host	acrE	0.4871787436375064	0	1
gene-b2078	16.23157954421431	14.523342811968403	394	388	9.261396045254934	12.911988020554446	6.986526908863994	7.361457690557008	2.936300954831683	3.0654293493402194	2.9534126944279353	3.5722693445549174	host	baeS	0.6197797410120588	0	1
gene-b2120	3.415241849800748	4.123152408482555	144	81	2.403273657312989	2.699370317885947	2.442444366513429	1.6863251097311207	1.6016187026354636	1.3362127933021468	1.1726785698463862	2.4731095462303276	host	yehM	0.5184400139620042	0	1
gene-b4716	1.4321981950777332	1.5384897046576698	35	18	0.8206300293263864	0.9447796112600815	0.6248113495732027	0.5837279225992341	0.4270983207027903	0.07860075254718511	0.3474603169915218	0.5103241920792739	host	cpxQ	0.6545264175877725	0	1
gene-b4792	0.6610145515743383	0.36923752911784075	17	9	0.2930821533308523	0.2699370317885947	0.5680103177938207	0.48643993549936176	0.34701738557101713	0.19650188136796276	0.13029761887182068	0.2747899495811475	host	yriB	0.4795831523312719	0	1
