Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	45_R1	45_R2	45_R3	75_R1	75_R2	75_R3	135_R1	135_R2	135_R3	Entity	Symbol
gene-FTB24_06610	80	65	216	80	95	143	117	71	116	96	95	170	115	269	282	host	gene-FTB24_06610
gene-FTB24_00270	701	697	527	713	1074	958	798	969	971	564	656	644	506	378	510	host	gene-FTB24_00270
gene-FTB24_12975	1449	1324	2185	1107	1220	1189	1017	1193	896	1021	873	831	1766	1555	1732	host	gene-FTB24_12975
gene-FTB24_02610	104	137	113	139	184	148	308	317	281	256	260	265	278	268	281	host	gene-FTB24_02610
gene-FTB24_19325	330	380	310	271	403	374	370	402	358	270	339	337	348	329	431	host	gene-FTB24_19325
gene-FTB24_08415	1498	1830	1765	1059	1332	1309	1212	1216	1166	1078	1083	1090	1376	1120	1468	host	gene-FTB24_08415
gene-FTB24_13550	6188	8332	7005	8927	14330	13843	13961	14908	15573	12475	13696	15777	9828	6091	10316	host	gene-FTB24_13550
gene-FTB24_13945	18659	9675	3224	2674	744	302	763	370	164	339	209	173	480	422	398	host	nagA
gene-FTB24_09725	847	707	961	754	754	775	827	891	797	580	551	552	1166	952	1064	host	gene-FTB24_09725
gene-FTB24_01575	188	246	327	104	161	192	146	163	145	129	147	172	158	243	250	host	gene-FTB24_01575
gene-FTB24_04410	1911	1270	2320	2731	1591	1579	1592	1610	1397	1384	1130	1291	2575	2121	1958	host	gene-FTB24_04410
gene-FTB24_14865	12501	14853	12835	6688	7453	5981	7038	7701	6906	5254	6034	6771	6032	3966	5876	host	pflA
gene-FTB24_04945	994	738	867	1433	1308	1458	1151	1245	1068	953	807	925	1522	1168	1513	host	gene-FTB24_04945
gene-FTB24_05605	10807	14938	8771	7156	12478	10487	9426	10553	8857	7616	9135	6936	8529	5215	7713	host	gene-FTB24_05605
gene-FTB24_00325	145	148	199	76	139	172	115	130	115	104	103	128	152	217	226	host	gene-FTB24_00325
gene-FTB24_02375	775	685	635	557	786	663	797	753	674	787	799	848	915	663	819	host	gene-FTB24_02375
gene-FTB24_14345	4197	3365	4098	6408	6098	6041	6306	6636	6290	7736	6673	7525	9334	5696	8010	host	gene-FTB24_14345
gene-FTB24_04070	1835	2444	1792	1482	2001	1802	1861	1965	2030	1647	1798	4711	1978	1672	2086	host	gene-FTB24_04070
gene-FTB24_11990	411	414	412	347	439	433	294	349	275	217	209	272	301	305	392	host	gene-FTB24_11990
gene-FTB24_08410	483	518	555	307	408	398	440	437	335	371	366	405	539	429	629	host	mocA
gene-JD032_51	35	37	43	1256	861	1803	34393	35850	24450	97171	71535	75671	65346	93665	91559	phage	gene-JD032_51
gene-FTB24_14780	1663	1621	1229	1881	3412	3062	2556	2840	2474	2748	2590	2932	2971	2146	3120	host	gene-FTB24_14780
gene-FTB24_02265	408	399	265	239	354	260	253	280	287	173	203	179	247	162	256	host	gene-FTB24_02265
gene-FTB24_06445	59297	76656	36043	45921	75634	62866	56669	64739	59553	53595	53365	55682	51934	31433	53497	host	gene-FTB24_06445
gene-FTB24_10405	23	27	113	18	34	64	51	43	38	37	28	60	68	144	126	host	yfcC
gene-FTB24_08135	83	111	186	61	91	69	108	84	98	124	101	132	116	161	194	host	gene-FTB24_08135
gene-FTB24_13260	1584	1125	1768	1671	1153	1292	955	1026	843	904	781	822	1846	1566	1750	host	gene-FTB24_13260
gene-FTB24_16915	2670	3579	2574	2941	4275	3873	2219	2424	2655	1353	1469	1752	1625	995	1479	host	gene-FTB24_16915
gene-FTB24_03055	447	500	562	413	569	546	386	464	401	371	351	433	539	464	660	host	gene-FTB24_03055
gene-FTB24_10590	134	153	260	86	147	180	128	164	148	172	186	203	208	326	353	host	gene-FTB24_10590
gene-FTB24_18745	16741	8398	14967	18099	10310	10119	8714	8085	7473	7254	5717	6752	16005	12994	13460	host	gene-FTB24_18745
gene-FTB24_06780	266	272	338	201	259	265	240	294	274	213	196	257	283	282	400	host	gene-FTB24_06780
gene-FTB24_16970	2226	2339	1737	1485	2213	1950	2305	2415	1999	1651	1790	1841	1852	1477	1797	host	gene-FTB24_16970
gene-FTB24_18850	14440	25309	20669	6158	15062	12960	10897	14360	13605	10541	13262	10434	8718	5121	8641	host	gene-FTB24_18850
gene-FTB24_07560	534	627	406	443	653	653	510	606	587	453	514	599	470	481	734	host	gene-FTB24_07560
gene-FTB24_15155	1558	1168	2442	1486	1132	1289	1261	1220	1201	1395	1163	1291	2053	2120	2207	host	gene-FTB24_15155
gene-FTB24_01255	594	621	494	336	465	428	341	366	373	256	290	298	367	276	418	host	gene-FTB24_01255
gene-FTB24_08570	384	543	414	289	593	597	538	643	645	584	618	607	635	432	648	host	gene-FTB24_08570
gene-FTB24_10085	90	105	124	80	75	71	81	103	87	81	74	123	413	350	496	host	gene-FTB24_10085
gene-FTB24_09225	16797	24459	17795	14468	24478	24070	15726	18432	20004	15588	18267	20042	19566	13611	20680	host	gene-FTB24_09225
gene-FTB24_18470	48406	31809	83364	32480	19568	23143	18091	18149	15313	19311	15281	14451	34596	33028	29934	host	rplB
gene-FTB24_07755	303	298	467	284	269	280	339	236	251	225	228	241	322	441	496	host	gene-FTB24_07755
gene-FTB24_07730	1486	1141	1609	1541	1325	1407	1262	1417	1178	1222	1019	1093	2254	1846	2102	host	gene-FTB24_07730
gene-FTB24_19370	14686	16831	9291	11628	18633	17571	11740	14463	13402	8749	9695	9965	10550	6979	10232	host	gene-FTB24_19370
gene-FTB24_15465	195	244	184	131	217	183	213	266	260	266	221	302	163	135	212	host	gene-FTB24_15465
gene-FTB24_03835	1858	2136	1457	1688	2511	2156	2441	2557	2278	2290	2133	2146	2100	1587	2150	host	gene-FTB24_03835
gene-FTB24_01265	1629	1515	1618	1199	1337	1253	1048	1020	879	824	739	731	1203	1133	1234	host	cobT
gene-FTB24_15260	634	651	561	529	818	768	742	799	795	798	676	785	739	596	800	host	gene-FTB24_15260
gene-FTB24_04795	279	380	235	290	497	393	283	325	253	134	185	181	219	211	289	host	gene-FTB24_04795
gene-FTB24_07970	43421	46766	42511	34571	44096	42595	33389	37006	32375	36380	35420	37238	48081	34001	47511	host	rpsB
gene-FTB24_15470	3469	3465	2766	3791	4377	3946	3998	4351	4009	3577	4333	4379	1914	770	1297	host	gene-FTB24_15470
gene-FTB24_11065	382	449	308	264	641	518	482	478	431	383	368	353	535	426	542	host	gene-FTB24_11065
gene-FTB24_05060	465	407	477	486	439	460	482	444	582	584	567	755	1381	968	1622	host	gene-FTB24_05060
gene-FTB24_14645	12570	15660	8442	8776	13607	12876	8282	9841	10609	6069	6545	8437	6372	3806	7049	host	gene-FTB24_14645
gene-FTB24_17570	497	503	449	399	650	575	530	591	616	456	515	509	484	434	541	host	gene-FTB24_17570
gene-FTB24_15800	4559	5920	4563	2980	4571	4284	4187	4616	4430	4045	4314	4992	3410	2392	3571	host	gene-FTB24_15800
gene-FTB24_15010	9525	7505	8346	9253	8707	7960	6737	6810	6431	7513	6530	7499	12835	9333	13683	host	gcvH
gene-JD032_15	101	62	86	64743	75218	56611	110942	144246	132488	69437	77624	90600	39037	41789	57128	phage	gene-JD032_15
gene-FTB24_11505	419	497	351	398	641	649	511	639	515	462	464	533	514	346	582	host	gene-FTB24_11505
gene-FTB24_08865	55	108	72	24	36	42	44	35	51	30	42	38	54	82	77	host	gene-FTB24_08865
gene-FTB24_02020	883	889	672	593	1113	1002	961	1144	1045	791	832	741	957	672	880	host	gene-FTB24_02020
gene-FTB24_03160	12	31	140	16	28	44	27	22	30	26	25	47	32	133	131	host	gene-FTB24_03160
gene-FTB24_09255	12	9	60	20	15	18	22	29	24	31	17	25	44	73	74	host	gene-FTB24_09255
gene-FTB24_17395	877	442	1193	1079	538	688	646	525	538	501	385	481	813	890	825	host	fliD
gene-FTB24_10835	845	661	923	1048	1016	1136	599	679	661	489	440	584	1034	786	1073	host	gene-FTB24_10835
gene-FTB24_12020	568	803	567	299	629	669	497	540	507	605	632	615	558	353	574	host	gene-FTB24_12020
gene-FTB24_01535	501	508	549	494	712	632	796	970	892	687	718	731	511	470	652	host	rsgA
gene-FTB24_05015	581	466	707	638	508	545	402	452	350	404	377	466	717	625	696	host	gene-FTB24_05015
gene-FTB24_07465	489	830	614	362	613	584	804	933	905	769	798	872	748	650	936	host	gene-FTB24_07465
gene-FTB24_07680	5895	7060	4542	5773	9615	9188	6448	7249	6784	4844	5499	4990	7034	4288	6558	host	gene-FTB24_07680
gene-FTB24_10740	508	591	517	515	725	691	693	737	634	745	652	776	1213	886	1496	host	gene-FTB24_10740
gene-FTB24_00995	302	320	664	286	321	422	386	347	398	261	308	371	280	546	645	host	spoIIE
gene-FTB24_06725	1201	1094	869	1008	1483	1329	1244	1263	1062	1146	885	970	1465	953	1299	host	gene-FTB24_06725
gene-FTB24_02350	369	332	791	388	245	395	318	257	290	265	291	375	674	791	807	host	gene-FTB24_02350
gene-FTB24_17065	5104	3509	5822	5233	3229	3515	3262	3354	2808	3181	2593	2718	4313	3644	3797	host	gene-FTB24_17065
gene-FTB24_05305	4416	4472	5277	3097	3229	3261	3267	3224	2560	3423	2802	2882	5175	3695	4074	host	gene-FTB24_05305
gene-FTB24_04260	2764	2470	4397	2204	1571	1821	1842	1779	1519	1594	1353	1339	3182	2698	2787	host	gene-FTB24_04260
gene-FTB24_05595	4050	1950	2900	1170	2142	2083	1235	1424	1423	865	955	1049	1398	1161	1741	host	gene-FTB24_05595
gene-FTB24_09865	800	829	765	608	833	854	490	545	659	533	578	727	561	502	857	host	gene-FTB24_09865
gene-FTB24_01425	6135	3844	6339	5684	4031	4121	3374	3184	2846	2874	2406	2920	6724	5183	5640	host	uvrC
gene-FTB24_03240	11077	6239	7295	7889	7044	5816	5513	5238	4021	3999	3428	4221	7045	4963	6517	host	gene-FTB24_03240
gene-FTB24_05225	34	30	44	35	49	59	43	55	39	46	35	59	78	70	70	host	gene-FTB24_05225
gene-FTB24_00120	12147	8785	10380	8477	9026	8075	7055	7337	6161	6325	5196	5559	10402	8210	9575	host	gene-FTB24_00120
gene-FTB24_04200	149	111	116	156	148	173	109	145	160	169	135	156	217	182	221	host	gene-FTB24_04200
gene-FTB24_13285	62	96	117	48	93	123	83	92	110	130	147	164	397	392	552	host	gene-FTB24_13285
gene-FTB24_07885	7314	7367	9212	9866	9818	10254	6609	7777	7863	6899	6652	8263	6560	5014	7728	host	gene-FTB24_07885
gene-FTB24_11190	115	77	201	151	100	160	127	140	135	110	100	175	173	312	351	host	gene-FTB24_11190
gene-FTB24_06425	1455	987	1685	1154	835	1016	822	846	760	954	741	820	1648	1466	1694	host	gene-FTB24_06425
gene-FTB24_08450	1261	1375	875	1222	2137	1947	2647	2886	2521	2102	2072	2020	2308	1473	2156	host	gene-FTB24_08450
gene-FTB24_03610	597	670	483	535	681	513	464	567	506	364	332	418	466	351	493	host	gene-FTB24_03610
gene-FTB24_18970	4599	7323	6693	2501	5413	4704	3759	4683	4457	3320	3972	3272	3118	1783	2736	host	gene-FTB24_18970
gene-FTB24_03720	1600	1147	1422	1765	1280	1211	1127	1022	823	930	778	841	1490	1181	1330	host	gene-FTB24_03720
gene-FTB24_11055	5010	4371	3393	4184	4838	4211	3625	3673	3050	3119	2657	2980	4587	3165	4124	host	gene-FTB24_11055
gene-FTB24_00190	852	888	706	498	845	750	634	678	636	486	487	529	619	531	741	host	rlmH
gene-FTB24_12955	3672	3373	4373	3101	2937	2760	2384	2453	2012	2541	2128	2160	3875	3078	3557	host	gene-FTB24_12955
gene-FTB24_10765	1218	954	1336	1275	968	961	1040	1007	868	883	689	700	1531	1155	1286	host	gene-FTB24_10765
gene-FTB24_04760	17	14	186	25	21	41	51	30	51	34	44	65	57	137	145	host	gene-FTB24_04760
gene-FTB24_19115	2595	3188	2113	1587	3612	3087	2602	3098	2700	2313	2448	2395	2944	1941	2618	host	gene-FTB24_19115
gene-FTB24_11375	318	395	474	359	319	355	268	326	256	430	403	420	1064	902	1075	host	gene-FTB24_11375
gene-FTB24_02075	597	578	577	407	656	621	592	654	621	427	486	484	321	321	392	host	gene-FTB24_02075
gene-FTB24_17150	2948	3485	1603	2121	3697	3095	2902	3186	3088	2117	2227	2223	2184	1257	1985	host	gene-FTB24_17150
gene-FTB24_04910	7837	4824	10771	9237	5479	6224	5530	5148	4611	5361	4108	4347	14417	10944	10866	host	mutS
gene-FTB24_16895	71493	51717	125149	95503	45154	55015	24063	26304	29289	27293	24184	30478	52777	47117	49845	host	gene-FTB24_16895
gene-FTB24_06365	30965	31396	37606	22981	15443	18498	17789	19157	17764	24235	19660	21099	37953	32709	44573	host	dnaK
gene-FTB24_01085	13151	10543	11135	6412	7986	7135	5227	6022	5624	4378	4328	4623	8910	5500	8094	host	atpB
gene-FTB24_06550	42	42	170	51	43	98	66	46	51	31	56	58	61	163	147	host	gene-FTB24_06550
gene-FTB24_08530	191	291	170	119	174	137	161	173	135	133	127	142	206	131	201	host	gene-FTB24_08530
gene-FTB24_13315	14714	9688	22550	16961	8949	10543	10482	10677	8973	11223	8434	8480	22559	20054	18919	host	gene-FTB24_13315
gene-FTB24_17230	67	72	94	62	57	66	80	63	65	49	55	52	89	93	88	host	gene-FTB24_17230
gene-FTB24_11290	8057	9275	8968	6197	7578	7338	5510	6149	5849	5394	5508	5350	8426	6235	8256	host	gene-FTB24_11290
gene-FTB24_10510	1865	1559	2475	1482	1324	1403	1220	1277	1102	1269	1070	1051	2166	1684	1866	host	gene-FTB24_10510
gene-FTB24_18655	9	20	80	21	21	52	30	17	38	23	20	43	36	80	94	host	gene-FTB24_18655
gene-FTB24_10915	37	28	60	32	37	54	42	40	38	39	43	64	84	126	148	host	gene-FTB24_10915
gene-FTB24_15380	15	5	38	15	14	15	9	10	16	8	17	21	26	31	33	host	gene-FTB24_15380
gene-FTB24_01100	8865	5107	8213	5328	3475	3863	2963	3285	2814	2855	2075	2325	6677	4898	5500	host	gene-FTB24_01100
gene-FTB24_04195	947	679	1010	947	745	800	721	615	677	628	569	672	1077	996	1276	host	gene-FTB24_04195
gene-FTB24_12145	482	299	936	542	301	592	381	306	500	365	296	579	1047	1155	1911	host	gene-FTB24_12145
gene-FTB24_03970	17306	13816	22563	13366	11235	12950	7994	7494	8095	8125	7019	7297	15562	11168	12870	host	gene-FTB24_03970
gene-FTB24_18205	2159	3664	3380	1199	3046	2439	2113	2724	2497	2070	2795	2131	1886	910	1562	host	gene-FTB24_18205
gene-FTB24_15500	268	351	320	185	305	278	304	280	295	288	308	352	465	429	550	host	gene-FTB24_15500
gene-FTB24_01135	2290	1726	2328	2816	2073	2084	1754	1681	1613	1363	1262	1446	2078	1776	2158	host	gene-FTB24_01135
gene-FTB24_06380	1053	978	1086	1176	1394	1358	1065	1112	1069	948	896	986	1066	950	1235	host	gene-FTB24_06380
gene-FTB24_15880	998	815	862	671	718	677	637	659	558	607	452	543	843	718	835	host	gene-FTB24_15880
gene-FTB24_15330	291	254	322	213	291	266	246	255	204	227	212	228	289	289	301	host	gene-FTB24_15330
gene-FTB24_08895	1172	1344	1059	1158	1509	1277	1123	1320	1315	869	812	936	1080	682	895	host	gene-FTB24_08895
gene-FTB24_07320	1947	1967	1463	1816	2423	2388	2407	2529	2436	2289	2058	2279	2205	1598	2321	host	gene-FTB24_07320
gene-FTB24_17025	795	649	828	971	710	656	759	724	677	722	585	675	798	614	797	host	gene-FTB24_17025
gene-FTB24_17425	884	477	1008	926	467	570	557	474	412	410	423	413	671	773	703	host	flgK
gene-FTB24_04080	390	500	353	246	433	423	411	449	395	422	415	453	547	380	582	host	gene-FTB24_04080
gene-FTB24_14975	2161	2415	1424	2437	3846	3910	3512	3992	4026	2867	2629	2996	3006	1884	2790	host	gene-FTB24_14975
gene-FTB24_16380	21	30	76	34	33	45	39	37	44	51	38	55	58	72	111	host	gene-FTB24_16380
gene-FTB24_07725	319	264	356	357	304	343	284	331	292	292	244	276	501	538	560	host	pgmB
gene-FTB24_16030	4147	4566	4082	3740	4642	4176	3952	3920	3793	4087	4042	4011	5732	3577	5040	host	gene-FTB24_16030
gene-FTB24_14770	40	42	108	40	43	67	38	44	38	34	25	51	42	79	115	host	gene-FTB24_14770
gene-FTB24_11930	2560	2243	1993	882	1447	1248	896	1107	886	567	607	655	701	615	790	host	gene-FTB24_11930
gene-FTB24_17745	4547	4274	2426	3434	4919	4541	3666	4353	4061	3097	3485	3603	3963	3271	4374	host	gene-FTB24_17745
gene-FTB24_18565	47039	31763	64522	46353	28886	29610	20225	22573	19501	20208	17257	17336	39278	34068	33598	host	tuf
gene-FTB24_10745	623	733	667	533	834	786	762	756	709	676	800	755	1489	1036	1736	host	gene-FTB24_10745
gene-FTB24_18570	5553	2934	6154	4956	2240	2496	1925	1835	1764	1702	1309	1562	2785	3103	2898	host	sigH
gene-FTB24_17055	2660	2225	2891	3019	2302	2212	2195	2241	1997	2018	1616	1737	2361	1997	2149	host	gene-FTB24_17055
gene-FTB24_13215	19	27	85	20	20	60	42	32	37	23	26	42	32	88	83	host	gene-FTB24_13215
gene-FTB24_05945	2399	2781	2013	2194	3630	3175	2949	3231	3089	2168	2174	2370	3757	2755	3712	host	gene-FTB24_05945
gene-FTB24_07435	555	485	396	452	484	538	306	298	273	177	182	220	293	323	422	host	gene-FTB24_07435
gene-FTB24_10410	34	26	77	20	31	61	30	19	36	40	21	45	40	119	127	host	gene-FTB24_10410
gene-FTB24_04950	1429	880	912	1407	1565	1439	1274	1272	1191	993	808	863	1518	1076	1370	host	gene-FTB24_04950
gene-FTB24_12295	1516	1659	1423	1072	1814	1643	1211	1412	1275	989	1009	1098	1471	1026	1322	host	gene-FTB24_12295
gene-FTB24_10555	295	419	242	167	306	290	236	265	219	222	256	280	352	203	344	host	gene-FTB24_10555
gene-FTB24_12215	1145	1573	816	1190	1819	1796	1656	1769	1778	1643	1676	1868	1184	752	1254	host	gene-FTB24_12215
gene-FTB24_19415	884	1102	863	630	1274	1118	933	1177	1063	708	911	947	1074	828	1062	host	gene-FTB24_19415
gene-FTB24_03920	719	726	655	489	622	699	555	457	437	411	380	500	521	596	646	host	serS
gene-FTB24_09370	32	63	249	89	62	139	124	92	140	131	172	197	146	269	297	host	gene-FTB24_09370
gene-FTB24_10910	130	147	214	94	143	189	133	110	120	150	168	259	300	403	500	host	gene-FTB24_10910
gene-FTB24_17910	44	27	148	54	30	80	52	33	43	29	40	81	57	136	129	host	gene-FTB24_17910
gene-FTB24_15965	1524	1184	2284	1273	797	1036	864	800	846	792	632	718	1356	1264	1408	host	gene-FTB24_15965
gene-FTB24_14035	82	121	114	25	23	58	50	63	46	51	52	45	45	77	69	host	gene-FTB24_14035
gene-FTB24_16615	43	30	129	41	55	92	55	52	91	49	48	72	62	117	133	host	gene-FTB24_16615
gene-FTB24_17815	232	243	198	230	329	292	328	335	368	310	298	363	304	213	303	host	gene-FTB24_17815
gene-FTB24_06660	5275	3468	7171	4729	2875	3108	2495	2332	1999	2437	1977	2041	5701	4097	4039	host	gene-FTB24_06660
gene-FTB24_03885	217	213	438	313	346	389	577	579	494	600	596	603	677	829	1019	host	gene-FTB24_03885
gene-FTB24_03090	127	155	253	86	201	214	184	175	174	194	207	225	220	327	390	host	gene-FTB24_03090
gene-FTB24_03810	63	47	325	88	72	153	109	77	96	64	110	155	114	305	341	host	gene-FTB24_03810
gene-FTB24_13195	204	179	534	204	191	258	175	132	165	132	177	201	196	410	370	host	gene-FTB24_13195
gene-FTB24_04595	1548	1554	1368	1490	1647	1642	1466	1683	1425	1005	934	1068	1294	846	1147	host	gene-FTB24_04595
gene-FTB24_09530	272	255	367	320	300	327	254	263	268	264	212	261	342	328	361	host	gene-FTB24_09530
gene-FTB24_14005	184	163	312	165	148	180	156	157	132	121	96	140	180	190	181	host	ybaK
gene-FTB24_15355	1088	1251	735	766	1167	1091	940	1035	988	541	609	642	503	321	456	host	gene-FTB24_15355
gene-FTB24_00110	4964	4586	3597	3567	5484	4350	3519	3911	3446	2814	2703	3217	4119	2813	3860	host	gene-FTB24_00110
gene-FTB24_11625	6471	8057	4257	4222	8571	6578	4455	5923	5228	3017	3935	4498	3509	1706	3408	host	gene-FTB24_11625
gene-FTB24_15285	23	31	159	37	31	75	51	37	53	40	70	78	54	135	159	host	hflB
gene-FTB24_17490	666	469	758	469	405	443	582	680	592	1021	846	789	4090	3073	3010	host	gene-FTB24_17490
gene-FTB24_15370	714	978	725	543	1137	1033	1000	1272	1192	1154	1409	1606	960	739	1226	host	gene-FTB24_15370
gene-FTB24_06695	157	214	178	158	224	155	163	177	179	179	207	208	229	251	326	host	gene-FTB24_06695
gene-FTB24_05470	1133	944	1117	764	940	939	663	750	687	652	483	517	1031	848	1426	host	gene-FTB24_05470
gene-FTB24_06025	6986	7399	6545	6251	7780	7550	6617	6935	6256	5843	5389	5918	6327	4675	6020	host	gene-FTB24_06025
gene-FTB24_12785	4123	4834	2768	3140	5460	4619	3095	3863	3327	2338	2316	2217	2655	2128	3152	host	gene-FTB24_12785
gene-FTB24_14795	11	4	57	7	9	20	16	13	10	12	15	20	15	68	48	host	spoVAC
gene-FTB24_01105	25397	14787	24801	16862	10259	10870	9763	9695	8615	8309	6329	6806	18812	13976	15000	host	gene-FTB24_01105
gene-FTB24_13335	8998	7684	9742	7129	6159	6253	5470	5752	4876	5332	4136	4234	8250	6760	6735	host	radC
gene-FTB24_17240	31	42	63	27	42	26	61	55	47	43	26	47	26	35	30	host	gene-FTB24_17240
gene-FTB24_07055	1015	470	942	429	203	315	324	273	230	243	225	288	447	617	668	host	gene-FTB24_07055
gene-FTB24_14560	105822	92887	59831	53629	66289	56008	53351	37853	26094	30277	24909	29323	45092	32122	41727	host	gene-FTB24_14560
gene-FTB24_15825	4322	4245	4181	2768	3198	2725	2966	2934	2448	2924	2550	2554	4058	2734	3727	host	trmL
gene-FTB24_17185	595	512	1056	711	365	482	388	328	371	549	490	577	1009	1215	1483	host	gene-FTB24_17185
gene-FTB24_06015	987	1048	725	775	1282	1075	890	955	851	556	643	637	720	580	779	host	gene-FTB24_06015
gene-FTB24_08060	1299	1598	925	737	1377	1240	1142	1268	1305	775	841	937	1221	862	1319	host	gene-FTB24_08060
gene-FTB24_09135	598	782	556	1210	1987	1611	1005	1290	1251	609	651	788	714	493	922	host	gene-FTB24_09135
gene-FTB24_00975	3044	3109	2490	2818	3625	2998	3420	3632	3118	2380	2094	2126	2717	2136	2477	host	gene-FTB24_00975
gene-FTB24_09525	207	212	348	254	305	282	248	216	257	259	183	252	312	321	356	host	gene-FTB24_09525
gene-FTB24_03940	20	27	265	35	34	80	57	32	72	33	58	72	40	224	209	host	gene-FTB24_03940
gene-FTB24_05670	1079	1458	1246	501	946	858	1146	1260	1069	1404	1435	1553	1126	760	1060	host	pyrR
gene-FTB24_13900	268	261	534	218	264	343	333	358	283	281	346	398	372	523	576	host	gene-FTB24_13900
gene-FTB24_18435	21502	13911	40434	15578	8012	10425	7966	7974	6932	8647	6767	6729	16857	17240	14832	host	rplN
gene-FTB24_07920	319	404	261	305	641	523	349	432	489	367	464	532	1303	879	1478	host	gene-FTB24_07920
gene-FTB24_12750	21988	29658	20974	14887	24073	22284	14608	17796	16588	15032	15913	16172	19069	13725	19800	host	rpsP
gene-FTB24_04050	32	16	221	28	22	75	40	29	57	32	42	66	26	194	161	host	gene-FTB24_04050
gene-FTB24_01505	24260	14049	22267	13568	8781	10780	9323	9344	8951	7521	5906	6847	10343	7179	7989	host	pyk
gene-FTB24_05625	291	278	553	374	346	348	299	323	302	276	296	359	761	802	883	host	cdtA
gene-FTB24_02355	186	216	327	207	194	226	184	160	167	150	161	164	314	347	343	host	gene-FTB24_02355
gene-FTB24_05615	6049	2374	2175	2300	2595	2505	2003	2125	1810	1754	1596	1538	2203	1622	2173	host	trpS
gene-FTB24_04115	1256	1074	1668	1097	949	940	823	768	750	859	673	661	1971	1672	1670	host	gene-FTB24_04115
gene-FTB24_07535	37	29	145	39	52	68	55	62	58	51	54	65	61	154	171	host	gene-FTB24_07535
gene-FTB24_10605	43	39	146	38	43	95	44	44	46	65	49	70	94	143	184	host	gene-FTB24_10605
gene-FTB24_15090	186	220	289	134	196	202	121	175	165	152	162	148	159	240	232	host	gene-FTB24_15090
gene-FTB24_04625	22	28	160	36	18	79	73	34	62	31	57	67	42	188	133	host	gene-FTB24_04625
gene-FTB24_19435	528	602	629	515	909	835	945	933	858	1665	1683	1908	8101	6337	9050	host	gene-FTB24_19435
gene-JD032_10	40	22	36	37801	22570	21235	35847	35497	31598	17311	16053	18561	20717	37211	35234	phage	gene-JD032_10
gene-FTB24_07025	1263	1181	1718	1348	1314	1278	845	1141	990	1274	1479	1557	3151	3359	4580	host	gene-FTB24_07025
gene-FTB24_11230	13747	19867	16612	8289	13189	10057	15210	17443	15375	14406	14923	15751	15510	10271	15258	host	gene-FTB24_11230
gene-FTB24_16855	523	459	772	303	353	445	312	314	278	249	191	245	385	481	456	host	gene-FTB24_16855
gene-FTB24_02135	10266	7384	6431	9569	7700	5867	6138	5513	3909	5380	4258	2999	3443	2021	1795	host	gene-FTB24_02135
gene-FTB24_12110	3964	5958	4137	2902	5902	5583	4087	4843	4470	3685	4292	3979	3251	1921	3279	host	gene-FTB24_12110
gene-FTB24_17585	449	517	500	339	515	455	520	571	527	484	515	468	444	373	464	host	gene-FTB24_17585
gene-FTB24_12275	434	341	642	381	358	437	321	256	328	220	215	260	492	596	683	host	gene-FTB24_12275
gene-FTB24_18320	2693	2791	2543	2033	2840	2836	2328	2762	2338	2180	1897	2011	2555	1840	2554	host	gene-FTB24_18320
gene-FTB24_12705	621	384	602	433	382	385	399	371	360	374	311	348	591	607	672	host	gene-FTB24_12705
gene-FTB24_02495	17382	9431	15197	5056	3170	4349	2980	2558	2622	2052	1802	2190	3798	3162	3159	host	pgk
gene-FTB24_06340	503	518	761	525	476	503	729	762	659	671	593	666	695	743	733	host	gene-FTB24_06340
gene-FTB24_09840	1171	1344	836	855	1276	1235	1012	1120	1121	1095	882	1057	1222	737	1152	host	gene-FTB24_09840
gene-FTB24_14640	1342	1713	760	820	1152	1241	824	911	976	652	720	971	786	565	848	host	gene-FTB24_14640
gene-FTB24_08315	115	139	272	103	102	132	82	90	95	125	120	120	144	205	249	host	gene-FTB24_08315
gene-FTB24_01550	88	103	199	46	72	112	106	91	98	67	87	108	111	197	202	host	gene-FTB24_01550
gene-FTB24_15790	242	255	254	169	233	253	193	219	197	158	177	210	203	210	273	host	gene-FTB24_15790
gene-FTB24_11180	165	121	243	184	137	188	185	165	168	157	146	189	276	320	318	host	hisB
gene-FTB24_07010	1276	1149	1542	1499	1132	1099	780	1043	833	961	1168	1350	3281	3858	4815	host	gene-FTB24_07010
gene-FTB24_13300	5782	5633	7027	6570	6293	6273	5757	6058	5335	5434	4901	5167	7337	6113	6857	host	minE
gene-FTB24_05175	445	512	325	362	563	508	460	499	554	379	437	476	618	459	540	host	gene-FTB24_05175
gene-FTB24_15985	418	357	622	347	344	444	348	360	313	258	214	237	362	407	396	host	gene-FTB24_15985
gene-FTB24_17765	847	891	572	526	986	911	695	858	878	555	623	648	851	691	982	host	gene-FTB24_17765
gene-FTB24_16645	128	106	205	94	141	165	139	179	166	97	139	147	143	243	223	host	blaCDD
gene-FTB24_18885	2632	4761	4275	1406	4034	3537	2419	3244	2917	2396	3140	2261	2096	1019	1799	host	gene-FTB24_18885
gene-FTB24_06640	11854	12593	12277	14519	16425	16133	11694	12971	14449	11187	11346	14440	14254	12001	15875	host	ppsR
gene-FTB24_07845	1017	1158	930	720	1165	1048	959	933	979	761	696	788	744	611	907	host	gene-FTB24_07845
gene-FTB24_07065	900	559	712	387	268	327	325	267	272	268	238	283	371	430	554	host	gene-FTB24_07065
