Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	45_R1	45_R2	45_R3	75_R1	75_R2	75_R3	135_R1	135_R2	135_R3	Entity	Symbol
gene-FTB24_03205	1585	1898	1452	1328	1529	1152	1416	1331	1154	1359	1333	1314	3231	2197	3221	host	gene-FTB24_03205
gene-FTB24_10300	333	419	167	187	160	289	254	372	283	174	238	203	311	166	235	host	gene-FTB24_10300
gene-FTB24_10750	1209	1467	1141	941	1504	1611	1305	1703	1607	1365	1484	1481	1459	1147	1444	host	gene-FTB24_10750
gene-FTB24_04695	1725	1495	1453	1530	1480	1584	1016	1011	925	761	636	744	928	961	1100	host	gene-FTB24_04695
gene-FTB24_01715	245	297	562	309	349	393	564	668	589	2177	1946	1699	2035	1500	1916	host	gene-FTB24_01715
gene-FTB24_17285	1656	1802	2153	2216	2216	2108	2046	1953	1640	1995	1734	1863	2601	2256	2713	host	gene-FTB24_17285
gene-FTB24_14885	1587	1246	1515	1101	1427	1481	924	1018	871	883	793	804	1503	1227	1546	host	gene-FTB24_14885
gene-FTB24_04355	51814	52020	60766	45476	58133	51722	41281	40672	36517	31288	31048	35707	27619	17632	25848	host	ptsP
gene-FTB24_08995	20	22	76	24	18	36	24	23	23	30	48	42	48	130	116	host	gene-FTB24_08995
gene-FTB24_14515	5913	11024	9652	7417	14347	15838	11974	15519	19588	15400	18040	22218	16847	8916	18346	host	gene-FTB24_14515
gene-FTB24_08045	773	497	616	614	499	641	402	414	377	250	304	353	578	610	854	host	gene-FTB24_08045
gene-FTB24_16290	14	18	125	45	40	65	75	49	58	55	44	79	89	161	141	host	gene-FTB24_16290
gene-FTB24_06490	1088	888	1305	1166	1092	1171	1060	1044	983	995	775	832	1756	1362	1568	host	gene-FTB24_06490
gene-FTB24_05105	101	73	162	115	107	170	165	100	144	211	216	243	525	442	741	host	gene-FTB24_05105
gene-FTB24_15930	1909	2646	1511	1405	2591	2196	2016	2544	2249	1761	1902	1905	1558	981	1558	host	gene-FTB24_15930
gene-FTB24_14090	12712	12977	8157	10832	16260	14537	9840	10343	9196	7523	6892	7064	10216	6945	10126	host	gene-FTB24_14090
gene-FTB24_19250	444	340	872	328	325	558	394	410	432	280	422	516	617	1334	1302	host	gene-FTB24_19250
gene-FTB24_06440	8123	9490	5749	7870	11236	9439	7728	8782	8471	6692	6171	7085	7532	5860	9176	host	gene-FTB24_06440
gene-FTB24_01965	692	706	709	403	694	584	614	603	517	471	467	454	1261	1019	1173	host	gene-FTB24_01965
gene-FTB24_09650	900	668	790	732	680	804	603	693	718	597	578	615	1104	1159	1410	host	gene-FTB24_09650
gene-FTB24_17875	1786	1323	3213	1476	751	903	1041	727	753	637	535	674	1313	1718	1439	host	gene-FTB24_17875
gene-FTB24_18180	212	294	389	106	177	208	141	171	169	132	220	157	186	141	198	host	gene-FTB24_18180
gene-FTB24_18415	16703	11055	32154	13377	6844	9042	6281	6475	6057	6911	5741	5600	13484	14511	12297	host	rpsH
gene-FTB24_16420	167	133	263	119	169	194	168	122	131	139	125	130	142	166	168	host	gene-FTB24_16420
gene-FTB24_02040	3629	4365	2686	3275	5095	4427	4051	4493	4360	3790	4193	4688	2961	2074	3422	host	gene-FTB24_02040
gene-FTB24_10940	73	78	126	81	83	113	70	131	82	80	99	93	86	123	135	host	thiE
gene-FTB24_14170	27741	29184	25722	26483	34165	32708	24530	26934	24970	24986	24529	26670	28887	18549	26999	host	gene-FTB24_14170
gene-JD032_43	21	25	39	698	525	1815	19532	21359	14868	37555	33106	37340	22789	53024	50636	phage	gene-JD032_43
gene-FTB24_05465	862	655	773	656	677	667	576	576	505	524	373	453	778	722	930	host	gene-FTB24_05465
gene-FTB24_10680	5293	5114	5148	8243	9798	11292	8345	9906	10841	9612	9666	11357	10979	8057	10653	host	gene-FTB24_10680
gene-FTB24_06625	41	26	87	44	30	61	25	26	40	39	23	48	61	126	92	host	gene-FTB24_06625
gene-FTB24_00555	1528	1498	1582	1261	1241	1246	909	991	904	947	771	896	1233	1042	1094	host	gene-FTB24_00555
gene-FTB24_18590	16182	11878	11508	14457	12362	10665	9030	8335	7550	6445	5667	6352	10142	6891	9037	host	gene-FTB24_18590
gene-FTB24_17455	867	784	904	926	752	742	714	741	588	658	530	546	746	641	667	host	rfbB
gene-FTB24_02175	286	375	582	353	347	380	365	279	308	421	291	307	474	498	570	host	bclA2
gene-FTB24_11450	213	208	232	233	282	276	276	316	263	296	263	295	257	244	289	host	gene-FTB24_11450
gene-FTB24_00435	621	923	678	294	526	544	487	634	545	492	532	567	538	463	596	host	gene-FTB24_00435
gene-FTB24_04620	1481	1580	1540	1369	1679	1845	1434	1460	1383	1312	1414	1520	1358	906	1264	host	gene-FTB24_04620
gene-FTB24_11470	36	32	116	31	25	71	39	38	49	35	44	56	91	165	212	host	gene-FTB24_11470
gene-FTB24_13665	1017	1166	869	712	1115	1086	819	852	696	772	726	695	797	774	975	host	gene-FTB24_13665
gene-FTB24_14390	2174	2576	2047	1701	2482	2477	2317	2605	2516	2370	2610	2979	2241	1358	2038	host	gene-FTB24_14390
gene-FTB24_02450	891	744	1295	839	691	851	671	615	691	516	579	644	687	954	964	host	gene-FTB24_02450
gene-FTB24_08395	514	368	785	632	661	671	686	655	699	793	696	835	934	1051	1087	host	gene-FTB24_08395
gene-FTB24_16485	6	5	31	2	4	10	4	3	4	1	11	8	4	29	16	host	gene-FTB24_16485
gene-FTB24_17330	18884	18682	12318	16910	17694	16067	14997	14685	12035	10460	9130	8818	14649	10017	12534	host	htpG
