Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b4172	3993	2332	4439	2924	1882	1889	707	637	736	337	374	338	host	hfq
gene-b0504	157	7	45	4	36	3	52	1	43	1	151	0	host	allS
gene-b0328	2866	9	62	5	59	0	34	0	45	0	139	0	host	yahN
gene-b4135	893	371	827	352	158	87	71	18	81	7	135	13	host	dicD
gene-b3129	301	78	158	34	82	22	37	11	38	6	67	6	host	prlF
gene-b1969	269	37	304	61	69	25	49	9	53	5	89	4	host	hprR
gene-b1809	1612	487	778	385	218	175	76	34	64	13	58	26	host	yoaB
gene-b1408	24	0	21	3	19	0	16	0	26	2	45	0	host	ynbA
gene-b2137	122	33	98	33	47	14	35	7	35	1	99	2	host	yohF
gene-b1070	149	26	110	37	24	7	20	3	17	2	42	2	host	flgN
gene-b2901	730	837	628	812	257	284	159	83	163	44	272	46	host	bglA
gene-b2953	1069	100	731	154	122	54	59	20	48	13	86	11	host	yggU
gene-b1598	513	151	387	125	109	54	90	11	64	6	76	6	host	ydgD
gene-b1067	766	372	637	272	88	77	52	22	67	21	95	20	host	yceH
gene-T4p214	36	1	20397	682	163534	7706	102515	16463	135883	9122	135102	9108	phage	31
gene-b0858	215	43	192	50	63	24	62	2	52	2	77	3	host	ybjO
gene-b0818	320	136	209	238	90	67	84	22	78	14	219	22	host	ybiR
gene-b1924	107	18	112	29	62	13	56	7	86	4	176	6	host	fliD
gene-b2426	606	226	645	344	145	151	78	33	66	25	138	30	host	ucpA
gene-b2986	31	6	43	2	33	5	39	1	55	0	101	0	host	yghT
gene-T4p041	24	4	1563	12	126536	2041	140742	13788	312502	29678	195247	17645	phage	uvsX
gene-b1339	175	96	164	83	51	29	29	5	38	4	90	4	host	abgR
gene-b3056	1507	366	1679	562	2537	207	164	60	168	40	207	39	host	cca
gene-b2427	116	57	86	21	37	16	52	1	47	1	103	2	host	murR
gene-b2849	11	1	9	1	7	1	10	1	5	2	13	0	host	yqeK
gene-b0968	320	88	191	95	53	40	18	10	33	5	69	7	host	yccX
gene-b4162	1484	408	806	270	156	80	77	47	96	23	139	25	host	orn
gene-b1194	178	45	154	60	41	20	39	4	52	8	120	3	host	ycgR
gene-b0380	68	9	51	31	24	6	24	7	19	2	63	4	host	yaiZ
gene-b0318	65	12	66	22	32	7	26	4	42	2	109	2	host	yahD
gene-b2210	3866	3259	3738	3669	1103	1361	481	346	490	200	422	214	host	mqo
gene-b2095	4017	2633	4002	3054	779	1792	258	400	348	284	261	316	host	gatZ
gene-b1300	624	471	986	902	242	431	105	89	128	50	197	45	host	puuC
gene-b3522	437	107	307	80	93	23	89	17	112	4	251	4	host	yhjD
gene-b0237	7539	3188	10726	3589	1740	1649	380	339	475	118	351	149	host	pepD
gene-b4406	1327	238	407	106	73	30	42	12	43	11	68	10	host	yaeP
gene-b2399	475	99	255	48	75	25	59	8	41	5	63	10	host	yfeD
gene-b2672	124	475	103	534	66	319	39	111	24	38	55	27	host	ygaM
gene-b0405	1853	384	1159	810	212	227	129	78	114	43	186	36	host	queA
gene-b3225	113	61	111	108	74	63	64	14	84	15	186	8	host	nanA
gene-b3250	3198	633	4226	1633	523	481	214	153	282	92	279	97	host	mreC
gene-b4427	4	9	14	9	11	4	4	0	6	1	11	0	host	micC
gene-b1843	308	25	135	31	58	13	35	4	44	0	97	3	host	yobB
gene-b3208	463	331	624	427	158	139	105	55	128	40	187	37	host	mtgA
gene-b3497	230	252	403	366	114	200	76	57	101	19	213	25	host	rsmJ
gene-b4084	136	41	167	1846	59	20	74	6	96	1	225	7	host	alsK
gene-b1914	2102	510	984	520	142	131	57	46	95	30	98	25	host	uvrY
gene-b1757	187	22	149	36	71	10	59	5	58	3	150	8	host	ynjE
gene-b4270	2628	99	1441	194	1087	145	903	61	530	15	310	15	host	leuX
gene-b1071	95	22	46	12	9	6	15	1	20	0	21	3	host	flgM
gene-b2304	2523	472	2182	562	690	261	471	86	358	66	312	62	host	yfcH
gene-b2601	697	261	604	437	191	156	101	85	128	83	185	89	host	aroF
gene-b0047	452	163	608	200	180	62	148	26	176	12	456	18	host	kefC
gene-b1653	1080	147	973	380	272	92	206	23	206	22	472	13	host	lhr
gene-b0299	301	39	251	41	117	23	75	12	80	3	184	6	host	insF1
gene-b2020	727	1329	1324	2357	435	1354	188	288	200	137	234	167	host	hisD
gene-b1629	2058	394	2046	940	367	260	215	99	196	51	276	54	host	rsxC
gene-b2743	418	232	488	441	119	129	76	43	67	18	95	11	host	pcm
gene-b0030	204	50	277	105	109	39	66	15	78	6	160	16	host	rihC
gene-b0749	2101	615	4532	1004	445	301	162	102	484	34	109	35	host	lysQ
gene-b0848	93	150	59	25	29	12	26	7	22	3	52	0	host	ybjM
gene-b4761	791	164	569	277	89	87	31	27	28	16	19	14	host	sroE
gene-b4341	27	2	8	0	25	3	22	0	28	0	83	0	host	yjiS
gene-b3941	345	149	379	104	290	77	236	54	217	42	257	51	host	metF
gene-b4114	176	46	161	18	102	9	111	6	132	4	353	1	host	eptA
gene-b3712	919	209	657	216	153	80	106	30	87	14	225	17	host	yieE
gene-b2912	409	53	304	120	82	38	74	14	71	14	117	11	host	fau
gene-b3905	3146	18	77	14	57	6	66	6	73	6	191	5	host	rhaS
gene-b1772	27	9	30	6	35	9	35	0	35	4	70	3	host	ydjH
gene-b0565	6172	2864	5379	1259	1363	755	346	178	445	163	264	143	host	ompT
gene-b3834	1620	498	2045	810	441	246	285	78	293	56	325	61	host	ubiJ
gene-b2768	55	10	58	12	25	8	34	1	19	0	77	1	host	ygcP
gene-b1796	19	2	24	3	5	0	6	0	12	0	39	0	host	yoaG
gene-b4585	332	15	113	19	131	5	60	4	38	3	48	0	host	chiX
gene-b0953	168	296	199	324	122	229	117	129	61	36	63	27	host	rmf
gene-T4p010	35	0	62982	2248	133321	7264	28674	4563	9188	1009	6082	470	phage	cef
gene-b0659	1353	292	1614	488	226	181	70	33	97	16	95	22	host	ybeY
gene-b0428	5980	5743	6564	7176	4692	4412	2098	1184	1982	752	1347	950	host	cyoE
