Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b0360	38	173	33	195	13	103	14	82	8	68	3	23	host	insC1
gene-b2013	1522	3700	1095	3425	320	506	100	218	49	139	103	71	host	tsuA
gene-b1160	2	12	2	41	0	46	1	21	0	31	0	12	host	iraM
gene-b1254	178	1501	252	1615	100	257	21	92	25	76	5	30	host	yciB
gene-b2329	1077	6951	1231	8222	477	846	217	339	106	224	108	93	host	aroC
gene-b0870	423	1439	482	1919	249	438	103	190	44	122	46	53	host	ltaE
gene-b0295	13	30	12	70	9	85	3	44	5	34	1	10	host	ykgL
gene-b0660	897	5364	1168	5827	440	878	173	323	97	205	83	93	host	ybeZ
gene-b0786	173	1763	153	1914	83	436	29	189	18	127	9	47	host	ybhL
gene-b1878	3	28	10	67	3	71	1	33	1	29	0	9	host	flhE
gene-b2664	78	340	184	493	82	179	18	118	8	75	5	25	host	glaR
gene-b1454	7	40	10	56	3	67	2	42	1	19	0	10	host	yncG
gene-b3645	38	128	47	257	17	276	2	173	6	133	2	54	host	dinD
gene-T4t008	5	0	1507	23474	7004	141320	6234	131291	16352	105583	2388	61442	phage	gene-T4t008
gene-b3846	141	326	167	793	125	732	100	506	83	325	64	93	host	fadB
gene-T4p206	0	0	240	29460	4845	102880	4603	26318	1648	14002	548	7949	phage	30.3'
gene-b4150	83	515	99	597	44	387	21	255	13	158	9	66	host	ampC
gene-b3273	3334	126	2576	412	983	478	574	378	734	458	915	248	host	thrV
gene-b0092	715	2806	1051	3888	395	535	149	225	90	170	72	83	host	ddlB
gene-b1064	211	2064	129	1626	38	260	15	112	6	90	6	28	host	grxB
gene-b1924	23	116	35	252	15	270	6	202	4	140	3	50	host	fliD
gene-b3293	119	507	150	394	84	164	44	87	30	68	8	26	host	yhdN
gene-b0994	18	115	13	182	4	182	3	159	1	77	3	43	host	torT
gene-b3389	1218	6522	3316	7726	1226	1163	444	430	220	302	197	138	host	aroB
gene-b3925	259	1391	258	1864	156	550	64	257	43	194	34	70	host	glpX
