"Geneid","2.5_R1","2.5_R2","5_R1","5_R2","10_R1","10_R2","20_R1","20_R2","30_R1","30_R2"
"gene-T4p253",1011.17892011945,2033.29491563712,156.90334208538,1054.63371517195,356.88191498113,1332.11646851033,4728.92552206314,6138.88452120806,107214.407691051,17995.9996395191
"gene-T4p055",6342.84958984018,1650.62702805256,1057.74494405834,893.097780545015,962.499710100623,2722.18068513907,1133.31863854022,2035.98414182341,526.761829377879,961.239847795592
"gene-T4p276",1195.02963286844,379.198101039102,1755.69429333468,7425.23535389129,42420.2821670752,27872.9804679919,7904.09096392376,4579.7290117649,6419.14415334903,2703.47452703254
"gene-T4p243",1746.58177111541,2977.57253979331,3175.94006221097,9119.87281676349,48498.0893252387,38931.0015314824,40505.9945355945,66739.9001255508,103882.332863358,75747.2656088846
"gene-T4p214",59935.332356171,20749.8192256181,16788.6576031357,14439.9942635042,48968.5245768047,18961.6394146998,35512.7320675358,10397.4336251521,12948.5407826144,4380.47576493861
"gene-T4p106",1103.10427649394,529.390290078118,3879.29987155922,3504.21916542023,4196.06615189935,4077.58987593229,2407.13132318047,2526.84586556076,2192.79924322419,2453.58026716503
"gene-T4p236",827.328207370458,273.121769506595,3037.97333037727,10340.8280476329,18092.8316291949,9777.26220703803,9056.14214194398,7199.86528747426,15263.8427768567,6515.51612012794
"gene-T4p077",1378.88034561743,539.303965922278,895.431141901047,1822.40344805783,2855.05531984904,5795.11568094783,5175.38437966989,10510.9830756401,5745.37902274942,8193.32023115809
"gene-T4p092",318889.061263124,83399.2937227842,23178.410948061,10924.7592322234,2600.91213796854,2672.64104164961,1601.63212554031,2029.06642073188,4067.0913338013,3224.13774799344
"gene-T4p164",2665.83533486037,5006.90198509277,45.988910611232,1744.47974119196,216.292069685533,2187.69792602336,11695.3488153489,16476.726920386,86278.6875420558,43887.0521446035
"gene-T4p271",473691.361397775,25659.0715036459,31334.6795064648,4011.67134686427,9922.39869682384,1864.66763602209,2379.03251396046,11197.3198325066,5769.87957295304,1317.51479660269
"gene-T4p201",275.776069123486,308.315318753361,289.459613847166,2948.00823344598,2449.50768918866,6953.95702028055,1701.539002767,4067.42235264382,1237.27778528292,2216.53197728267
"gene-T4p155",1838.50712748991,6907.84932821035,143.377191905606,2666.74247807264,1470.78607386163,5399.93476338736,20788.9560362529,38438.5148942437,117443.387401063,71230.1006945727
"gene-T4p217",72988.7329613493,32405.8235993886,13888.6510045921,8171.78600089829,25024.9924626162,9031.44060184341,7169.3591376525,4232.36058838323,6504.89607906171,2325.72272215651
"gene-T4p167",3401.23818585633,22824.2558960085,430.131575716817,7074.35293803871,957.092408358485,7698.86964119097,46155.9365820912,50568.0470561271,386545.180562549,140699.299909774
"gene-T4p010",206464.350417117,46211.6085799652,19182.7861849557,11909.9568748811,2790.16769894338,4769.89503139403,2674.59035908941,2062.17265738419,1911.04291588254,1909.23228904399
"gene-T4p088",260240.683896196,80649.2400436143,19775.2315628298,15407.9457555113,5483.00396652827,5757.62007922415,872.103782457947,1372.77233832002,477.760728970634,3042.28698539106
"gene-T4p048",367.701425497981,225.040441662421,91.9778212224641,1135.98859337143,2417.06387873583,9429.46209529203,3475.92677017845,6159.4400353086,1653.7871387445,2872.07788308773
"gene-T4p162",643.477494621468,1212.93823953292,21.6418402876386,789.440288677087,254.143181880502,668.103448894638,3011.77606972947,7449.49619429136,28837.1475896634,10283.6004096804
"gene-T4p028",63704.2719675253,8891.57586462667,4523.14462011647,2428.99842224663,659.690812540876,1568.56600544056,1311.27776360025,1228.38961668115,796.267881617724,2029.06110281179
"gene-T4t001",367.701425497981,1728.44938342921,4571.83876076366,4831.26982568411,26490.3712347357,7307.21103773182,11637.0698036334,10196.2267659757,39139.6289502866,12492.3043740034
"gene-T4p255",246359.955083648,18310.0636003704,10012.0563630688,9171.25009278513,1341.01083205031,2724.79401495618,3009.69467645392,4654.9345224885,4030.34050849586,5243.36365503534
"gene-T4p007",42193.7385758934,15013.7663821874,9406.08483501493,6080.84824899444,3774.29661601256,3224.84899430742,1862.84698162258,1190.24332609073,1016.77283345032,1065.61335392499
"gene-T4p062",459.626781872477,542.278068675526,3589.84025771205,7217.64948820805,7256.59893794964,9045.18898914209,4129.48425870302,8593.29196448183,6725.40103089431,7094.78907914613
"gene-T4p087",44583.7978416303,22254.2195349693,19518.2347094141,13138.9482701897,6450.91097837103,7424.47001039496,1544.39381046252,1353.2050700897,563.512654683312,2372.08864507169
"gene-T4p070",162707.880782857,41413.8851551842,16761.6053027761,6153.80578682483,1303.15971985534,1295.98434321297,804.458501002379,804.1356645965,869.76953222859,1395.3934896377
"gene-T4p250",1103.10427649394,1893.01640244226,181.250412408973,872.149576613518,1827.66798884276,1491.87045646031,7386.8647349481,8366.39071267975,82799.6094131414,25948.0564968935
"gene-T4p052",919.253563744954,767.318510337947,3027.15241023345,4063.86126872809,11182.3000027421,13398.0874801546,2063.70143271373,2824.50552167046,1029.02310855214,2154.91146501012
"gene-T4p044",107736.517670909,54556.4452217865,30723.297518339,13039.1734195677,9295.15169473579,10301.9733850985,6948.73145044357,6889.95138257385,3197.32180157271,5095.43428192502
"gene-T4p037",121617.246483457,35081.0290259351,11202.3575788889,4977.9072532046,15951.5401393081,9854.41224816039,2890.01456310945,3602.74914446725,4459.10013705925,3366.04557267323
"gene-T4p198",551.552138246972,320.211729766353,24.3470703235934,118.014235079601,1762.7803679371,2127.25047112337,2521.60795333605,3645.93548899578,5316.61939418603,4761.63978059195
"gene-T4p172",1562.73105836642,11846.8426337706,75.7464410067351,3319.29708933528,221.699371427672,4698.19889597694,28916.796777299,65975.294295763,380603.79713817,155328.049666934
